Date,Day,Name,Type
01/01/2002,Tuesday,New Year's Day,Public Holiday
08/03/2002,Friday,International Women's Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
19/04/2002,Friday,National Health Day,Public Holiday
22/06/2002,Saturday,June Solstice,Season
11/07/2002,Thursday,Gospel Day,Public Holiday
11/07/2002,Thursday,Independence Day Holiday,Public Holiday
12/07/2002,Friday,Independence Day,Public Holiday
15/07/2002,Monday,Unimwane Day,Observance
16/07/2002,Tuesday,Unaine Day,Observance
05/08/2002,Monday,Youth Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
11/12/2002,Wednesday,Human Rights and Peace Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
08/03/2003,Saturday,International Women's Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
22/06/2003,Sunday,June Solstice,Season
11/07/2003,Friday,Independence Day Holiday,Public Holiday
12/07/2003,Saturday,Independence Day,Public Holiday
15/07/2003,Tuesday,Unimwane Day,Observance
16/07/2003,Wednesday,Unaine Day,Observance
04/08/2003,Monday,Youth Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
11/12/2003,Thursday,Human Rights and Peace Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
08/03/2004,Monday,International Women's Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
21/06/2004,Monday,June Solstice,Season
11/07/2004,Sunday,Independence Day Holiday,Public Holiday
12/07/2004,Monday,Independence Day,Public Holiday
15/07/2004,Thursday,Unimwane Day,Observance
16/07/2004,Friday,Unaine Day,Observance
02/08/2004,Monday,Youth Day,Public Holiday
23/09/2004,Thursday,September Equinox,Season
11/12/2004,Saturday,Human Rights and Peace Day,Public Holiday
22/12/2004,Wednesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
08/03/2005,Tuesday,International Women's Day,Public Holiday
21/03/2005,Monday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
28/03/2005,Monday,Easter Monday,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
11/07/2005,Monday,Independence Day Holiday,Public Holiday
12/07/2005,Tuesday,Independence Day,Public Holiday
15/07/2005,Friday,Unimwane Day,Observance
16/07/2005,Saturday,Unaine Day,Observance
01/08/2005,Monday,Youth Day,Public Holiday
23/09/2005,Friday,September Equinox,Season
11/12/2005,Sunday,Human Rights and Peace Day,Public Holiday
22/12/2005,Thursday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Boxing Day,Public Holiday
01/01/2006,Sunday,New Year's Day,Public Holiday
08/03/2006,Wednesday,International Women's Day,Public Holiday
21/03/2006,Tuesday,March Equinox,Season
14/04/2006,Friday,Good Friday,Public Holiday
17/04/2006,Monday,Easter Monday,Public Holiday
22/06/2006,Thursday,June Solstice,Season
11/07/2006,Tuesday,Independence Day Holiday,Public Holiday
12/07/2006,Wednesday,Independence Day,Public Holiday
15/07/2006,Saturday,Unimwane Day,Observance
16/07/2006,Sunday,Unaine Day,Observance
07/08/2006,Monday,Youth Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
11/12/2006,Monday,Human Rights and Peace Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
26/12/2006,Tuesday,Boxing Day,Public Holiday
01/01/2007,Monday,New Year's Day,Public Holiday
08/03/2007,Thursday,International Women's Day,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
06/04/2007,Friday,Good Friday,Public Holiday
09/04/2007,Monday,Easter Monday,Public Holiday
22/06/2007,Friday,June Solstice,Season
11/07/2007,Wednesday,Independence Day Holiday,Public Holiday
