Date,Day,Name,Type
01/01/2011,Saturday,New Year's Day,Official holiday
15/02/2011,Tuesday,The Prophet's Birthday,Official holiday
25/02/2011,Friday,National Day,Official holiday
26/02/2011,Saturday,Liberation Day,Official holiday
21/03/2011,Monday,March Equinox,Season
21/06/2011,Tuesday,June Solstice,Season
29/06/2011,Wednesday,Isra and Miraj,Official holiday
30/08/2011,Tuesday,Eid al-Fitr,Official holiday
31/08/2011,Wednesday,Eid al-Fitr holiday,Official holiday
01/09/2011,Thursday,Eid al-Fitr holiday,Official holiday
23/09/2011,Friday,September Equinox,Season
05/11/2011,Saturday,Waqfat Arafat Day,Official holiday
06/11/2011,Sunday,Eid al-Adha,Official holiday
07/11/2011,Monday,Eid al-Adha holiday,Official holiday
08/11/2011,Tuesday,Eid al-Adha holiday,Official holiday
26/11/2011,Saturday,Islamic New Year,Official holiday
22/12/2011,Thursday,December Solstice,Season
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,Official holiday
05/02/2012,Sunday,The Prophet's Birthday,Official holiday
25/02/2012,Saturday,National Day,Official holiday
26/02/2012,Sunday,Liberation Day,Official holiday
27/02/2012,Monday,National Day holiday,Official holiday
20/03/2012,Tuesday,March Equinox,Season
17/06/2012,Sunday,Isra and Miraj,Official holiday
21/06/2012,Thursday,June Solstice,Season
19/08/2012,Sunday,Eid al-Fitr,Official holiday
20/08/2012,Monday,Eid al-Fitr holiday,Official holiday
21/08/2012,Tuesday,Eid al-Fitr holiday,Official holiday
22/09/2012,Saturday,September Equinox,Season
25/10/2012,Thursday,Waqfat Arafat Day,Official holiday
26/10/2012,Friday,Eid al-Adha,Official holiday
27/10/2012,Saturday,Eid al-Adha holiday,Official holiday
28/10/2012,Sunday,Eid al-Adha holiday,Official holiday
29/10/2012,Monday,Eid al-Adha holiday,Official holiday
15/11/2012,Thursday,Islamic New Year,Official holiday
21/12/2012,Friday,December Solstice,Season
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Official holiday
