Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
03/01/2000,Monday,Day off for New Year,Public Holiday
07/01/2000,Friday,Orthodox Christmas Day,Public Holiday
08/01/2000,Saturday,Orozo Ait,Public Holiday
10/01/2000,Monday,Day off for Orozo Ait,Public Holiday
23/02/2000,Wednesday,Defender of the Fatherland Day,Public Holiday
08/03/2000,Wednesday,International Women's Day,Public Holiday
16/03/2000,Thursday,Kurman Ait,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,"National Holiday ""Nooruz""",Public Holiday
01/05/2000,Monday,May Day,Public Holiday
05/05/2000,Friday,Constitution Day of the Kyrgyz Republic,Public Holiday
09/05/2000,Tuesday,Victory Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
31/08/2000,Thursday,Independence Day of the Kyrgyz Republic,Public Holiday
22/09/2000,Friday,September Equinox,Season
07/11/2000,Tuesday,Day of the Great October Socialist Revolution,Public Holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Orozo Ait,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
07/01/2001,Sunday,Orthodox Christmas Day,Public Holiday
08/01/2001,Monday,Day off for Orthodox Christmas Day,Public Holiday
23/02/2001,Friday,Defender of the Fatherland Day,Public Holiday
06/03/2001,Tuesday,Kurman Ait,Public Holiday
08/03/2001,Thursday,International Women's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
21/03/2001,Wednesday,"National Holiday ""Nooruz""",Public Holiday
01/05/2001,Tuesday,May Day,Public Holiday
05/05/2001,Saturday,Constitution Day of the Kyrgyz Republic,Public Holiday
07/05/2001,Monday,Constitution Day of the Kyrgyz Republic observed,Public Holiday
09/05/2001,Wednesday,Victory Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
31/08/2001,Friday,Independence Day of the Kyrgyz Republic,Public Holiday
23/09/2001,Sunday,September Equinox,Season
07/11/2001,Wednesday,Day of the Great October Socialist Revolution,Public Holiday
17/12/2001,Monday,Orozo Ait,Public Holiday
22/12/2001,Saturday,December Solstice,Season
01/01/2002,Tuesday,New Year,Public Holiday
07/01/2002,Monday,Orthodox Christmas Day,Public Holiday
23/02/2002,Saturday,Kurman Ait,Public Holiday
23/02/2002,Saturday,Defender of the Fatherland Day,Public Holiday
25/02/2002,Monday,Day off for Kurman Ait,Public Holiday
25/02/2002,Monday,Day off for Defender of the Fatherland Day,Public Holiday
08/03/2002,Friday,International Women's Day,Public Holiday
21/03/2002,Thursday,"National Holiday ""Nooruz""",Public Holiday
21/03/2002,Thursday,March Equinox,Season
01/05/2002,Wednesday,May Day,Public Holiday
05/05/2002,Sunday,Constitution Day of the Kyrgyz Republic,Public Holiday
06/05/2002,Monday,Constitution Day of the Kyrgyz Republic observed,Public Holiday
09/05/2002,Thursday,Victory Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
31/08/2002,Saturday,Independence Day of the Kyrgyz Republic,Public Holiday
