Date,Day,Name,Type
01/01/2003,Wednesday,New Year's Day,National holiday
14/02/2003,Friday,Valentine's Day,Observance
21/03/2003,Friday,March Equinox,Season
30/03/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
18/04/2003,Friday,Good Friday,National holiday
19/04/2003,Saturday,Holy Saturday,Observance
20/04/2003,Sunday,Easter Sunday,National holiday
21/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labour Day/May Day,National holiday
01/05/2003,Thursday,Constituent Assembly Convocation Day,National holiday
04/05/2003,Sunday,Independence Restoration Day,National holiday
05/05/2003,Monday,Independence Restoration Day observed,National holiday
11/05/2003,Sunday,Mothers' Day,National holiday
08/06/2003,Sunday,Whitsunday,National holiday
21/06/2003,Saturday,June Solstice,Season
23/06/2003,Monday,Midsummer Eve,National holiday
24/06/2003,Tuesday,Midsummer Day,National holiday
14/09/2003,Sunday,Fathers' Day,Observance
23/09/2003,Tuesday,September Equinox,Season
26/10/2003,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2003,Friday,Halloween,Observance
18/11/2003,Tuesday,Republic of Latvia Proclamation Day,National holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,National holiday
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,Second Day of Christmas,National holiday
31/12/2003,Wednesday,New Year's Eve,National holiday
01/01/2004,Thursday,New Year's Day,National holiday
14/02/2004,Saturday,Valentine's Day,Observance
20/03/2004,Saturday,March Equinox,Season
28/03/2004,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
09/04/2004,Friday,Good Friday,National holiday
10/04/2004,Saturday,Holy Saturday,Observance
11/04/2004,Sunday,Easter Sunday,National holiday
12/04/2004,Monday,Easter Monday,National holiday
01/05/2004,Saturday,Labour Day/May Day,National holiday
01/05/2004,Saturday,Constituent Assembly Convocation Day,National holiday
04/05/2004,Tuesday,Independence Restoration Day,National holiday
09/05/2004,Sunday,Mothers' Day,National holiday
30/05/2004,Sunday,Whitsunday,National holiday
21/06/2004,Monday,June Solstice,Season
23/06/2004,Wednesday,Midsummer Eve,National holiday
24/06/2004,Thursday,Midsummer Day,National holiday
12/09/2004,Sunday,Fathers' Day,Observance
22/09/2004,Wednesday,September Equinox,Season
31/10/2004,Sunday,Halloween,Observance
31/10/2004,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
18/11/2004,Thursday,Republic of Latvia Proclamation Day,National holiday
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,National holiday
25/12/2004,Saturday,Christmas Day,National holiday
26/12/2004,Sunday,Second Day of Christmas,National holiday
31/12/2004,Friday,New Year's Eve,National holiday
01/01/2005,Saturday,New Year's Day,National holiday
14/02/2005,Monday,Valentine's Day,Observance
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,National holiday
26/03/2005,Saturday,Holy Saturday,Observance
27/03/2005,Sunday,Easter Sunday,National holiday
27/03/2005,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/03/2005,Monday,Easter Monday,National holiday
01/05/2005,Sunday,Labour Day/May Day,National holiday
01/05/2005,Sunday,Constituent Assembly Convocation Day,National holiday
04/05/2005,Wednesday,Independence Restoration Day,National holiday
08/05/2005,Sunday,Mothers' Day,National holiday
15/05/2005,Sunday,Whitsunday,National holiday
21/06/2005,Tuesday,June Solstice,Season
23/06/2005,Thursday,Midsummer Eve,National holiday
24/06/2005,Friday,Midsummer Day,National holiday
11/09/2005,Sunday,Fathers' Day,Observance
23/09/2005,Friday,September Equinox,Season
30/10/2005,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2005,Monday,Halloween,Observance
18/11/2005,Friday,Republic of Latvia Proclamation Day,National holiday
21/12/2005,Wednesday,December Solstice,Season
24/12/2005,Saturday,Christmas Eve,National holiday
25/12/2005,Sunday,Christmas Day,National holiday
26/12/2005,Monday,Second Day of Christmas,National holiday
31/12/2005,Saturday,New Year's Eve,National holiday
01/01/2006,Sunday,New Year's Day,National holiday
14/02/2006,Tuesday,Valentine's Day,Observance
20/03/2006,Monday,March Equinox,Season
26/03/2006,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
14/04/2006,Friday,Good Friday,National holiday
15/04/2006,Saturday,Holy Saturday,Observance
16/04/2006,Sunday,Easter Sunday,National holiday
17/04/2006,Monday,Easter Monday,National holiday
01/05/2006,Monday,Labour Day/May Day,National holiday
01/05/2006,Monday,Constituent Assembly Convocation Day,National holiday
04/05/2006,Thursday,Independence Restoration Day,National holiday
14/05/2006,Sunday,Mothers' Day,National holiday
04/06/2006,Sunday,Whitsunday,National holiday
21/06/2006,Wednesday,June Solstice,Season
23/06/2006,Friday,Midsummer Eve,National holiday
24/06/2006,Saturday,Midsummer Day,National holiday
10/09/2006,Sunday,Fathers' Day,Observance
23/09/2006,Saturday,September Equinox,Season
29/10/2006,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2006,Tuesday,Halloween,Observance
18/11/2006,Saturday,Republic of Latvia Proclamation Day,National holiday
20/11/2006,Monday,Republic of Latvia Proclamation Day observed,National holiday
22/12/2006,Friday,December Solstice,Season
24/12/2006,Sunday,Christmas Eve,National holiday
25/12/2006,Monday,Christmas Day,National holiday
26/12/2006,Tuesday,Second Day of Christmas,National holiday
31/12/2006,Sunday,New Year's Eve,National holiday
01/01/2007,Monday,New Year's Day,National holiday
14/02/2007,Wednesday,Valentine's Day,Observance
21/03/2007,Wednesday,March Equinox,Season
25/03/2007,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
06/04/2007,Friday,Good Friday,National holiday
07/04/2007,Saturday,Holy Saturday,Observance
08/04/2007,Sunday,Easter Sunday,National holiday
09/04/2007,Monday,Easter Monday,National holiday
01/05/2007,Tuesday,Labour Day/May Day,National holiday
01/05/2007,Tuesday,Constituent Assembly Convocation Day,National holiday
04/05/2007,Friday,Independence Restoration Day,National holiday
13/05/2007,Sunday,Mothers' Day,National holiday
27/05/2007,Sunday,Whitsunday,National holiday
21/06/2007,Thursday,June Solstice,Season
23/06/2007,Saturday,Midsummer Eve,National holiday
24/06/2007,Sunday,Midsummer Day,National holiday
09/09/2007,Sunday,Fathers' Day,Observance
23/09/2007,Sunday,September Equinox,Season
28/10/2007,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2007,Wednesday,Halloween,Observance
18/11/2007,Sunday,Republic of Latvia Proclamation Day,National holiday
19/11/2007,Monday,Republic of Latvia Proclamation Day observed,National holiday
22/12/2007,Saturday,December Solstice,Season
24/12/2007,Monday,Christmas Eve,National holiday
25/12/2007,Tuesday,Christmas Day,National holiday
26/12/2007,Wednesday,Second Day of Christmas,National holiday
31/12/2007,Monday,New Year's Eve,National holiday
01/01/2008,Tuesday,New Year's Day,National holiday
14/02/2008,Thursday,Valentine's Day,Observance
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,National holiday
22/03/2008,Saturday,Holy Saturday,Observance
23/03/2008,Sunday,Easter Sunday,National holiday
24/03/2008,Monday,Easter Monday,National holiday
30/03/2008,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/05/2008,Thursday,Labour Day/May Day,National holiday
01/05/2008,Thursday,Constituent Assembly Convocation Day,National holiday
04/05/2008,Sunday,Independence Restoration Day,National holiday
05/05/2008,Monday,Independence Restoration Day observed,National holiday
11/05/2008,Sunday,Whitsunday,National holiday
11/05/2008,Sunday,Mothers' Day,National holiday
21/06/2008,Saturday,June Solstice,Season
