Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
06/01/2000,Thursday,Orthodox Christmas,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
09/01/2000,Sunday,Eid ul Fitr Holiday,Public Holiday
09/02/2000,Wednesday,St Maron's Day,Public Holiday
09/03/2000,Thursday,Teachers' Day,Observance
16/03/2000,Thursday,Eid al-Adha,Public Holiday
17/03/2000,Friday,Eid al-Adha Holiday,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Mother's Day,Observance
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
06/04/2000,Thursday,Muharram,Public Holiday
15/04/2000,Saturday,Ashoura,Public Holiday
21/04/2000,Friday,Good Friday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Public Holiday
24/04/2000,Monday,Easter Monday,Government Holiday
28/04/2000,Friday,Orthodox Good Friday,"Observance, Orthodox"
30/04/2000,Sunday,Orthodox Easter Day,Public Holiday
01/05/2000,Monday,Orthodox Easter Monday,Government Holiday
01/05/2000,Monday,Labor Day,Public Holiday
06/05/2000,Saturday,Martyr's Day,Public Holiday
25/05/2000,Thursday,Liberation and Resistance Day,Bank holiday
01/06/2000,Thursday,Ascension Day,Observance
15/06/2000,Thursday,The Prophet's Birthday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
08/09/2000,Friday,Nativity of Mary,Observance
22/09/2000,Friday,September Equinox,Season
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2000,Wednesday,All Saints' Day,Observance
22/11/2000,Wednesday,Independence Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
29/12/2000,Friday,Eid ul Fitr Holiday,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/01/2001,Saturday,Orthodox Christmas,Public Holiday
09/02/2001,Friday,St Maron's Day,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
07/03/2001,Wednesday,Eid al-Adha Holiday,Public Holiday
