Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
11/03/2015,Wednesday,Moshoeshoe's Birthday,Public Holiday
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,May Day,Public Holiday
14/05/2015,Thursday,Ascension Day,Public Holiday
25/05/2015,Monday,Africa/Heroes Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
17/07/2015,Friday,King's Birthday,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
04/10/2015,Sunday,Independence Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
11/03/2016,Friday,Moshoeshoe's Birthday,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
01/05/2016,Sunday,May Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Public Holiday
25/05/2016,Wednesday,Africa/Heroes Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
17/07/2016,Sunday,King's Birthday,Public Holiday
22/09/2016,Thursday,September Equinox,Season
04/10/2016,Tuesday,Independence Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
11/03/2017,Saturday,Moshoeshoe's Birthday,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,May Day,Public Holiday
25/05/2017,Thursday,Ascension Day,Public Holiday
25/05/2017,Thursday,Africa/Heroes Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
17/07/2017,Monday,King's Birthday,Public Holiday
22/09/2017,Friday,September Equinox,Season
04/10/2017,Wednesday,Independence Day,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
11/03/2018,Sunday,Moshoeshoe's Birthday,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
01/05/2018,Tuesday,May Day,Public Holiday
10/05/2018,Thursday,Ascension Day,Public Holiday
25/05/2018,Friday,Africa/Heroes Day,Public Holiday
21/06/2018,Thursday,June Solstice,Season
17/07/2018,Tuesday,King's Birthday,Public Holiday
23/09/2018,Sunday,September Equinox,Season
04/10/2018,Thursday,Independence Day,Public Holiday
22/12/2018,Saturday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
11/03/2019,Monday,Moshoeshoe's Birthday,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
19/04/2019,Friday,Good Friday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
01/05/2019,Wednesday,May Day,Public Holiday
25/05/2019,Saturday,Africa/Heroes Day,Public Holiday
30/05/2019,Thursday,Ascension Day,Public Holiday
21/06/2019,Friday,June Solstice,Season
17/07/2019,Wednesday,King's Birthday,Public Holiday
23/09/2019,Monday,September Equinox,Season
04/10/2019,Friday,Independence Day,Public Holiday
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
01/01/2020,Wednesday,New Year,Public Holiday
11/03/2020,Wednesday,Moshoeshoe's Birthday,Public Holiday
20/03/2020,Friday,March Equinox,Season
10/04/2020,Friday,Good Friday,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
01/05/2020,Friday,May Day,Public Holiday
21/05/2020,Thursday,Ascension Day,Public Holiday
25/05/2020,Monday,Africa/Heroes Day,Public Holiday
20/06/2020,Saturday,June Solstice,Season
17/07/2020,Friday,King's Birthday,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
04/10/2020,Sunday,Independence Day,Public Holiday
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Public Holiday
01/01/2021,Friday,New Year,Public Holiday
11/03/2021,Thursday,Moshoeshoe's Birthday,Public Holiday
20/03/2021,Saturday,March Equinox,Season
02/04/2021,Friday,Good Friday,Public Holiday
05/04/2021,Monday,Easter Monday,Public Holiday
01/05/2021,Saturday,May Day,Public Holiday
13/05/2021,Thursday,Ascension Day,Public Holiday
25/05/2021,Tuesday,Africa/Heroes Day,Public Holiday
21/06/2021,Monday,June Solstice,Season
17/07/2021,Saturday,King's Birthday,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
04/10/2021,Monday,Independence Day,Public Holiday
21/12/2021,Tuesday,December Solstice,Season
25/12/2021,Saturday,Christmas Day,Public Holiday
26/12/2021,Sunday,Boxing Day,Public Holiday
01/01/2022,Saturday,New Year,Public Holiday
11/03/2022,Friday,Moshoeshoe's Birthday,Public Holiday
20/03/2022,Sunday,March Equinox,Season
15/04/2022,Friday,Good Friday,Public Holiday
18/04/2022,Monday,Easter Monday,Public Holiday
01/05/2022,Sunday,May Day,Public Holiday
25/05/2022,Wednesday,Africa/Heroes Day,Public Holiday
26/05/2022,Thursday,Ascension Day,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
17/07/2022,Sunday,King's Birthday,Public Holiday
