Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
07/01/2000,Friday,Pioneers Day,Observance
11/02/2000,Friday,Armed Forces Day,Public Holiday
08/03/2000,Wednesday,Decoration Day,Public Holiday
15/03/2000,Wednesday,J. J. Roberts Birthday,Public Holiday
20/03/2000,Monday,March Equinox,Season
14/04/2000,Friday,Fast and Prayer Day,Public Holiday
14/05/2000,Sunday,National Unification Day,Public Holiday
15/05/2000,Monday,Day off for National Unification Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
24/08/2000,Thursday,Flag Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
02/11/2000,Thursday,Thanksgiving,Public Holiday
29/11/2000,Wednesday,William Tubmans Birthday,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
07/01/2001,Sunday,Pioneers Day,Observance
08/01/2001,Monday,Day off for Pioneers Day,Observance
11/02/2001,Sunday,Armed Forces Day,Public Holiday
12/02/2001,Monday,Day off for Armed Forces Day,Public Holiday
14/03/2001,Wednesday,Decoration Day,Public Holiday
15/03/2001,Thursday,J. J. Roberts Birthday,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Fast and Prayer Day,Public Holiday
14/05/2001,Monday,National Unification Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
24/08/2001,Friday,Flag Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
01/11/2001,Thursday,Thanksgiving,Public Holiday
29/11/2001,Thursday,William Tubmans Birthday,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
07/01/2002,Monday,Pioneers Day,Observance
11/02/2002,Monday,Armed Forces Day,Public Holiday
13/03/2002,Wednesday,Decoration Day,Public Holiday
15/03/2002,Friday,J. J. Roberts Birthday,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
12/04/2002,Friday,Fast and Prayer Day,Public Holiday
14/05/2002,Tuesday,National Unification Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
24/08/2002,Saturday,Flag Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
07/11/2002,Thursday,Thanksgiving,Public Holiday
29/11/2002,Friday,William Tubmans Birthday,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
07/01/2003,Tuesday,Pioneers Day,Observance
11/02/2003,Tuesday,Armed Forces Day,Public Holiday
12/03/2003,Wednesday,Decoration Day,Public Holiday
15/03/2003,Saturday,J. J. Roberts Birthday,Public Holiday
21/03/2003,Friday,March Equinox,Season
11/04/2003,Friday,Fast and Prayer Day,Public Holiday
14/05/2003,Wednesday,National Unification Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
24/08/2003,Sunday,Flag Day,Public Holiday
25/08/2003,Monday,Day off for Flag Day,Public Holiday
