Date,Day,Name,Type
05/02/2012,Sunday,The Prophet's Birthday,Public Holiday
17/02/2012,Friday,Libyan Revolution Day,Public Holiday
20/03/2012,Tuesday,March Equinox,Season
01/05/2012,Tuesday,May Day,Public Holiday
21/06/2012,Thursday,June Solstice,Season
19/08/2012,Sunday,Eid al-Fitr,Public Holiday
20/08/2012,Monday,Eid al-Fitr Holiday,Public Holiday
21/08/2012,Tuesday,Eid al-Fitr Holiday,Public Holiday
16/09/2012,Sunday,Martyrs' Day,Public Holiday
22/09/2012,Saturday,September Equinox,Season
23/10/2012,Tuesday,Liberation Day,Public Holiday
25/10/2012,Thursday,Day of Arafah,Public Holiday
26/10/2012,Friday,Eid al-Adha,Public Holiday
27/10/2012,Saturday,Eid al-Adha Holiday,Public Holiday
28/10/2012,Sunday,Eid al-Adha Holiday,Public Holiday
15/11/2012,Thursday,Muharram,Public Holiday
21/12/2012,Friday,December Solstice,Season
24/12/2012,Monday,Independence Day,Public Holiday
24/01/2013,Thursday,The Prophet's Birthday,Public Holiday
17/02/2013,Sunday,Libyan Revolution Day,Public Holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/05/2013,Wednesday,May Day,Public Holiday
21/06/2013,Friday,June Solstice,Season
08/08/2013,Thursday,Eid al-Fitr,Public Holiday
09/08/2013,Friday,Eid al-Fitr Holiday,Public Holiday
10/08/2013,Saturday,Eid al-Fitr Holiday,Public Holiday
16/09/2013,Monday,Martyrs' Day,Public Holiday
22/09/2013,Sunday,September Equinox,Season
14/10/2013,Monday,Day of Arafah,Public Holiday
15/10/2013,Tuesday,Eid al-Adha,Public Holiday
16/10/2013,Wednesday,Eid al-Adha Holiday,Public Holiday
17/10/2013,Thursday,Eid al-Adha Holiday,Public Holiday
23/10/2013,Wednesday,Liberation Day,Public Holiday
25/10/2013,Friday,Daylight Saving Time ends,Clock change/Daylight Saving Time
05/11/2013,Tuesday,Muharram,Public Holiday
21/12/2013,Saturday,December Solstice,Season
24/12/2013,Tuesday,Independence Day,Public Holiday
14/01/2014,Tuesday,The Prophet's Birthday,Public Holiday
17/02/2014,Monday,Libyan Revolution Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
01/05/2014,Thursday,May Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
29/07/2014,Tuesday,Eid al-Fitr,Public Holiday
30/07/2014,Wednesday,Eid al-Fitr Holiday,Public Holiday
31/07/2014,Thursday,Eid al-Fitr Holiday,Public Holiday
16/09/2014,Tuesday,Martyrs' Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
04/10/2014,Saturday,Day of Arafah,Public Holiday
05/10/2014,Sunday,Eid al-Adha,Public Holiday
06/10/2014,Monday,Eid al-Adha Holiday,Public Holiday
07/10/2014,Tuesday,Eid al-Adha Holiday,Public Holiday
23/10/2014,Thursday,Liberation Day,Public Holiday
25/10/2014,Saturday,Muharram,Public Holiday
22/12/2014,Monday,December Solstice,Season
24/12/2014,Wednesday,Independence Day,Public Holiday
17/02/2015,Tuesday,Libyan Revolution Day,Public Holiday
21/03/2015,Saturday,March Equinox,Season
01/05/2015,Friday,May Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
