Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Bank holiday
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
01/06/2000,Thursday,Ascension Day,National holiday
11/06/2000,Sunday,Whit Sunday,"Observance, Christian"
11/06/2000,Sunday,Mother's Day,Observance
12/06/2000,Monday,Whit Monday,National holiday
21/06/2000,Wednesday,June Solstice,Season
23/06/2000,Friday,National Day,National holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
22/09/2000,Friday,September Equinox,Season
01/10/2000,Sunday,Father's Day,Observance
01/11/2000,Wednesday,All Saints' Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Half Day Bank holiday
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,St Stephen's Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Bank holiday
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
24/05/2001,Thursday,Ascension Day,National holiday
03/06/2001,Sunday,Whit Sunday,"Observance, Christian"
04/06/2001,Monday,Whit Monday,National holiday
10/06/2001,Sunday,Mother's Day,Observance
21/06/2001,Thursday,June Solstice,Season
23/06/2001,Saturday,National Day,National holiday
15/08/2001,Wednesday,Assumption of Mary,National holiday
23/09/2001,Sunday,September Equinox,Season
07/10/2001,Sunday,Father's Day,Observance
01/11/2001,Thursday,All Saints' Day,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Half Day Bank holiday
25/12/2001,Tuesday,Christmas Day,National holiday
