Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Obligatory Holiday
05/02/2000,Saturday,Lunar New Year (First Day),Obligatory Holiday
06/02/2000,Sunday,Lunar New Year (Second Day),Obligatory Holiday
07/02/2000,Monday,Lunar New Year (Third Day),Obligatory Holiday
20/03/2000,Monday,March Equinox,Season
04/04/2000,Tuesday,Cheng Ming Festival,Obligatory Holiday
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Obligatory Holiday
11/05/2000,Thursday,Buddha's Birthday,Public Holiday
06/06/2000,Tuesday,Dragon Boat Festival,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
13/09/2000,Wednesday,Day after the Mid-Autumn-Festival,Obligatory Holiday
23/09/2000,Saturday,September Equinox,Season
01/10/2000,Sunday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2000,Monday,Day after PRC National Day,Public Holiday
06/10/2000,Friday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2000,Thursday,All Soul's Day,Public Holiday
08/12/2000,Friday,Feast of the Immaculate Conception,Public Holiday
20/12/2000,Wednesday,Macau S.A.R. Establishment Day,Obligatory Holiday
21/12/2000,Thursday,December Solstice,Season
21/12/2000,Thursday,Winter Solstice,Public Holiday
24/12/2000,Sunday,Christmas Eve,Public Holiday
25/12/2000,Monday,Christmas Day,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Obligatory Holiday
24/01/2001,Wednesday,Lunar New Year (First Day),Obligatory Holiday
25/01/2001,Thursday,Lunar New Year (Second Day),Obligatory Holiday
26/01/2001,Friday,Lunar New Year (Third Day),Obligatory Holiday
20/03/2001,Tuesday,March Equinox,Season
04/04/2001,Wednesday,Cheng Ming Festival,Obligatory Holiday
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,Public Holiday
30/04/2001,Monday,Buddha's Birthday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Obligatory Holiday
21/06/2001,Thursday,June Solstice,Season
25/06/2001,Monday,Dragon Boat Festival,Public Holiday
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2001,Tuesday,Day after the Mid-Autumn-Festival,Obligatory Holiday
02/10/2001,Tuesday,Day after PRC National Day,Public Holiday
25/10/2001,Thursday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2001,Friday,All Soul's Day,Public Holiday
08/12/2001,Saturday,Feast of the Immaculate Conception,Public Holiday
20/12/2001,Thursday,Macau S.A.R. Establishment Day,Obligatory Holiday
22/12/2001,Saturday,December Solstice,Season
22/12/2001,Saturday,Winter Solstice,Public Holiday
24/12/2001,Monday,Christmas Eve,Public Holiday
25/12/2001,Tuesday,Christmas Day,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Obligatory Holiday
12/02/2002,Tuesday,Lunar New Year (First Day),Obligatory Holiday
13/02/2002,Wednesday,Lunar New Year (Second Day),Obligatory Holiday
14/02/2002,Thursday,Lunar New Year (Third Day),Obligatory Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,Public Holiday
05/04/2002,Friday,Cheng Ming Festival,Obligatory Holiday
01/05/2002,Wednesday,Labor Day / May Day,Obligatory Holiday
19/05/2002,Sunday,Buddha's Birthday,Public Holiday
15/06/2002,Saturday,Dragon Boat Festival,Public Holiday
21/06/2002,Friday,June Solstice,Season
22/09/2002,Sunday,Day after the Mid-Autumn-Festival,Obligatory Holiday
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2002,Wednesday,Day after PRC National Day,Public Holiday
14/10/2002,Monday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2002,Saturday,All Soul's Day,Public Holiday
08/12/2002,Sunday,Feast of the Immaculate Conception,Public Holiday
20/12/2002,Friday,Macau S.A.R. Establishment Day,Obligatory Holiday
22/12/2002,Sunday,December Solstice,Season
22/12/2002,Sunday,Winter Solstice,Public Holiday
24/12/2002,Tuesday,Christmas Eve,Public Holiday
25/12/2002,Wednesday,Christmas Day,Public Holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,Obligatory Holiday
01/02/2003,Saturday,Lunar New Year (First Day),Obligatory Holiday
02/02/2003,Sunday,Lunar New Year (Second Day),Obligatory Holiday
03/02/2003,Monday,Lunar New Year (Third Day),Obligatory Holiday
21/03/2003,Friday,March Equinox,Season
05/04/2003,Saturday,Cheng Ming Festival,Obligatory Holiday
18/04/2003,Friday,Good Friday,Public Holiday
19/04/2003,Saturday,Holy Saturday,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Obligatory Holiday
08/05/2003,Thursday,Buddha's Birthday,Public Holiday
04/06/2003,Wednesday,Dragon Boat Festival,Public Holiday
22/06/2003,Sunday,June Solstice,Season
12/09/2003,Friday,Day after the Mid-Autumn-Festival,Obligatory Holiday
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2003,Thursday,Day after PRC National Day,Public Holiday
04/10/2003,Saturday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2003,Sunday,All Soul's Day,Public Holiday
08/12/2003,Monday,Feast of the Immaculate Conception,Public Holiday
20/12/2003,Saturday,Macau S.A.R. Establishment Day,Obligatory Holiday
22/12/2003,Monday,December Solstice,Season
22/12/2003,Monday,Winter Solstice,Public Holiday
24/12/2003,Wednesday,Christmas Eve,Public Holiday
25/12/2003,Thursday,Christmas Day,Public Holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,Obligatory Holiday
22/01/2004,Thursday,Lunar New Year (First Day),Obligatory Holiday
23/01/2004,Friday,Lunar New Year (Second Day),Obligatory Holiday
24/01/2004,Saturday,Lunar New Year (Third Day),Obligatory Holiday
20/03/2004,Saturday,March Equinox,Season
04/04/2004,Sunday,Cheng Ming Festival,Obligatory Holiday
09/04/2004,Friday,Good Friday,Public Holiday
10/04/2004,Saturday,Holy Saturday,Public Holiday
01/05/2004,Saturday,Labor Day / May Day,Obligatory Holiday
26/05/2004,Wednesday,Buddha's Birthday,Public Holiday
21/06/2004,Monday,June Solstice,Season
22/06/2004,Tuesday,Dragon Boat Festival,Public Holiday
23/09/2004,Thursday,September Equinox,Season
29/09/2004,Wednesday,Day after the Mid-Autumn-Festival,Obligatory Holiday
01/10/2004,Friday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2004,Saturday,Day after PRC National Day,Public Holiday
22/10/2004,Friday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2004,Tuesday,All Soul's Day,Public Holiday
08/12/2004,Wednesday,Feast of the Immaculate Conception,Public Holiday
20/12/2004,Monday,Macau S.A.R. Establishment Day,Obligatory Holiday
21/12/2004,Tuesday,December Solstice,Season
21/12/2004,Tuesday,Winter Solstice,Public Holiday
24/12/2004,Friday,Christmas Eve,Public Holiday
25/12/2004,Saturday,Christmas Day,Public Holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,Obligatory Holiday
09/02/2005,Wednesday,Lunar New Year (First Day),Obligatory Holiday
10/02/2005,Thursday,Lunar New Year (Second Day),Obligatory Holiday
11/02/2005,Friday,Lunar New Year (Third Day),Obligatory Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
26/03/2005,Saturday,Holy Saturday,Public Holiday
04/04/2005,Monday,Cheng Ming Festival,Obligatory Holiday
01/05/2005,Sunday,Labor Day / May Day,Obligatory Holiday
15/05/2005,Sunday,Buddha's Birthday,Public Holiday
11/06/2005,Saturday,Dragon Boat Festival,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
19/09/2005,Monday,Day after the Mid-Autumn-Festival,Obligatory Holiday
23/09/2005,Friday,September Equinox,Season
01/10/2005,Saturday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2005,Sunday,Day after PRC National Day,Public Holiday
11/10/2005,Tuesday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2005,Wednesday,All Soul's Day,Public Holiday
08/12/2005,Thursday,Feast of the Immaculate Conception,Public Holiday
20/12/2005,Tuesday,Macau S.A.R. Establishment Day,Obligatory Holiday
22/12/2005,Thursday,December Solstice,Season
22/12/2005,Thursday,Winter Solstice,Public Holiday
24/12/2005,Saturday,Christmas Eve,Public Holiday
25/12/2005,Sunday,Christmas Day,Public Holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,Obligatory Holiday
29/01/2006,Sunday,Lunar New Year (First Day),Obligatory Holiday
30/01/2006,Monday,Lunar New Year (Second Day),Obligatory Holiday
31/01/2006,Tuesday,Lunar New Year (Third Day),Obligatory Holiday
21/03/2006,Tuesday,March Equinox,Season
05/04/2006,Wednesday,Cheng Ming Festival,Obligatory Holiday
14/04/2006,Friday,Good Friday,Public Holiday
15/04/2006,Saturday,Holy Saturday,Public Holiday
01/05/2006,Monday,Labor Day / May Day,Obligatory Holiday
05/05/2006,Friday,Buddha's Birthday,Public Holiday
31/05/2006,Wednesday,Dragon Boat Festival,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
23/09/2006,Saturday,September Equinox,Season
01/10/2006,Sunday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2006,Monday,Day after PRC National Day,Public Holiday
07/10/2006,Saturday,Day after the Mid-Autumn-Festival,Obligatory Holiday
30/10/2006,Monday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2006,Thursday,All Soul's Day,Public Holiday
08/12/2006,Friday,Feast of the Immaculate Conception,Public Holiday
20/12/2006,Wednesday,Macau S.A.R. Establishment Day,Obligatory Holiday
22/12/2006,Friday,December Solstice,Season
22/12/2006,Friday,Winter Solstice,Public Holiday
24/12/2006,Sunday,Christmas Eve,Public Holiday
25/12/2006,Monday,Christmas Day,Public Holiday
31/12/2006,Sunday,New Year's Eve,Observance
01/01/2007,Monday,New Year's Day,Obligatory Holiday
18/02/2007,Sunday,Lunar New Year (First Day),Obligatory Holiday
19/02/2007,Monday,Lunar New Year (Second Day),Obligatory Holiday
20/02/2007,Tuesday,Lunar New Year (Third Day),Obligatory Holiday
21/03/2007,Wednesday,March Equinox,Season
05/04/2007,Thursday,Cheng Ming Festival,Obligatory Holiday
06/04/2007,Friday,Good Friday,Public Holiday
07/04/2007,Saturday,Holy Saturday,Public Holiday
01/05/2007,Tuesday,Labor Day / May Day,Obligatory Holiday
24/05/2007,Thursday,Buddha's Birthday,Public Holiday
19/06/2007,Tuesday,Dragon Boat Festival,Public Holiday
22/06/2007,Friday,June Solstice,Season
23/09/2007,Sunday,September Equinox,Season
26/09/2007,Wednesday,Day after the Mid-Autumn-Festival,Obligatory Holiday
01/10/2007,Monday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2007,Tuesday,Day after PRC National Day,Public Holiday
19/10/2007,Friday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2007,Friday,All Soul's Day,Public Holiday
08/12/2007,Saturday,Feast of the Immaculate Conception,Public Holiday
20/12/2007,Thursday,Macau S.A.R. Establishment Day,Obligatory Holiday
22/12/2007,Saturday,December Solstice,Season
22/12/2007,Saturday,Winter Solstice,Public Holiday
24/12/2007,Monday,Christmas Eve,Public Holiday
25/12/2007,Tuesday,Christmas Day,Public Holiday
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,Obligatory Holiday
07/02/2008,Thursday,Lunar New Year (First Day),Obligatory Holiday
08/02/2008,Friday,Lunar New Year (Second Day),Obligatory Holiday
09/02/2008,Saturday,Lunar New Year (Third Day),Obligatory Holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,Public Holiday
22/03/2008,Saturday,Holy Saturday,Public Holiday
04/04/2008,Friday,Cheng Ming Festival,Obligatory Holiday
01/05/2008,Thursday,Labor Day / May Day,Obligatory Holiday
12/05/2008,Monday,Buddha's Birthday,Public Holiday
08/06/2008,Sunday,Dragon Boat Festival,Public Holiday
21/06/2008,Saturday,June Solstice,Season
15/09/2008,Monday,Day after the Mid-Autumn-Festival,Obligatory Holiday
22/09/2008,Monday,September Equinox,Season
01/10/2008,Wednesday,National Day of the People's Republic of China,Obligatory Holiday
02/10/2008,Thursday,Day after PRC National Day,Public Holiday
07/10/2008,Tuesday,Chong Yeung Festival (Festival of Ancestors),Obligatory Holiday
02/11/2008,Sunday,All Soul's Day,Public Holiday
08/12/2008,Monday,Feast of the Immaculate Conception,Public Holiday
20/12/2008,Saturday,Macau S.A.R. Establishment Day,Obligatory Holiday
21/12/2008,Sunday,December Solstice,Season
21/12/2008,Sunday,Winter Solstice,Public Holiday
24/12/2008,Wednesday,Christmas Eve,Public Holiday
25/12/2008,Thursday,Christmas Day,Public Holiday
31/12/2008,Wednesday,New Year's Eve,Observance
