Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
03/01/2015,Saturday,The Prophet's Birthday,Public Holiday
20/01/2015,Tuesday,Army Day,Public Holiday
20/03/2015,Friday,March Equinox,Season
26/03/2015,Thursday,Martyrs' Day,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,Workers' Day,Public Holiday
25/05/2015,Monday,Whit Monday,Public Holiday
25/05/2015,Monday,Africa Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
14/07/2015,Tuesday,Leylatoul Qadr,Observance
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
22/09/2015,Tuesday,Independence Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,Public Holiday
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/01/2016,Wednesday,Army Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
26/03/2016,Saturday,Martyrs' Day,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
01/05/2016,Sunday,Workers' Day,Public Holiday
16/05/2016,Monday,Whit Monday,Public Holiday
25/05/2016,Wednesday,Africa Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
03/07/2016,Sunday,Leylatoul Qadr,Observance
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,Independence Day,Public Holiday
22/09/2016,Thursday,September Equinox,Season
12/12/2016,Monday,The Prophet's Birthday,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
20/01/2017,Friday,Army Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
26/03/2017,Sunday,Martyrs' Day,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,Workers' Day,Public Holiday
25/05/2017,Thursday,Africa Day,Public Holiday
05/06/2017,Monday,Whit Monday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
22/06/2017,Thursday,Leylatoul Qadr,Observance
