Date,Day,Name,Type
01/01/2005,Saturday,New Year's Day,Public holiday
10/02/2005,Thursday,Feast of Saint Paul's Shipwreck,Public holiday
19/03/2005,Saturday,Feast of Saint Joseph,Public holiday
25/03/2005,Friday,Good Friday,Public holiday
27/03/2005,Sunday,Easter Sunday,Observance
28/03/2005,Monday,Easter Monday,Observance
28/03/2005,Monday,Bank Holiday,Bank holiday
31/03/2005,Thursday,Freedom Day,National holiday
01/05/2005,Sunday,Labour Day/May Day,Public holiday
08/05/2005,Sunday,Mother's Day,Observance
07/06/2005,Tuesday,Sette Giugno,National holiday
19/06/2005,Sunday,Father's Day,Observance
29/06/2005,Wednesday,Feast of Saints Peter and Paul,Public holiday
15/08/2005,Monday,The Feast of Mary's Assumption,Public holiday
08/09/2005,Thursday,The Feast of Our Lady of Victories,National holiday
21/09/2005,Wednesday,Independence Day,National holiday
08/12/2005,Thursday,Feast of the Immaculate Conception,Public holiday
13/12/2005,Tuesday,Republic Day,National holiday
24/12/2005,Saturday,Christmas Eve,Observance
25/12/2005,Sunday,Christmas Day,Public holiday
26/12/2005,Monday,Boxing Day,Observance
26/12/2005,Monday,Bank Holiday,Bank holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,Public holiday
10/02/2006,Friday,Feast of Saint Paul's Shipwreck,Public holiday
19/03/2006,Sunday,Feast of Saint Joseph,Public holiday
31/03/2006,Friday,Freedom Day,National holiday
14/04/2006,Friday,Good Friday,Public holiday
16/04/2006,Sunday,Easter Sunday,Observance
17/04/2006,Monday,Easter Monday,Observance
17/04/2006,Monday,Bank Holiday,Bank holiday
01/05/2006,Monday,Labour Day/May Day,Public holiday
14/05/2006,Sunday,Mother's Day,Observance
07/06/2006,Wednesday,Sette Giugno,National holiday
18/06/2006,Sunday,Father's Day,Observance
29/06/2006,Thursday,Feast of Saints Peter and Paul,Public holiday
15/08/2006,Tuesday,The Feast of Mary's Assumption,Public holiday
08/09/2006,Friday,The Feast of Our Lady of Victories,National holiday
21/09/2006,Thursday,Independence Day,National holiday
08/12/2006,Friday,Feast of the Immaculate Conception,Public holiday
13/12/2006,Wednesday,Republic Day,National holiday
24/12/2006,Sunday,Christmas Eve,Observance
25/12/2006,Monday,Christmas Day,Public holiday
26/12/2006,Tuesday,Boxing Day,Observance
26/12/2006,Tuesday,Bank Holiday,Bank holiday
31/12/2006,Sunday,New Year's Eve,Observance
01/01/2007,Monday,New Year's Day,Public holiday
10/02/2007,Saturday,Feast of Saint Paul's Shipwreck,Public holiday
19/03/2007,Monday,Feast of Saint Joseph,Public holiday
31/03/2007,Saturday,Freedom Day,National holiday
06/04/2007,Friday,Good Friday,Public holiday
08/04/2007,Sunday,Easter Sunday,Observance
09/04/2007,Monday,Easter Monday,Observance
09/04/2007,Monday,Bank Holiday,Bank holiday
01/05/2007,Tuesday,Labour Day/May Day,Public holiday
13/05/2007,Sunday,Mother's Day,Observance
07/06/2007,Thursday,Sette Giugno,National holiday
17/06/2007,Sunday,Father's Day,Observance
29/06/2007,Friday,Feast of Saints Peter and Paul,Public holiday
15/08/2007,Wednesday,The Feast of Mary's Assumption,Public holiday
08/09/2007,Saturday,The Feast of Our Lady of Victories,National holiday
21/09/2007,Friday,Independence Day,National holiday
08/12/2007,Saturday,Feast of the Immaculate Conception,Public holiday
13/12/2007,Thursday,Republic Day,National holiday
24/12/2007,Monday,Christmas Eve,Observance
25/12/2007,Tuesday,Christmas Day,Public holiday
26/12/2007,Wednesday,Boxing Day,Observance
26/12/2007,Wednesday,Bank Holiday,Bank holiday
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,Public holiday
10/02/2008,Sunday,Feast of Saint Paul's Shipwreck,Public holiday
19/03/2008,Wednesday,Feast of Saint Joseph,Public holiday
21/03/2008,Friday,Good Friday,Public holiday
23/03/2008,Sunday,Easter Sunday,Observance
24/03/2008,Monday,Easter Monday,Observance
24/03/2008,Monday,Bank Holiday,Bank holiday
31/03/2008,Monday,Freedom Day,National holiday
