Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
01/03/2000,Wednesday,Remembrance Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
01/05/2000,Monday,Constitution Day,Public Holiday
02/06/2000,Friday,Youth Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
07/07/2000,Friday,Fishermen's Day,Public Holiday
01/09/2000,Friday,Labor Day,Public Holiday
22/09/2000,Friday,Manit Day,Public Holiday
23/09/2000,Saturday,September Equinox,Season
17/11/2000,Friday,President's Day,Public Holiday
01/12/2000,Friday,Gospel Day,Public Holiday
22/12/2000,Friday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
01/03/2001,Thursday,Remembrance Day,Public Holiday
21/03/2001,Wednesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
01/05/2001,Tuesday,Constitution Day,Public Holiday
01/06/2001,Friday,Youth Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
06/07/2001,Friday,Fishermen's Day,Public Holiday
07/09/2001,Friday,Labor Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
28/09/2001,Friday,Manit Day,Public Holiday
16/11/2001,Friday,Day off for President's Day,Public Holiday
17/11/2001,Saturday,President's Day,Public Holiday
07/12/2001,Friday,Gospel Day,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
01/03/2002,Friday,Remembrance Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/05/2002,Wednesday,Constitution Day,Public Holiday
07/06/2002,Friday,Youth Day,Public Holiday
22/06/2002,Saturday,June Solstice,Season
05/07/2002,Friday,Fishermen's Day,Public Holiday
06/09/2002,Friday,Labor Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
27/09/2002,Friday,Manit Day,Public Holiday
17/11/2002,Sunday,President's Day,Public Holiday
18/11/2002,Monday,Day off for President's Day,Public Holiday
06/12/2002,Friday,Gospel Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,Public Holiday
28/02/2003,Friday,Remembrance Day observed,Public Holiday
01/03/2003,Saturday,Remembrance Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
01/05/2003,Thursday,Constitution Day,Public Holiday
06/06/2003,Friday,Youth Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
04/07/2003,Friday,Fishermen's Day,Public Holiday
05/09/2003,Friday,Labor Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
26/09/2003,Friday,Manit Day,Public Holiday
17/11/2003,Monday,President's Day,Public Holiday
05/12/2003,Friday,Gospel Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,Public Holiday
01/03/2004,Monday,Remembrance Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
30/04/2004,Friday,Day off for Constitution Day,Public Holiday
01/05/2004,Saturday,Constitution Day,Public Holiday
04/06/2004,Friday,Youth Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
02/07/2004,Friday,Fishermen's Day,Public Holiday
03/09/2004,Friday,Labor Day,Public Holiday
23/09/2004,Thursday,September Equinox,Season
24/09/2004,Friday,Manit Day,Public Holiday
17/11/2004,Wednesday,President's Day,Public Holiday
03/12/2004,Friday,Gospel Day,Public Holiday
22/12/2004,Wednesday,December Solstice,Season
24/12/2004,Friday,Day off for Christmas Day,Public Holiday
25/12/2004,Saturday,Christmas Day,Public Holiday
31/12/2004,Friday,Day off for New Year's Day,Public Holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,Public Holiday
01/03/2005,Tuesday,Remembrance Day,Public Holiday
21/03/2005,Monday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
01/05/2005,Sunday,Constitution Day,Public Holiday
02/05/2005,Monday,Day off for Constitution Day,Public Holiday
03/06/2005,Friday,Youth Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
01/07/2005,Friday,Fishermen's Day,Public Holiday
02/09/2005,Friday,Labor Day,Public Holiday
23/09/2005,Friday,Manit Day,Public Holiday
23/09/2005,Friday,September Equinox,Season
17/11/2005,Thursday,President's Day,Public Holiday
02/12/2005,Friday,Gospel Day,Public Holiday
22/12/2005,Thursday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Day off for Christmas Day,Public Holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,Public Holiday
02/01/2006,Monday,Day off for New Year's Day,Public Holiday
01/03/2006,Wednesday,Remembrance Day,Public Holiday
21/03/2006,Tuesday,March Equinox,Season
14/04/2006,Friday,Good Friday,Public Holiday
01/05/2006,Monday,Constitution Day,Public Holiday
02/06/2006,Friday,Youth Day,Public Holiday
22/06/2006,Thursday,June Solstice,Season
07/07/2006,Friday,Fishermen's Day,Public Holiday
01/09/2006,Friday,Labor Day,Public Holiday
22/09/2006,Friday,Manit Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
17/11/2006,Friday,President's Day,Public Holiday
01/12/2006,Friday,Gospel Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
31/12/2006,Sunday,New Year's Eve,Observance
01/01/2007,Monday,New Year's Day,Public Holiday
01/03/2007,Thursday,Remembrance Day,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
06/04/2007,Friday,Good Friday,Public Holiday
01/05/2007,Tuesday,Constitution Day,Public Holiday
01/06/2007,Friday,Youth Day,Public Holiday
22/06/2007,Friday,June Solstice,Season
06/07/2007,Friday,Fishermen's Day,Public Holiday
07/09/2007,Friday,Labor Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
28/09/2007,Friday,Manit Day,Public Holiday
16/11/2007,Friday,Day off for President's Day,Public Holiday
17/11/2007,Saturday,President's Day,Public Holiday
07/12/2007,Friday,Gospel Day,Public Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,Public Holiday
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,Public Holiday
29/02/2008,Friday,Remembrance Day observed,Public Holiday
01/03/2008,Saturday,Remembrance Day,Public Holiday
20/03/2008,Thursday,March Equinox,Season
