Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
08/01/2000,Saturday,Eid ul-Fitr,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram/Islamic New Year,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
25/05/2000,Thursday,Africa Day,Public Holiday
15/06/2000,Thursday,Milad un Nabi (Mawlid),Public Holiday
21/06/2000,Wednesday,June Solstice,Season
22/09/2000,Friday,September Equinox,Season
28/11/2000,Tuesday,Independence Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid ul-Fitr,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram/Islamic New Year,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
25/05/2001,Friday,Africa Day,Public Holiday
04/06/2001,Monday,Milad un Nabi (Mawlid),Public Holiday
21/06/2001,Thursday,June Solstice,Season
22/09/2001,Saturday,September Equinox,Season
28/11/2001,Wednesday,Independence Day,Public Holiday
17/12/2001,Monday,Eid ul-Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
01/01/2002,Tuesday,New Year's Day,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
15/03/2002,Friday,Muharram/Islamic New Year,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
24/05/2002,Friday,Milad un Nabi (Mawlid),Public Holiday
25/05/2002,Saturday,Africa Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
23/09/2002,Monday,September Equinox,Season
28/11/2002,Thursday,Independence Day,Public Holiday
06/12/2002,Friday,Eid ul-Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year's Day,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
05/03/2003,Wednesday,Muharram/Islamic New Year,Public Holiday
21/03/2003,Friday,March Equinox,Season
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
14/05/2003,Wednesday,Milad un Nabi (Mawlid),Public Holiday
25/05/2003,Sunday,Africa Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
23/09/2003,Tuesday,September Equinox,Season
26/11/2003,Wednesday,Eid ul-Fitr,Public Holiday
28/11/2003,Friday,Independence Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year's Day,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
22/02/2004,Sunday,Muharram/Islamic New Year,Public Holiday
20/03/2004,Saturday,March Equinox,Season
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
02/05/2004,Sunday,Milad un Nabi (Mawlid),Public Holiday
25/05/2004,Tuesday,Africa Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
22/09/2004,Wednesday,September Equinox,Season
14/11/2004,Sunday,Eid ul-Fitr,Public Holiday
28/11/2004,Sunday,Independence Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year's Day,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
10/02/2005,Thursday,Muharram/Islamic New Year,Public Holiday
20/03/2005,Sunday,March Equinox,Season
21/04/2005,Thursday,Milad un Nabi (Mawlid),Public Holiday
01/05/2005,Sunday,Labor Day / May Day,Public Holiday
25/05/2005,Wednesday,Africa Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
22/09/2005,Thursday,September Equinox,Season
04/11/2005,Friday,Eid ul-Fitr,Public Holiday
28/11/2005,Monday,Independence Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year's Day,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
31/01/2006,Tuesday,Muharram/Islamic New Year,Public Holiday
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,Milad un Nabi (Mawlid),Public Holiday
01/05/2006,Monday,Labor Day / May Day,Public Holiday
25/05/2006,Thursday,Africa Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
23/09/2006,Saturday,September Equinox,Season
24/10/2006,Tuesday,Eid ul-Fitr,Public Holiday
28/11/2006,Tuesday,Independence Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Eid al-Adha,Public Holiday
01/01/2007,Monday,New Year's Day,Public Holiday
20/01/2007,Saturday,Muharram/Islamic New Year,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
31/03/2007,Saturday,Milad un Nabi (Mawlid),Public Holiday
01/05/2007,Tuesday,Labor Day / May Day,Public Holiday
25/05/2007,Friday,Africa Day,Public Holiday
21/06/2007,Thursday,June Solstice,Season
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Eid ul-Fitr,Public Holiday
28/11/2007,Wednesday,Independence Day,Public Holiday
20/12/2007,Thursday,Eid al-Adha,Public Holiday
22/12/2007,Saturday,December Solstice,Season
01/01/2008,Tuesday,New Year's Day,Public Holiday
10/01/2008,Thursday,Muharram/Islamic New Year,Public Holiday
20/03/2008,Thursday,Milad un Nabi (Mawlid),Public Holiday
20/03/2008,Thursday,March Equinox,Season
01/05/2008,Thursday,Labor Day / May Day,Public Holiday
25/05/2008,Sunday,Africa Day,Public Holiday
20/06/2008,Friday,June Solstice,Season
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid ul-Fitr,Public Holiday
28/11/2008,Friday,Independence Day,Public Holiday
09/12/2008,Tuesday,Eid al-Adha,Public Holiday
21/12/2008,Sunday,December Solstice,Season
29/12/2008,Monday,Muharram/Islamic New Year,Public Holiday
01/01/2009,Thursday,New Year's Day,Public Holiday
09/03/2009,Monday,Milad un Nabi (Mawlid),Public Holiday
20/03/2009,Friday,March Equinox,Season
01/05/2009,Friday,Labor Day / May Day,Public Holiday
25/05/2009,Monday,Africa Day,Public Holiday
21/06/2009,Sunday,June Solstice,Season
21/09/2009,Monday,Eid ul-Fitr,Public Holiday
22/09/2009,Tuesday,September Equinox,Season
28/11/2009,Saturday,Eid al-Adha,Public Holiday
28/11/2009,Saturday,Independence Day,Public Holiday
18/12/2009,Friday,Muharram/Islamic New Year,Public Holiday
21/12/2009,Monday,December Solstice,Season
01/01/2010,Friday,New Year's Day,Public Holiday
26/02/2010,Friday,Milad un Nabi (Mawlid),Public Holiday
20/03/2010,Saturday,March Equinox,Season
01/05/2010,Saturday,Labor Day / May Day,Public Holiday
25/05/2010,Tuesday,Africa Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
10/09/2010,Friday,Eid ul-Fitr,Public Holiday
23/09/2010,Thursday,September Equinox,Season
17/11/2010,Wednesday,Eid al-Adha,Public Holiday
28/11/2010,Sunday,Independence Day,Public Holiday
08/12/2010,Wednesday,Muharram/Islamic New Year,Public Holiday
21/12/2010,Tuesday,December Solstice,Season
01/01/2011,Saturday,New Year's Day,Public Holiday
16/02/2011,Wednesday,Milad un Nabi (Mawlid),Public Holiday
20/03/2011,Sunday,March Equinox,Season
01/05/2011,Sunday,Labor Day / May Day,Public Holiday
25/05/2011,Wednesday,Africa Day,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
31/08/2011,Wednesday,Eid ul-Fitr,Public Holiday
23/09/2011,Friday,September Equinox,Season
07/11/2011,Monday,Eid al-Adha,Public Holiday
27/11/2011,Sunday,Muharram/Islamic New Year,Public Holiday
28/11/2011,Monday,Independence Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
01/01/2012,Sunday,New Year's Day,Public Holiday
05/02/2012,Sunday,Milad un Nabi (Mawlid),Public Holiday
20/03/2012,Tuesday,March Equinox,Season
01/05/2012,Tuesday,Labor Day / May Day,Public Holiday
25/05/2012,Friday,Africa Day,Public Holiday
20/06/2012,Wednesday,June Solstice,Season
19/08/2012,Sunday,Eid ul-Fitr,Public Holiday
22/09/2012,Saturday,September Equinox,Season
26/10/2012,Friday,Eid al-Adha,Public Holiday
15/11/2012,Thursday,Muharram/Islamic New Year,Public Holiday
28/11/2012,Wednesday,Independence Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
01/01/2013,Tuesday,New Year's Day,Public Holiday
24/01/2013,Thursday,Milad un Nabi (Mawlid),Public Holiday
20/03/2013,Wednesday,March Equinox,Season
01/05/2013,Wednesday,Labor Day / May Day,Public Holiday
25/05/2013,Saturday,Africa Day,Public Holiday
21/06/2013,Friday,June Solstice,Season
08/08/2013,Thursday,Eid ul-Fitr,Public Holiday
22/09/2013,Sunday,September Equinox,Season
15/10/2013,Tuesday,Eid al-Adha,Public Holiday
05/11/2013,Tuesday,Muharram/Islamic New Year,Public Holiday
28/11/2013,Thursday,Independence Day,Public Holiday
21/12/2013,Saturday,December Solstice,Season
01/01/2014,Wednesday,New Year's Day,Public Holiday
14/01/2014,Tuesday,Milad un Nabi (Mawlid),Public Holiday
20/03/2014,Thursday,March Equinox,Season
01/05/2014,Thursday,Labor Day / May Day,Public Holiday
25/05/2014,Sunday,Africa Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
29/07/2014,Tuesday,Eid ul-Fitr,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
05/10/2014,Sunday,Eid al-Adha,Public Holiday
25/10/2014,Saturday,Muharram/Islamic New Year,Public Holiday
28/11/2014,Friday,Independence Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
01/01/2015,Thursday,New Year's Day,Public Holiday
03/01/2015,Saturday,Milad un Nabi (Mawlid),Public Holiday
20/03/2015,Friday,March Equinox,Season
01/05/2015,Friday,Labor Day / May Day,Public Holiday
25/05/2015,Monday,Africa Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid ul-Fitr,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
15/10/2015,Thursday,Muharram/Islamic New Year,Public Holiday
28/11/2015,Saturday,Independence Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Milad un Nabi (Mawlid),Public Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
01/05/2016,Sunday,Labor Day / May Day,Public Holiday
25/05/2016,Wednesday,Africa Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
07/07/2016,Thursday,Eid ul-Fitr,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
03/10/2016,Monday,Muharram/Islamic New Year,Public Holiday
28/11/2016,Monday,Independence Day,Public Holiday
12/12/2016,Monday,Milad un Nabi (Mawlid),Public Holiday
21/12/2016,Wednesday,December Solstice,Season
01/01/2017,Sunday,New Year's Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
01/05/2017,Monday,Labor Day / May Day,Public Holiday
25/05/2017,Thursday,Africa Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid ul-Fitr,Public Holiday
02/09/2017,Saturday,Eid al-Adha,Public Holiday
22/09/2017,Friday,Muharram/Islamic New Year,Public Holiday
22/09/2017,Friday,September Equinox,Season
28/11/2017,Tuesday,Independence Day,Public Holiday
01/12/2017,Friday,Milad un Nabi (Mawlid),Public Holiday
21/12/2017,Thursday,December Solstice,Season
01/01/2018,Monday,New Year's Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
01/05/2018,Tuesday,Labor Day / May Day,Public Holiday
25/05/2018,Friday,Africa Day,Public Holiday
15/06/2018,Friday,Eid ul-Fitr,Public Holiday
21/06/2018,Thursday,June Solstice,Season
22/08/2018,Wednesday,Eid al-Adha,Public Holiday
12/09/2018,Wednesday,Muharram/Islamic New Year,Public Holiday
23/09/2018,Sunday,September Equinox,Season
21/11/2018,Wednesday,Milad un Nabi (Mawlid),Public Holiday
28/11/2018,Wednesday,Independence Day,Public Holiday
21/12/2018,Friday,December Solstice,Season
01/01/2019,Tuesday,New Year's Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
01/05/2019,Wednesday,Labor Day / May Day,Public Holiday
25/05/2019,Saturday,Africa Day,Public Holiday
04/06/2019,Tuesday,Eid ul-Fitr,Public Holiday
21/06/2019,Friday,June Solstice,Season
12/08/2019,Monday,Eid al-Adha,Public Holiday
01/09/2019,Sunday,Muharram/Islamic New Year,Public Holiday
23/09/2019,Monday,September Equinox,Season
10/11/2019,Sunday,Milad un Nabi (Mawlid),Public Holiday
28/11/2019,Thursday,Independence Day,Public Holiday
22/12/2019,Sunday,December Solstice,Season
01/01/2020,Wednesday,New Year's Day,Public Holiday
20/03/2020,Friday,March Equinox,Season
01/05/2020,Friday,Labor Day / May Day,Public Holiday
23/05/2020,Saturday,Eid ul-Fitr,Public Holiday
25/05/2020,Monday,Africa Day,Public Holiday
20/06/2020,Saturday,June Solstice,Season
31/07/2020,Friday,Eid al-Adha,Public Holiday
21/08/2020,Friday,Muharram/Islamic New Year,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
29/10/2020,Thursday,Milad un Nabi (Mawlid),Public Holiday
28/11/2020,Saturday,Independence Day,Public Holiday
21/12/2020,Monday,December Solstice,Season
01/01/2021,Friday,New Year's Day,Public Holiday
20/03/2021,Saturday,March Equinox,Season
01/05/2021,Saturday,Labor Day / May Day,Public Holiday
13/05/2021,Thursday,Eid ul-Fitr,Public Holiday
25/05/2021,Tuesday,Africa Day,Public Holiday
21/06/2021,Monday,June Solstice,Season
21/07/2021,Wednesday,Eid al-Adha,Public Holiday
22/07/2021,Thursday,Eid ul Adha Holiday,Public Holiday
23/07/2021,Friday,Eid ul Adha Holiday,Public Holiday
10/08/2021,Tuesday,Muharram/Islamic New Year,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
19/10/2021,Tuesday,Milad un Nabi (Mawlid),Public Holiday
28/11/2021,Sunday,Independence Day,Public Holiday
21/12/2021,Tuesday,December Solstice,Season
01/01/2022,Saturday,New Year's Day,Public Holiday
20/03/2022,Sunday,March Equinox,Season
01/05/2022,Sunday,Labor Day / May Day,Public Holiday
02/05/2022,Monday,Eid ul-Fitr,Public Holiday
03/05/2022,Tuesday,Eid ul-Fitr Holiday,Public Holiday
25/05/2022,Wednesday,Africa Day,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
10/07/2022,Sunday,Eid al-Adha,Public Holiday
31/07/2022,Sunday,Muharram/Islamic New Year,Public Holiday
23/09/2022,Friday,September Equinox,Season
09/10/2022,Sunday,Milad un Nabi (Mawlid),Public Holiday
28/11/2022,Monday,Independence Day,Public Holiday
21/12/2022,Wednesday,December Solstice,Season
