Date,Day,Name,Type
01/01/2015,Thursday,New Year's Day,Public Holiday
03/01/2015,Saturday,The Prophet's Birthday,Optional Holiday
21/03/2015,Saturday,March Equinox,Season
06/04/2015,Monday,Easter Monday,Public Holiday
27/04/2015,Monday,Abolition Day,Public Holiday
01/05/2015,Friday,Labour Day,Public Holiday
08/05/2015,Friday,Victory Day,Optional Holiday
14/05/2015,Thursday,Ascension Day,Optional Holiday
16/05/2015,Saturday,Mi'raj,Optional Holiday
24/05/2015,Sunday,Whit Sunday,Optional Holiday
25/05/2015,Monday,Whit Monday,Optional Holiday
21/06/2015,Sunday,June Solstice,Season
14/07/2015,Tuesday,French National Day,Optional Holiday
18/07/2015,Saturday,Eid al-Fitr,Optional Holiday
15/08/2015,Saturday,Assumption of Mary,Optional Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
01/11/2015,Sunday,All Saints' Day,Optional Holiday
11/11/2015,Wednesday,Armistice Day,Optional Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,Optional Holiday
25/12/2015,Friday,Christmas Day,Optional Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
28/03/2016,Monday,Easter Monday,Public Holiday
27/04/2016,Wednesday,Abolition Day,Public Holiday
01/05/2016,Sunday,Labour Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Optional Holiday
05/05/2016,Thursday,Mi'raj,Optional Holiday
08/05/2016,Sunday,Victory Day,Optional Holiday
15/05/2016,Sunday,Whit Sunday,Optional Holiday
16/05/2016,Monday,Whit Monday,Optional Holiday
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,Optional Holiday
14/07/2016,Thursday,French National Day,Optional Holiday
15/08/2016,Monday,Assumption of Mary,Optional Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
01/11/2016,Tuesday,All Saints' Day,Optional Holiday
11/11/2016,Friday,Armistice Day,Optional Holiday
12/12/2016,Monday,The Prophet's Birthday,Optional Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Optional Holiday
