Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Day of the Holy Kings,Observance
02/02/2000,Wednesday,Candlemas,Observance
05/02/2000,Saturday,Constitution Day,National holiday
14/02/2000,Monday,Valentine's Day,Observance
24/02/2000,Thursday,Flag Day,Observance
08/03/2000,Wednesday,Ash Wednesday,"Observance, Christian"
18/03/2000,Saturday,Oil Expropriation Day,Observance
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Benito Juárez's Birthday Memorial,National holiday
16/04/2000,Sunday,Palm Sunday,"Observance, Christian"
20/04/2000,Thursday,Maundy Thursday,Bank holiday
21/04/2000,Friday,Good Friday,Bank holiday
22/04/2000,Saturday,Holy Saturday,Observance
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
30/04/2000,Sunday,Children's Day,Observance
01/05/2000,Monday,Labor Day / May Day,National holiday
05/05/2000,Friday,Battle of Puebla (Cinco de Mayo),Common local holiday
10/05/2000,Wednesday,Mother's Day,Observance
15/05/2000,Monday,Teacher's Day,Observance
01/06/2000,Thursday,Ascension Day,Observance
11/06/2000,Sunday,Whit Sunday,Observance
18/06/2000,Sunday,Father's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Observance
02/07/2000,Sunday,Mexican general election,National holiday
15/08/2000,Tuesday,Assumption of Mary,Observance
15/09/2000,Friday,Shout of Dolores,Observance
16/09/2000,Saturday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Day of Race,Observance
31/10/2000,Tuesday,Halloween,Observance
01/11/2000,Wednesday,All Saints' Day,Observance
02/11/2000,Thursday,All Souls' Day,Observance
20/11/2000,Monday,Revolution Day Memorial,National holiday
26/11/2000,Sunday,Christ the King Day,Observance
01/12/2000,Friday,Inauguration day,National holiday
08/12/2000,Friday,Feast of the Immaculate Conception,Observance
12/12/2000,Tuesday,Day of the Virgin of Guadalupe,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,"Observance, Christian"
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
28/12/2000,Thursday,Day of the Holy Innocents,Observance
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Day of the Holy Kings,Observance
02/02/2001,Friday,Candlemas,Observance
05/02/2001,Monday,Constitution Day,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
24/02/2001,Saturday,Flag Day,Observance
28/02/2001,Wednesday,Ash Wednesday,"Observance, Christian"
18/03/2001,Sunday,Oil Expropriation Day,Observance
20/03/2001,Tuesday,March Equinox,Season
21/03/2001,Wednesday,Benito Juárez's Birthday Memorial,National holiday
08/04/2001,Sunday,Palm Sunday,"Observance, Christian"
12/04/2001,Thursday,Maundy Thursday,Bank holiday
13/04/2001,Friday,Good Friday,Bank holiday
14/04/2001,Saturday,Holy Saturday,Observance
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
30/04/2001,Monday,Children's Day,Observance
01/05/2001,Tuesday,Labor Day / May Day,National holiday
05/05/2001,Saturday,Battle of Puebla (Cinco de Mayo),Common local holiday
10/05/2001,Thursday,Mother's Day,Observance
15/05/2001,Tuesday,Teacher's Day,Observance
24/05/2001,Thursday,Ascension Day,Observance
03/06/2001,Sunday,Whit Sunday,Observance
14/06/2001,Thursday,Corpus Christi,Observance
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
15/08/2001,Wednesday,Assumption of Mary,Observance
15/09/2001,Saturday,Shout of Dolores,Observance
16/09/2001,Sunday,Independence Day,National holiday
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Day of Race,Observance
31/10/2001,Wednesday,Halloween,Observance
01/11/2001,Thursday,All Saints' Day,Observance
02/11/2001,Friday,All Souls' Day,Observance
20/11/2001,Tuesday,Revolution Day Memorial,National holiday
25/11/2001,Sunday,Christ the King Day,Observance
08/12/2001,Saturday,Feast of the Immaculate Conception,Observance
12/12/2001,Wednesday,Day of the Virgin of Guadalupe,Observance
