Date,Day,Name,Type
01/01/2010,Friday,New Year's Day,National holiday
07/01/2010,Thursday,Orthodox Christmas Day,"National holiday, Orthodox"
08/01/2010,Friday,Orthodox Christmas Day holiday,"National holiday, Orthodox"
15/01/2010,Friday,Mihai Eminescu Commemoration Day,Observance
27/01/2010,Wednesday,Holocaust Remembrance Day,Observance
14/02/2010,Sunday,Valentine's Day,Observance
15/02/2010,Monday,Day of Commemoration of the Victims of the Afghanistan War,Observance
01/03/2010,Monday,Martisor (first day of spring),Observance
02/03/2010,Tuesday,Remembrance and Gratitude Day,Observance
08/03/2010,Monday,International Women's Day,National holiday
20/03/2010,Saturday,March Equinox,Season
28/03/2010,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
02/04/2010,Friday,Orthodox Good Friday,"Observance, Orthodox"
03/04/2010,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
04/04/2010,Sunday,Orthodox Easter Sunday,"National holiday, Orthodox"
05/04/2010,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
07/04/2010,Wednesday,Remembrance and Freedom Day,Observance
12/04/2010,Monday,Memorial Day/Parents' Day,National holiday
17/04/2010,Saturday,Day of Victims of Organized Famine of 1946-1947,Observance
26/04/2010,Monday,Day of Victims of Nuclear Accidents,Observance
27/04/2010,Tuesday,State Flag Day,Observance
28/04/2010,Wednesday,Occupational Health and Safety Day,Observance
01/05/2010,Saturday,International Day of Solidarity of Workers,National holiday
09/05/2010,Sunday,Victory Day,National holiday
09/05/2010,Sunday,Europe Day,Observance
15/05/2010,Saturday,Family Day,Observance
22/05/2010,Saturday,Bălți Day,Local holiday
30/05/2010,Sunday,Dniester Day,Observance
01/06/2010,Tuesday,International Children's Day,Observance
05/06/2010,Saturday,World Environment Day,Observance
21/06/2010,Monday,June Solstice,Season
22/06/2010,Tuesday,Victims of Fascism Day,Observance
23/06/2010,Wednesday,Statehood Day,Observance
26/06/2010,Saturday,Day Against Illicit Drug Consumption and Trafficking,Observance
27/06/2010,Sunday,Peoples Port Day,Observance
30/06/2010,Wednesday,Competition Day,Observance
02/07/2010,Friday,Stephen the Great Day,Observance
06/07/2010,Tuesday,Victims of Stalinism Day,Observance
29/07/2010,Thursday,Constitution Day,Observance
27/08/2010,Friday,Independence Day,National holiday
31/08/2010,Tuesday,Language Day,National holiday
23/09/2010,Thursday,September Equinox,Season
25/09/2010,Saturday,National Apple Festival,Observance
26/09/2010,Sunday,National Apple Festival,Observance
10/10/2010,Sunday,Wine Day,Observance
14/10/2010,Thursday,Chișinău Day,Local holiday
16/10/2010,Saturday,National Food Day,Observance
31/10/2010,Sunday,Halloween,Observance
31/10/2010,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/11/2010,Sunday,Cahul Day,Local holiday
10/12/2010,Friday,International Human Rights Day,Observance
22/12/2010,Wednesday,December Solstice,Season
24/12/2010,Friday,Christmas Eve,Observance
25/12/2010,Saturday,Christmas Day,National holiday
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,National holiday
07/01/2011,Friday,Orthodox Christmas Day,"National holiday, Orthodox"
08/01/2011,Saturday,Orthodox Christmas Day holiday,"National holiday, Orthodox"
15/01/2011,Saturday,Mihai Eminescu Commemoration Day,Observance
27/01/2011,Thursday,Holocaust Remembrance Day,Observance
14/02/2011,Monday,Valentine's Day,Observance
15/02/2011,Tuesday,Day of Commemoration of the Victims of the Afghanistan War,Observance
01/03/2011,Tuesday,Martisor (first day of spring),Observance
02/03/2011,Wednesday,Remembrance and Gratitude Day,Observance
08/03/2011,Tuesday,International Women's Day,National holiday
21/03/2011,Monday,March Equinox,Season
27/03/2011,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
07/04/2011,Thursday,Remembrance and Freedom Day,Observance
16/04/2011,Saturday,Day of Victims of Organized Famine of 1946-1947,Observance
22/04/2011,Friday,Orthodox Good Friday,"Observance, Orthodox"
23/04/2011,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
24/04/2011,Sunday,Orthodox Easter Sunday,"National holiday, Orthodox"
25/04/2011,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
26/04/2011,Tuesday,Day of Victims of Nuclear Accidents,Observance
27/04/2011,Wednesday,State Flag Day,Observance
28/04/2011,Thursday,Occupational Health and Safety Day,Observance
01/05/2011,Sunday,International Day of Solidarity of Workers,National holiday
02/05/2011,Monday,Memorial Day/Parents' Day,National holiday
09/05/2011,Monday,Victory Day,National holiday
09/05/2011,Monday,Europe Day,Observance
15/05/2011,Sunday,Family Day,Observance
22/05/2011,Sunday,Bălți Day,Local holiday
29/05/2011,Sunday,Dniester Day,Observance
01/06/2011,Wednesday,International Children's Day,Observance
05/06/2011,Sunday,World Environment Day,Observance
21/06/2011,Tuesday,June Solstice,Season
22/06/2011,Wednesday,Victims of Fascism Day,Observance
23/06/2011,Thursday,Statehood Day,Observance
26/06/2011,Sunday,Day Against Illicit Drug Consumption and Trafficking,Observance
26/06/2011,Sunday,Peoples Port Day,Observance
30/06/2011,Thursday,Competition Day,Observance
02/07/2011,Saturday,Stephen the Great Day,Observance
06/07/2011,Wednesday,Victims of Stalinism Day,Observance
