Date,Day,Name,Type
01/01/2012,Sunday,New Year's Day,National holiday
02/01/2012,Monday,New Year's Day Holiday,National holiday
03/01/2012,Tuesday,New Year's Day observed,National holiday
06/01/2012,Friday,Orthodox Christmas Eve,Optional holiday
07/01/2012,Saturday,Orthodox Christmas Day,Optional holiday
08/01/2012,Sunday,Orthodox Christmas Day Holiday,Optional holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Optional holiday
08/04/2012,Sunday,Easter Sunday,Observance
09/04/2012,Monday,Easter Monday,Optional holiday
13/04/2012,Friday,Orthodox Good Friday,Optional holiday
15/04/2012,Sunday,Orthodox Easter Sunday,Optional holiday
16/04/2012,Monday,Orthodox Easter Monday,Optional holiday
01/05/2012,Tuesday,Labour Day/May Day,National holiday
02/05/2012,Wednesday,Labour Day/May Day Holiday,National holiday
21/05/2012,Monday,Independence Day,National holiday
22/05/2012,Tuesday,Independence Day Holiday,National holiday
21/06/2012,Thursday,June Solstice,Season
13/07/2012,Friday,Statehood Day,National holiday
14/07/2012,Saturday,Statehood Day Holiday,National holiday
19/08/2012,Sunday,Ramdan Bayram,Optional holiday
20/08/2012,Monday,Ramdan Bayram Holiday,Optional holiday
21/08/2012,Tuesday,Ramdan Bayram Holiday,Optional holiday
22/09/2012,Saturday,September Equinox,Season
26/09/2012,Wednesday,Yom Kippur,Optional holiday
27/09/2012,Thursday,Yom Kippur Holiday,Optional holiday
26/10/2012,Friday,Kurban Bayram,Optional holiday
27/10/2012,Saturday,Kurban Bayram Holiday,Optional holiday
28/10/2012,Sunday,Kurban Bayram Holiday,Optional holiday
01/11/2012,Thursday,All Saint's Day,Optional holiday
21/12/2012,Friday,December Solstice,Season
23/12/2012,Sunday,Mother's Day,Observance
24/12/2012,Monday,Christmas Eve,Optional holiday
25/12/2012,Tuesday,Christmas Day,Optional holiday
26/12/2012,Wednesday,Day After Christmas,Optional holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,National holiday
02/01/2013,Wednesday,New Year's Day Holiday,National holiday
06/01/2013,Sunday,Orthodox Christmas Eve,Optional holiday
07/01/2013,Monday,Orthodox Christmas Day,Optional holiday
08/01/2013,Tuesday,Orthodox Christmas Day Holiday,Optional holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Optional holiday
31/03/2013,Sunday,Easter Sunday,Observance
01/04/2013,Monday,Easter Monday,Optional holiday
01/05/2013,Wednesday,Labour Day/May Day,National holiday
02/05/2013,Thursday,Labour Day/May Day Holiday,National holiday
03/05/2013,Friday,Orthodox Good Friday,Optional holiday
05/05/2013,Sunday,Orthodox Easter Sunday,Optional holiday
06/05/2013,Monday,Orthodox Easter Monday,Optional holiday
21/05/2013,Tuesday,Independence Day,National holiday
22/05/2013,Wednesday,Independence Day Holiday,National holiday
21/06/2013,Friday,June Solstice,Season
