Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,New Year's Day observed,Public Holiday
17/03/2000,Friday,St. Patrick's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
07/08/2000,Monday,Emancipation Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
31/12/2000,Sunday,Festival Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
17/03/2001,Saturday,St. Patrick's Day,Public Holiday
19/03/2001,Monday,St. Patrick's Day observed,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
07/05/2001,Monday,Labour Day,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
06/08/2001,Monday,Emancipation Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
31/12/2001,Monday,Festival Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
17/03/2002,Sunday,St. Patrick's Day,Public Holiday
18/03/2002,Monday,St. Patrick's Day observed,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
06/05/2002,Monday,Labour Day,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
21/06/2002,Friday,June Solstice,Season
05/08/2002,Monday,Emancipation Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
31/12/2002,Tuesday,Festival Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
17/03/2003,Monday,St. Patrick's Day,Public Holiday
