Date,Day,Name,Type
01/01/2003,Wednesday,New Year's Day,National holiday
11/01/2003,Saturday,Anniversary of the Independence Manifesto,National holiday
12/02/2003,Wednesday,Eid al-Adha,National holiday
13/02/2003,Thursday,Eid al-Adha holiday,National holiday
05/03/2003,Wednesday,Hijra New Year,National holiday
21/03/2003,Friday,March Equinox,Season
01/05/2003,Thursday,Labour Day/May Day,National holiday
14/05/2003,Wednesday,The Prophet Muhammad's Birthday,National holiday
21/06/2003,Saturday,June Solstice,Season
30/07/2003,Wednesday,Feast of the Throne,National holiday
14/08/2003,Thursday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
20/08/2003,Wednesday,Anniversary of the Revolution of the King and the People,National holiday
21/08/2003,Thursday,Youth Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
27/10/2003,Monday,Ramadan Start,Observance
06/11/2003,Thursday,Anniversary of the Green March,National holiday
18/11/2003,Tuesday,Independence Day,National holiday
26/11/2003,Wednesday,Eid al-Fitr,National holiday
27/11/2003,Thursday,Eid al-Fitr holiday,National holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year's Day,National holiday
11/01/2004,Sunday,Anniversary of the Independence Manifesto,National holiday
02/02/2004,Monday,Eid al-Adha,National holiday
03/02/2004,Tuesday,Eid al-Adha holiday,National holiday
22/02/2004,Sunday,Hijra New Year,National holiday
20/03/2004,Saturday,March Equinox,Season
01/05/2004,Saturday,Labour Day/May Day,National holiday
02/05/2004,Sunday,The Prophet Muhammad's Birthday,National holiday
21/06/2004,Monday,June Solstice,Season
30/07/2004,Friday,Feast of the Throne,National holiday
14/08/2004,Saturday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
20/08/2004,Friday,Anniversary of the Revolution of the King and the People,National holiday
21/08/2004,Saturday,Youth Day,National holiday
22/09/2004,Wednesday,September Equinox,Season
15/10/2004,Friday,Ramadan Start,Observance
06/11/2004,Saturday,Anniversary of the Green March,National holiday
14/11/2004,Sunday,Eid al-Fitr,National holiday
15/11/2004,Monday,Eid al-Fitr holiday,National holiday
18/11/2004,Thursday,Independence Day,National holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year's Day,National holiday
11/01/2005,Tuesday,Anniversary of the Independence Manifesto,National holiday
21/01/2005,Friday,Eid al-Adha,National holiday
22/01/2005,Saturday,Eid al-Adha holiday,National holiday
10/02/2005,Thursday,Hijra New Year,National holiday
20/03/2005,Sunday,March Equinox,Season
21/04/2005,Thursday,The Prophet Muhammad's Birthday,National holiday
01/05/2005,Sunday,Labour Day/May Day,National holiday
21/06/2005,Tuesday,June Solstice,Season
30/07/2005,Saturday,Feast of the Throne,National holiday
14/08/2005,Sunday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
20/08/2005,Saturday,Anniversary of the Revolution of the King and the People,National holiday
21/08/2005,Sunday,Youth Day,National holiday
22/09/2005,Thursday,September Equinox,Season
05/10/2005,Wednesday,Ramadan Start,Observance
04/11/2005,Friday,Eid al-Fitr,National holiday
05/11/2005,Saturday,Eid al-Fitr holiday,National holiday
06/11/2005,Sunday,Anniversary of the Green March,National holiday
18/11/2005,Friday,Independence Day,National holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year's Day,National holiday
10/01/2006,Tuesday,Eid al-Adha,National holiday
11/01/2006,Wednesday,Anniversary of the Independence Manifesto,National holiday
11/01/2006,Wednesday,Eid al-Adha holiday,National holiday
31/01/2006,Tuesday,Hijra New Year,National holiday
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,The Prophet Muhammad's Birthday,National holiday
01/05/2006,Monday,Labour Day/May Day,National holiday
21/06/2006,Wednesday,June Solstice,Season
30/07/2006,Sunday,Feast of the Throne,National holiday
14/08/2006,Monday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
20/08/2006,Sunday,Anniversary of the Revolution of the King and the People,National holiday
21/08/2006,Monday,Youth Day,National holiday
23/09/2006,Saturday,September Equinox,Season
24/09/2006,Sunday,Ramadan Start,Observance
24/10/2006,Tuesday,Eid al-Fitr,National holiday
25/10/2006,Wednesday,Eid al-Fitr holiday,National holiday
06/11/2006,Monday,Anniversary of the Green March,National holiday
18/11/2006,Saturday,Independence Day,National holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Eid al-Adha,National holiday
01/01/2007,Monday,New Year's Day,National holiday
01/01/2007,Monday,Eid al-Adha holiday,National holiday
11/01/2007,Thursday,Anniversary of the Independence Manifesto,National holiday
20/01/2007,Saturday,Hijra New Year,National holiday
21/03/2007,Wednesday,March Equinox,Season
31/03/2007,Saturday,The Prophet Muhammad's Birthday,National holiday
01/05/2007,Tuesday,Labour Day/May Day,National holiday
21/06/2007,Thursday,June Solstice,Season
30/07/2007,Monday,Feast of the Throne,National holiday
14/08/2007,Tuesday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
20/08/2007,Monday,Anniversary of the Revolution of the King and the People,National holiday
21/08/2007,Tuesday,Youth Day,National holiday
14/09/2007,Friday,Ramadan Start,Observance
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Eid al-Fitr,National holiday
14/10/2007,Sunday,Eid al-Fitr holiday,National holiday
06/11/2007,Tuesday,Anniversary of the Green March,National holiday
18/11/2007,Sunday,Independence Day,National holiday
20/12/2007,Thursday,Eid al-Adha,National holiday
21/12/2007,Friday,Eid al-Adha holiday,National holiday
22/12/2007,Saturday,December Solstice,Season
01/01/2008,Tuesday,New Year's Day,National holiday
10/01/2008,Thursday,Hijra New Year,National holiday
11/01/2008,Friday,Anniversary of the Independence Manifesto,National holiday
20/03/2008,Thursday,The Prophet Muhammad's Birthday,National holiday
20/03/2008,Thursday,March Equinox,Season
01/05/2008,Thursday,Labour Day/May Day,National holiday
01/06/2008,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/06/2008,Saturday,June Solstice,Season
30/07/2008,Wednesday,Feast of the Throne,National holiday
14/08/2008,Thursday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
20/08/2008,Wednesday,Anniversary of the Revolution of the King and the People,National holiday
21/08/2008,Thursday,Youth Day,National holiday
01/09/2008,Monday,Daylight Saving Time ends,Clock change/Daylight Saving Time
02/09/2008,Tuesday,Ramadan Start,Observance
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid al-Fitr,National holiday
03/10/2008,Friday,Eid al-Fitr holiday,National holiday
06/11/2008,Thursday,Anniversary of the Green March,National holiday
18/11/2008,Tuesday,Independence Day,National holiday
09/12/2008,Tuesday,Eid al-Adha,National holiday
10/12/2008,Wednesday,Eid al-Adha holiday,National holiday
21/12/2008,Sunday,December Solstice,Season
29/12/2008,Monday,Hijra New Year,National holiday
01/01/2009,Thursday,New Year's Day,National holiday
11/01/2009,Sunday,Anniversary of the Independence Manifesto,National holiday
09/03/2009,Monday,The Prophet Muhammad's Birthday,National holiday
20/03/2009,Friday,March Equinox,Season
01/05/2009,Friday,Labour Day/May Day,National holiday
01/06/2009,Monday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/06/2009,Sunday,June Solstice,Season
30/07/2009,Thursday,Feast of the Throne,National holiday
14/08/2009,Friday,Anniversary of the Recovery Oued Ed-Dahab,National holiday
20/08/2009,Thursday,Anniversary of the Revolution of the King and the People,National holiday
