Date,Day,Name,Type
01/01/2000,Saturday,New Year Holiday,Public Holiday
04/01/2000,Tuesday,Independence Day,Public Holiday
12/02/2000,Saturday,Union Day,Public Holiday
03/03/2000,Friday,Peasants' Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
27/03/2000,Monday,Armed Forces' Day,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
19/07/2000,Wednesday,Martyrs' Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
31/12/2000,Sunday,New Year Holiday,Public Holiday
01/01/2001,Monday,New Year Holiday,Public Holiday
04/01/2001,Thursday,Independence Day,Public Holiday
12/02/2001,Monday,Union Day,Public Holiday
03/03/2001,Saturday,Peasants' Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
27/03/2001,Tuesday,Armed Forces' Day,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
19/07/2001,Thursday,Martyrs' Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
31/12/2001,Monday,New Year Holiday,Public Holiday
01/01/2002,Tuesday,New Year Holiday,Public Holiday
04/01/2002,Friday,Independence Day,Public Holiday
12/02/2002,Tuesday,Union Day,Public Holiday
03/03/2002,Sunday,Peasants' Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
27/03/2002,Wednesday,Armed Forces' Day,Public Holiday
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
19/07/2002,Friday,Martyrs' Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
31/12/2002,Tuesday,New Year Holiday,Public Holiday
01/01/2003,Wednesday,New Year Holiday,Public Holiday
04/01/2003,Saturday,Independence Day,Public Holiday
12/02/2003,Wednesday,Union Day,Public Holiday
03/03/2003,Monday,Peasants' Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
27/03/2003,Thursday,Armed Forces' Day,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
19/07/2003,Saturday,Martyrs' Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
31/12/2003,Wednesday,New Year Holiday,Public Holiday
01/01/2004,Thursday,New Year Holiday,Public Holiday
04/01/2004,Sunday,Independence Day,Public Holiday
12/02/2004,Thursday,Union Day,Public Holiday
03/03/2004,Wednesday,Peasants' Day,Public Holiday
