Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Independence Day,Public Holiday
02/04/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/04/2000,Friday,Good Friday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Workers' Day,Public Holiday
04/05/2000,Thursday,Cassinga Day,Public Holiday
25/05/2000,Thursday,Africa Day,Public Holiday
01/06/2000,Thursday,Ascension Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
26/08/2000,Saturday,Heroes' Day,Public Holiday
03/09/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
22/09/2000,Friday,September Equinox,Season
10/12/2000,Sunday,Day of the Namibian Women and International Human Rights Day,Public Holiday
11/12/2000,Monday,Day of the Namibian Women and International Human Rights Day observed,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Family Day,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
21/03/2001,Wednesday,Independence Day,Public Holiday
01/04/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
13/04/2001,Friday,Good Friday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Workers' Day,Public Holiday
04/05/2001,Friday,Cassinga Day,Public Holiday
24/05/2001,Thursday,Ascension Day,Public Holiday
25/05/2001,Friday,Africa Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
26/08/2001,Sunday,Heroes' Day,Public Holiday
27/08/2001,Monday,Heroes' Day observed,Public Holiday
02/09/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
23/09/2001,Sunday,September Equinox,Season
10/12/2001,Monday,Day of the Namibian Women and International Human Rights Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Family Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
21/03/2002,Thursday,Independence Day,Public Holiday
29/03/2002,Friday,Good Friday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,Public Holiday
07/04/2002,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/05/2002,Wednesday,Workers' Day,Public Holiday
04/05/2002,Saturday,Cassinga Day,Public Holiday
09/05/2002,Thursday,Ascension Day,Public Holiday
25/05/2002,Saturday,Africa Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
26/08/2002,Monday,Heroes' Day,Public Holiday
01/09/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
23/09/2002,Monday,September Equinox,Season
10/12/2002,Tuesday,Day of the Namibian Women and International Human Rights Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Family Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
21/03/2003,Friday,Independence Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
06/04/2003,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
18/04/2003,Friday,Good Friday,Public Holiday
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Workers' Day,Public Holiday
04/05/2003,Sunday,Cassinga Day,Public Holiday
05/05/2003,Monday,Cassinga Day observed,Public Holiday
25/05/2003,Sunday,Africa Day,Public Holiday
26/05/2003,Monday,Africa Day observed,Public Holiday
29/05/2003,Thursday,Ascension Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
26/08/2003,Tuesday,Heroes' Day,Public Holiday
07/09/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
23/09/2003,Tuesday,September Equinox,Season
10/12/2003,Wednesday,Day of the Namibian Women and International Human Rights Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Family Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
20/03/2004,Saturday,March Equinox,Season
21/03/2004,Sunday,Independence Day,Public Holiday
22/03/2004,Monday,Independence Day observed,Public Holiday
04/04/2004,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
09/04/2004,Friday,Good Friday,Public Holiday
