Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,New Year's Day observed,Public Holiday
31/01/2000,Monday,Independence Day,Public Holiday
01/02/2000,Tuesday,Independence Day Holiday,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
25/04/2000,Tuesday,Easter Tuesday,Public Holiday
17/05/2000,Wednesday,Constitution Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
23/09/2000,Saturday,September Equinox,Season
26/10/2000,Thursday,Angam Day,Public Holiday
22/12/2000,Friday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Christmas Day observed,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
31/01/2001,Wednesday,Independence Day,Public Holiday
01/02/2001,Thursday,Independence Day Holiday,Public Holiday
21/03/2001,Wednesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
17/04/2001,Tuesday,Easter Tuesday,Public Holiday
17/05/2001,Thursday,Constitution Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,September Equinox,Season
26/10/2001,Friday,Angam Day,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
31/01/2002,Thursday,Independence Day,Public Holiday
01/02/2002,Friday,Independence Day Holiday,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
02/04/2002,Tuesday,Easter Tuesday,Public Holiday
17/05/2002,Friday,Constitution Day,Public Holiday
22/06/2002,Saturday,June Solstice,Season
23/09/2002,Monday,September Equinox,Season
26/10/2002,Saturday,Angam Day,Public Holiday
28/10/2002,Monday,Angam Day observed,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
