Date,Day,Name,Type
21/03/2015,Saturday,March Equinox,Season
14/04/2015,Tuesday,Nepali New Year,Public Holiday
24/04/2015,Friday,Loktantra Diwas,Public Holiday
04/05/2015,Monday,Birth Anniversary of Lord Gautama Buddha,Public Holiday
28/05/2015,Thursday,National Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
08/09/2015,Tuesday,Civil Service Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
22/10/2015,Thursday,Maha Nawami (Dashain Festival),Public Holiday
23/10/2015,Friday,Bijaya Dashami (Dashain Festival),Public Holiday
12/11/2015,Thursday,Gobardhan Pooja (Tihar Festival),Public Holiday
13/11/2015,Friday,Bhai Tika (Tihar Festival),Public Holiday
14/11/2015,Saturday,Bhai Tika (Tihar Festival),Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
15/01/2016,Friday,Maghe Sankranti,Optional Holiday
30/01/2016,Saturday,Martyrs' Memorial Day,Public Holiday
09/02/2016,Tuesday,Sonam Losar (Tamang New Year),Optional Holiday
10/02/2016,Wednesday,Sushil Koirala Funeral Day,Public Holiday
19/02/2016,Friday,National Democracy Day,Public Holiday
07/03/2016,Monday,Maha Shivaratri,Public Holiday
08/03/2016,Tuesday,Nari Dibas,Public Holiday
09/03/2016,Wednesday,Gyalpo Losar,Optional Holiday
20/03/2016,Sunday,March Equinox,Season
22/03/2016,Tuesday,Holi Purnima (Hill region),Local holiday
23/03/2016,Wednesday,Holi Purnima (Terai region),Local holiday
07/04/2016,Thursday,Godhe Yatra,Local holiday
13/04/2016,Wednesday,Nepali New Year,Public Holiday
15/04/2016,Friday,Ram Nawami,Public Holiday
24/04/2016,Sunday,Loktantra Diwas,Public Holiday
01/05/2016,Sunday,Majdoor Divas,Public Holiday
20/05/2016,Friday,Buddha Jayanti,Public Holiday
27/05/2016,Friday,Ganatantra Diwas (Republic Day),Public Holiday
21/06/2016,Tuesday,June Solstice,Season
06/07/2016,Wednesday,Ramjan Edul Fikra,Optional Holiday
18/08/2016,Thursday,Janai Purnima,Public Holiday
19/08/2016,Friday,Gai Jatra,Public Holiday
25/08/2016,Thursday,Gaura Parba,Optional Holiday
25/08/2016,Thursday,Shree Krishna Janamashtami,Public Holiday
