Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
02/01/2000,Sunday,Day after New Year's Day,National holiday
03/01/2000,Monday,Day off for New Year's Day,National holiday
04/01/2000,Tuesday,Day off for Day after New Year's Day,National holiday
24/01/2000,Monday,Wellington Anniversary Day,Local holiday
06/02/2000,Sunday,Waitangi Day,National holiday
14/02/2000,Monday,Valentine's Day,Observance
20/03/2000,Monday,March Equinox,Season
01/04/2000,Saturday,April Fools,Observance
21/04/2000,Friday,Good Friday,National holiday
22/04/2000,Saturday,Holy Saturday,Observance
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,National holiday
25/04/2000,Tuesday,ANZAC Day,National holiday
14/05/2000,Sunday,Mother's Day,Observance
05/06/2000,Monday,Queen Elizabeth II's Birthday,National holiday
21/06/2000,Wednesday,June Solstice,Season
03/09/2000,Sunday,Father's Day,Observance
23/09/2000,Saturday,September Equinox,Season
23/10/2000,Monday,Labour Day,National holiday
31/10/2000,Tuesday,Halloween,Observance
05/11/2000,Sunday,Guy Fawkes Night,Observance
22/12/2000,Friday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Boxing Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
02/01/2001,Tuesday,Day after New Year's Day,National holiday
22/01/2001,Monday,Wellington Anniversary Day,Local holiday
06/02/2001,Tuesday,Waitangi Day,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
21/03/2001,Wednesday,March Equinox,Season
01/04/2001,Sunday,April Fools,Observance
13/04/2001,Friday,Good Friday,National holiday
14/04/2001,Saturday,Holy Saturday,Observance
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,National holiday
25/04/2001,Wednesday,ANZAC Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
04/06/2001,Monday,Queen Elizabeth II's Birthday,National holiday
21/06/2001,Thursday,June Solstice,Season
02/09/2001,Sunday,Father's Day,Observance
23/09/2001,Sunday,September Equinox,Season
22/10/2001,Monday,Labour Day,National holiday
31/10/2001,Wednesday,Halloween,Observance
05/11/2001,Monday,Guy Fawkes Night,Observance
22/12/2001,Saturday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Boxing Day,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
02/01/2002,Wednesday,Day after New Year's Day,National holiday
21/01/2002,Monday,Wellington Anniversary Day,Local holiday
06/02/2002,Wednesday,Waitangi Day,National holiday
14/02/2002,Thursday,Valentine's Day,Observance
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,National holiday
30/03/2002,Saturday,Holy Saturday,Observance
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,National holiday
01/04/2002,Monday,April Fools,Observance
25/04/2002,Thursday,ANZAC Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
03/06/2002,Monday,Queen Elizabeth II's Birthday,National holiday
22/06/2002,Saturday,June Solstice,Season
01/09/2002,Sunday,Father's Day,Observance
23/09/2002,Monday,September Equinox,Season
28/10/2002,Monday,Labour Day,National holiday
31/10/2002,Thursday,Halloween,Observance
05/11/2002,Tuesday,Guy Fawkes Night,Observance
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,Boxing Day,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
02/01/2003,Thursday,Day after New Year's Day,National holiday
20/01/2003,Monday,Wellington Anniversary Day,Local holiday
27/01/2003,Monday,Northland Anniversary Day,Local holiday
27/01/2003,Monday,Auckland Anniversary Day,Local holiday
03/02/2003,Monday,Nelson Anniversary Day,Local holiday
06/02/2003,Thursday,Waitangi Day,National holiday
14/02/2003,Friday,Valentine's Day,Observance
10/03/2003,Monday,Taranaki Anniversary Day,Local holiday
21/03/2003,Friday,March Equinox,Season
24/03/2003,Monday,Otago Anniversary Day,Local holiday
01/04/2003,Tuesday,April Fools,Observance
18/04/2003,Friday,Good Friday,National holiday
19/04/2003,Saturday,Holy Saturday,Observance
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,National holiday
22/04/2003,Tuesday,Southland Anniversary Day,Local holiday
25/04/2003,Friday,ANZAC Day,National holiday
11/05/2003,Sunday,Mother's Day,Observance
02/06/2003,Monday,Queen Elizabeth II's Birthday,National holiday
22/06/2003,Sunday,June Solstice,Season
07/09/2003,Sunday,Father's Day,Observance
22/09/2003,Monday,South Canterbury Anniversary Day,Local holiday
23/09/2003,Tuesday,September Equinox,Season
24/10/2003,Friday,Hawke's Bay Anniversary Day,Local holiday
27/10/2003,Monday,Labour Day,National holiday
31/10/2003,Friday,Halloween,Observance
03/11/2003,Monday,Marlborough Anniversary Day,Local holiday
05/11/2003,Wednesday,Guy Fawkes Night,Observance
14/11/2003,Friday,Canterbury Anniversary Day,Local holiday
01/12/2003,Monday,Chatham Islands Anniversary Day,Local holiday
01/12/2003,Monday,Westland Anniversary Day,Local holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,Observance
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,Boxing Day,National holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
02/01/2004,Friday,Day after New Year's Day,National holiday
19/01/2004,Monday,Wellington Anniversary Day,Local holiday
26/01/2004,Monday,Northland Anniversary Day,Local holiday
26/01/2004,Monday,Auckland Anniversary Day,Local holiday
02/02/2004,Monday,Nelson Anniversary Day,Local holiday
06/02/2004,Friday,Waitangi Day,National holiday
14/02/2004,Saturday,Valentine's Day,Observance
08/03/2004,Monday,Taranaki Anniversary Day,Local holiday
20/03/2004,Saturday,March Equinox,Season
22/03/2004,Monday,Otago Anniversary Day,Local holiday
01/04/2004,Thursday,April Fools,Observance
09/04/2004,Friday,Good Friday,National holiday
10/04/2004,Saturday,Holy Saturday,Observance
11/04/2004,Sunday,Easter Sunday,Observance
12/04/2004,Monday,Easter Monday,National holiday
13/04/2004,Tuesday,Southland Anniversary Day,Local holiday
25/04/2004,Sunday,ANZAC Day,National holiday
09/05/2004,Sunday,Mother's Day,Observance
07/06/2004,Monday,Queen Elizabeth II's Birthday,National holiday
21/06/2004,Monday,June Solstice,Season
05/09/2004,Sunday,Father's Day,Observance
23/09/2004,Thursday,September Equinox,Season
27/09/2004,Monday,South Canterbury Anniversary Day,Local holiday
22/10/2004,Friday,Hawke's Bay Anniversary Day,Local holiday
25/10/2004,Monday,Labour Day,National holiday
31/10/2004,Sunday,Halloween,Observance
01/11/2004,Monday,Marlborough Anniversary Day,Local holiday
05/11/2004,Friday,Guy Fawkes Night,Observance
12/11/2004,Friday,Canterbury Anniversary Day,Local holiday
29/11/2004,Monday,Chatham Islands Anniversary Day,Local holiday
29/11/2004,Monday,Westland Anniversary Day,Local holiday
22/12/2004,Wednesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,Observance
25/12/2004,Saturday,Christmas Day,National holiday
26/12/2004,Sunday,Boxing Day,National holiday
27/12/2004,Monday,Day off for Christmas Day,National holiday
28/12/2004,Tuesday,Day off for Boxing Day,National holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
02/01/2005,Sunday,Day after New Year's Day,National holiday
03/01/2005,Monday,Day off for New Year's Day,National holiday
04/01/2005,Tuesday,Day off for Day after New Year's Day,National holiday
24/01/2005,Monday,Wellington Anniversary Day,Local holiday
31/01/2005,Monday,Northland Anniversary Day,Local holiday
31/01/2005,Monday,Auckland Anniversary Day,Local holiday
31/01/2005,Monday,Nelson Anniversary Day,Local holiday
06/02/2005,Sunday,Waitangi Day,National holiday
14/02/2005,Monday,Valentine's Day,Observance
14/03/2005,Monday,Taranaki Anniversary Day,Local holiday
21/03/2005,Monday,Otago Anniversary Day,Local holiday
21/03/2005,Monday,March Equinox,Season
25/03/2005,Friday,Good Friday,National holiday
26/03/2005,Saturday,Holy Saturday,Observance
27/03/2005,Sunday,Easter Sunday,Observance
28/03/2005,Monday,Easter Monday,National holiday
29/03/2005,Tuesday,Southland Anniversary Day,Local holiday
01/04/2005,Friday,April Fools,Observance
25/04/2005,Monday,ANZAC Day,National holiday
08/05/2005,Sunday,Mother's Day,Observance
06/06/2005,Monday,Queen Elizabeth II's Birthday,National holiday
21/06/2005,Tuesday,June Solstice,Season
04/09/2005,Sunday,Father's Day,Observance
23/09/2005,Friday,September Equinox,Season
26/09/2005,Monday,South Canterbury Anniversary Day,Local holiday
21/10/2005,Friday,Hawke's Bay Anniversary Day,Local holiday
24/10/2005,Monday,Labour Day,National holiday
31/10/2005,Monday,Halloween,Observance
