Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
04/01/2000,Tuesday,Lailat al-Qadr,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
17/03/2000,Friday,Eid al-Adha Holiday,Public Holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
24/04/2000,Monday,Concord Day,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
15/06/2000,Thursday,The Prophet's Birthday,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
03/08/2000,Thursday,Nigerien Independence Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
18/12/2000,Monday,Nigerien Republic Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Lailat al-Qadr,Public Holiday
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
07/03/2001,Wednesday,Eid al-Adha Holiday,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
24/04/2001,Tuesday,Concord Day,Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
04/06/2001,Monday,The Prophet's Birthday,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
03/08/2001,Friday,Nigerien Independence Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
13/12/2001,Thursday,Lailat al-Qadr,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
18/12/2001,Tuesday,Nigerien Republic Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
24/02/2002,Sunday,Eid al-Adha Holiday,Public Holiday
15/03/2002,Friday,Muharram,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
01/04/2002,Monday,Easter Monday,Public Holiday
24/04/2002,Wednesday,Concord Day,Public Holiday
