Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
08/01/2000,Saturday,Id el Fitr,Public Holiday
14/02/2000,Monday,Valentine's Day,Observance
08/03/2000,Wednesday,Ash Wednesday,"Observance, Christian"
08/03/2000,Wednesday,Women's Day,Observance
16/03/2000,Thursday,Id el Kabir,Public Holiday
20/03/2000,Monday,March Equinox,Season
02/04/2000,Sunday,Mothering Sunday,Observance
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,"Observance, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Workers' Day,Public Holiday
27/05/2000,Saturday,Children's Day,Observance
29/05/2000,Monday,Democracy Day,Public Holiday
15/06/2000,Thursday,Id el Maulud,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
22/09/2000,Friday,September Equinox,Season
01/10/2000,Sunday,National Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,"Observance, Christian"
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
28/12/2000,Thursday,Id el Fitr,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
14/02/2001,Wednesday,Valentine's Day,Observance
28/02/2001,Wednesday,Ash Wednesday,"Observance, Christian"
06/03/2001,Tuesday,Id el Kabir,Public Holiday
08/03/2001,Thursday,Women's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Mothering Sunday,Observance
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,"Observance, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Workers' Day,Public Holiday
27/05/2001,Sunday,Children's Day,Observance
29/05/2001,Tuesday,Democracy Day,Public Holiday
04/06/2001,Monday,Id el Maulud,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,National Day,Public Holiday
17/12/2001,Monday,Id el Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,"Observance, Christian"
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
13/02/2002,Wednesday,Ash Wednesday,"Observance, Christian"
14/02/2002,Thursday,Valentine's Day,Observance
23/02/2002,Saturday,Id el Kabir,Public Holiday
08/03/2002,Friday,Women's Day,Observance
10/03/2002,Sunday,Mothering Sunday,Observance
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,"Observance, Christian"
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Workers' Day,Public Holiday
24/05/2002,Friday,Id el Maulud,Public Holiday
27/05/2002,Monday,Children's Day,Observance
29/05/2002,Wednesday,Democracy Day,Public Holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,National Day,Public Holiday
06/12/2002,Friday,Id el Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,"Observance, Christian"
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,Public Holiday
12/02/2003,Wednesday,Id el Kabir,Public Holiday
14/02/2003,Friday,Valentine's Day,Observance
05/03/2003,Wednesday,Ash Wednesday,"Observance, Christian"
08/03/2003,Saturday,Women's Day,Observance
21/03/2003,Friday,March Equinox,Season
30/03/2003,Sunday,Mothering Sunday,Observance
18/04/2003,Friday,Good Friday,Public Holiday
19/04/2003,Saturday,Holy Saturday,"Observance, Christian"
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Workers' Day,Public Holiday
14/05/2003,Wednesday,Id el Maulud,Public Holiday
27/05/2003,Tuesday,Children's Day,Observance
29/05/2003,Thursday,Democracy Day,Public Holiday
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,National Day,Public Holiday
26/11/2003,Wednesday,Id el Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,"Observance, Christian"
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,Public Holiday
02/02/2004,Monday,Id el Kabir,Public Holiday
14/02/2004,Saturday,Valentine's Day,Observance
25/02/2004,Wednesday,Ash Wednesday,"Observance, Christian"
08/03/2004,Monday,Women's Day,Observance
20/03/2004,Saturday,March Equinox,Season
21/03/2004,Sunday,Mothering Sunday,Observance
09/04/2004,Friday,Good Friday,Public Holiday
10/04/2004,Saturday,Holy Saturday,"Observance, Christian"
11/04/2004,Sunday,Easter Sunday,"Observance, Christian"
12/04/2004,Monday,Easter Monday,Public Holiday
01/05/2004,Saturday,Workers' Day,Public Holiday
02/05/2004,Sunday,Id el Maulud,Public Holiday
27/05/2004,Thursday,Children's Day,Observance
29/05/2004,Saturday,Democracy Day,Public Holiday
12/06/2004,Saturday,June 12 Commemoration,Local holiday
20/06/2004,Sunday,Father's Day,Observance
21/06/2004,Monday,June Solstice,Season
22/09/2004,Wednesday,September Equinox,Season
01/10/2004,Friday,National Day,Public Holiday
14/11/2004,Sunday,Id el Fitr,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,"Observance, Christian"
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,Public Holiday
21/01/2005,Friday,Id el Kabir,Public Holiday
09/02/2005,Wednesday,Ash Wednesday,"Observance, Christian"
14/02/2005,Monday,Valentine's Day,Observance
06/03/2005,Sunday,Mothering Sunday,Observance
08/03/2005,Tuesday,Women's Day,Observance
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
26/03/2005,Saturday,Holy Saturday,"Observance, Christian"
27/03/2005,Sunday,Easter Sunday,"Observance, Christian"
28/03/2005,Monday,Easter Monday,Public Holiday
21/04/2005,Thursday,Id el Maulud,Public Holiday
01/05/2005,Sunday,Workers' Day,Public Holiday
27/05/2005,Friday,Children's Day,Observance
29/05/2005,Sunday,Democracy Day,Public Holiday
12/06/2005,Sunday,June 12 Commemoration,Local holiday
19/06/2005,Sunday,Father's Day,Observance
21/06/2005,Tuesday,June Solstice,Season
22/09/2005,Thursday,September Equinox,Season
01/10/2005,Saturday,National Day,Public Holiday
04/11/2005,Friday,Id el Fitr,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
