Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
13/02/2000,Sunday,Mother's Day,Observance
14/02/2000,Monday,Valentine's Day,Observance
21/02/2000,Monday,King Harald V's Day,Flag day
05/03/2000,Sunday,Carnival,Observance
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
16/04/2000,Sunday,Palm Sunday,Observance
20/04/2000,Thursday,Maundy Thursday,National holiday
21/04/2000,Friday,Good Friday,National holiday
22/04/2000,Saturday,Holy Saturday,Observance
23/04/2000,Sunday,Easter Sunday,National holiday
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day,"National holiday, Flag day"
08/05/2000,Monday,Day of Liberation,"Observance, Flag day"
17/05/2000,Wednesday,17 May Constitution Day (1814),"National holiday, Flag day"
01/06/2000,Thursday,Ascension Day,National holiday
07/06/2000,Wednesday,Dissolution of Union With Sweden (1905),Flag day
10/06/2000,Saturday,Whit Saturday,Observance
11/06/2000,Sunday,Whit Sunday,National holiday
12/06/2000,Monday,Whit Monday,National holiday
21/06/2000,Wednesday,June Solstice,Season
23/06/2000,Friday,Midsummer Eve,Observance
24/06/2000,Saturday,St. John's Day,Observance
04/07/2000,Tuesday,Queen Sonja's Day,Flag day
20/07/2000,Thursday,Crown Prince Haakon's Day,Flag day
29/07/2000,Saturday,St. Olaf's Day,Flag day
22/09/2000,Friday,Princess Märtha's Day,Flag day
22/09/2000,Friday,September Equinox,Season
24/10/2000,Tuesday,United Nations Day,Observance
29/10/2000,Sunday,Repentance Day,Observance
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2000,Tuesday,Halloween,Observance
05/11/2000,Sunday,All Saints' Day,Observance
12/11/2000,Sunday,Father's Day,Observance
03/12/2000,Sunday,First Advent Sunday,Observance
10/12/2000,Sunday,Second Advent Sunday,Observance
17/12/2000,Sunday,Third Advent Sunday,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Fourth Advent Sunday,Observance
24/12/2000,Sunday,Christmas Eve,Bank Holiday / Observance
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Boxing Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
11/02/2001,Sunday,Mother's Day,Observance
14/02/2001,Wednesday,Valentine's Day,Observance
21/02/2001,Wednesday,King Harald V's Day,Flag day
25/02/2001,Sunday,Carnival,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/04/2001,Sunday,Palm Sunday,Observance
12/04/2001,Thursday,Maundy Thursday,National holiday
