Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
09/01/2000,Sunday,Eid al-Fitr Holiday,Public Holiday
10/01/2000,Monday,Eid al-Fitr Holiday,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
17/03/2000,Friday,Eid al-Adha Holiday,Public Holiday
18/03/2000,Saturday,Eid al-Adha Holiday,Public Holiday
19/03/2000,Sunday,Eid al-Adha Holiday,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/06/2000,Wednesday,June Solstice,Season
23/07/2000,Sunday,Renaissance Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
26/10/2000,Thursday,Isra and Mi'raj,Public Holiday
18/11/2000,Saturday,National Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
29/12/2000,Friday,Eid al-Fitr Holiday,Public Holiday
30/12/2000,Saturday,Eid al-Fitr Holiday,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
07/03/2001,Wednesday,Eid al-Adha Holiday,Public Holiday
08/03/2001,Thursday,Eid al-Adha Holiday,Public Holiday
09/03/2001,Friday,Eid al-Adha Holiday,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
21/06/2001,Thursday,June Solstice,Season
23/07/2001,Monday,Renaissance Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
15/10/2001,Monday,Isra and Mi'raj,Public Holiday
18/11/2001,Sunday,National Day,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
18/12/2001,Tuesday,Eid al-Fitr Holiday,Public Holiday
19/12/2001,Wednesday,Eid al-Fitr Holiday,Public Holiday
21/12/2001,Friday,December Solstice,Season
01/01/2002,Tuesday,New Year,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
24/02/2002,Sunday,Eid al-Adha Holiday,Public Holiday
25/02/2002,Monday,Eid al-Adha Holiday,Public Holiday
26/02/2002,Tuesday,Eid al-Adha Holiday,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
21/06/2002,Friday,June Solstice,Season
23/07/2002,Tuesday,Renaissance Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
04/10/2002,Friday,Isra and Mi'raj,Public Holiday
18/11/2002,Monday,National Day,Public Holiday
06/12/2002,Friday,Eid al-Fitr,Public Holiday
07/12/2002,Saturday,Eid al-Fitr Holiday,Public Holiday
08/12/2002,Sunday,Eid al-Fitr Holiday,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
13/02/2003,Thursday,Eid al-Adha Holiday,Public Holiday
14/02/2003,Friday,Eid al-Adha Holiday,Public Holiday
15/02/2003,Saturday,Eid al-Adha Holiday,Public Holiday
21/03/2003,Friday,March Equinox,Season
21/06/2003,Saturday,June Solstice,Season
23/07/2003,Wednesday,Renaissance Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
24/09/2003,Wednesday,Isra and Mi'raj,Public Holiday
18/11/2003,Tuesday,National Day,Public Holiday
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
27/11/2003,Thursday,Eid al-Fitr Holiday,Public Holiday
28/11/2003,Friday,Eid al-Fitr Holiday,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
03/02/2004,Tuesday,Eid al-Adha Holiday,Public Holiday
04/02/2004,Wednesday,Eid al-Adha Holiday,Public Holiday
05/02/2004,Thursday,Eid al-Adha Holiday,Public Holiday
20/03/2004,Saturday,March Equinox,Season
21/06/2004,Monday,June Solstice,Season
23/07/2004,Friday,Renaissance Day,Public Holiday
12/09/2004,Sunday,Isra and Mi'raj,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
15/11/2004,Monday,Eid al-Fitr Holiday,Public Holiday
16/11/2004,Tuesday,Eid al-Fitr Holiday,Public Holiday
18/11/2004,Thursday,National Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
22/01/2005,Saturday,Eid al-Adha Holiday,Public Holiday
23/01/2005,Sunday,Eid al-Adha Holiday,Public Holiday
24/01/2005,Monday,Eid al-Adha Holiday,Public Holiday
20/03/2005,Sunday,March Equinox,Season
21/06/2005,Tuesday,June Solstice,Season
23/07/2005,Saturday,Renaissance Day,Public Holiday
01/09/2005,Thursday,Isra and Mi'raj,Public Holiday
23/09/2005,Friday,September Equinox,Season
04/11/2005,Friday,Eid al-Fitr,Public Holiday
05/11/2005,Saturday,Eid al-Fitr Holiday,Public Holiday
06/11/2005,Sunday,Eid al-Fitr Holiday,Public Holiday
18/11/2005,Friday,National Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
11/01/2006,Wednesday,Eid al-Adha Holiday,Public Holiday
12/01/2006,Thursday,Eid al-Adha Holiday,Public Holiday
13/01/2006,Friday,Eid al-Adha Holiday,Public Holiday
20/03/2006,Monday,March Equinox,Season
21/06/2006,Wednesday,June Solstice,Season
23/07/2006,Sunday,Renaissance Day,Public Holiday
22/08/2006,Tuesday,Isra and Mi'raj,Public Holiday
23/09/2006,Saturday,September Equinox,Season
24/10/2006,Tuesday,Eid al-Fitr,Public Holiday
25/10/2006,Wednesday,Eid al-Fitr Holiday,Public Holiday
26/10/2006,Thursday,Eid al-Fitr Holiday,Public Holiday
18/11/2006,Saturday,National Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Eid al-Adha,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
01/01/2007,Monday,Eid al-Adha Holiday,Public Holiday
02/01/2007,Tuesday,Eid al-Adha Holiday,Public Holiday
03/01/2007,Wednesday,Eid al-Adha Holiday,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
21/06/2007,Thursday,June Solstice,Season
23/07/2007,Monday,Renaissance Day,Public Holiday
11/08/2007,Saturday,Isra and Mi'raj,Public Holiday
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Eid al-Fitr,Public Holiday
14/10/2007,Sunday,Eid al-Fitr Holiday,Public Holiday
