Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
15/03/2000,Wednesday,Youth Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
05/05/2000,Friday,Senior Citizens Day,Public Holiday
01/06/2000,Thursday,President's Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
09/07/2000,Sunday,Constitution Day,Public Holiday
10/07/2000,Monday,Day off for Constitution Day,Public Holiday
04/09/2000,Monday,Labor Day,Public Holiday
23/09/2000,Saturday,September Equinox,Season
01/10/2000,Sunday,Independence Day,Public Holiday
02/10/2000,Monday,Day off for Independence Day,Public Holiday
24/10/2000,Tuesday,United Nations Day,Public Holiday
23/11/2000,Thursday,Thanksgiving,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
15/03/2001,Thursday,Youth Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
04/05/2001,Friday,Day off for Senior Citizens Day,Public Holiday
05/05/2001,Saturday,Senior Citizens Day,Public Holiday
01/06/2001,Friday,President's Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
09/07/2001,Monday,Constitution Day,Public Holiday
03/09/2001,Monday,Labor Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,Independence Day,Public Holiday
24/10/2001,Wednesday,United Nations Day,Public Holiday
22/11/2001,Thursday,Thanksgiving,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
15/03/2002,Friday,Youth Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
05/05/2002,Sunday,Senior Citizens Day,Public Holiday
06/05/2002,Monday,Day off for Senior Citizens Day,Public Holiday
31/05/2002,Friday,Day off for President's Day,Public Holiday
01/06/2002,Saturday,President's Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
09/07/2002,Tuesday,Constitution Day,Public Holiday
02/09/2002,Monday,Labor Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,Independence Day,Public Holiday
24/10/2002,Thursday,United Nations Day,Public Holiday
28/11/2002,Thursday,Thanksgiving,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
14/03/2003,Friday,Day off for Youth Day,Public Holiday
15/03/2003,Saturday,Youth Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
05/05/2003,Monday,Senior Citizens Day,Public Holiday
01/06/2003,Sunday,President's Day,Public Holiday
02/06/2003,Monday,Day off for President's Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
09/07/2003,Wednesday,Constitution Day,Public Holiday
01/09/2003,Monday,Labor Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,Independence Day,Public Holiday
24/10/2003,Friday,United Nations Day,Public Holiday
27/11/2003,Thursday,Thanksgiving,Public Holiday
22/12/2003,Monday,December Solstice,Season
