Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
09/01/2000,Sunday,Martyr's Day,National holiday
04/03/2000,Saturday,Carnival,Observance
05/03/2000,Sunday,Carnival,Observance
06/03/2000,Monday,Carnival / Shrove Monday,Common local holiday
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
08/03/2000,Wednesday,Carnival / Ash Wednesday,Common local holiday
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,Observance
21/04/2000,Friday,Good Friday,"National holiday, Christian"
22/04/2000,Saturday,Holy Saturday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
20/06/2000,Tuesday,June Solstice,Season
15/08/2000,Tuesday,Foundation of Old Panama City,Common local holiday
22/09/2000,Friday,September Equinox,Season
03/11/2000,Friday,Independence Day,National holiday
04/11/2000,Saturday,Flag Day,National holiday
05/11/2000,Sunday,Colón Day,National holiday
10/11/2000,Friday,Shout in Villa de los Santos,National holiday
28/11/2000,Tuesday,Independence from Spain,National holiday
08/12/2000,Friday,Mother's Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
09/01/2001,Tuesday,Martyr's Day,National holiday
24/02/2001,Saturday,Carnival,Observance
25/02/2001,Sunday,Carnival,Observance
26/02/2001,Monday,Carnival / Shrove Monday,Common local holiday
27/02/2001,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
28/02/2001,Wednesday,Carnival / Ash Wednesday,Common local holiday
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,Observance
13/04/2001,Friday,Good Friday,"National holiday, Christian"
14/04/2001,Saturday,Holy Saturday,"National holiday, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
