Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
12/06/2000,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
23/07/2000,Sunday,National Remembrance Day,Public Holiday
26/08/2000,Saturday,National Day of Repentance,Public Holiday
16/09/2000,Saturday,Independence Day,Public Holiday
23/09/2000,Saturday,September Equinox,Season
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
11/06/2001,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
23/07/2001,Monday,National Remembrance Day,Public Holiday
26/08/2001,Sunday,National Day of Repentance,Public Holiday
16/09/2001,Sunday,Independence Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
10/06/2002,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2002,Friday,June Solstice,Season
23/07/2002,Tuesday,National Remembrance Day,Public Holiday
26/08/2002,Monday,National Day of Repentance,Public Holiday
16/09/2002,Monday,Independence Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
22/12/2002,Sunday,December Solstice,Season
