Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
01/03/2000,Wednesday,Heroes' Day,National holiday
05/03/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,National holiday
21/04/2000,Friday,Good Friday,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
15/05/2000,Monday,Independence Day,National holiday
12/06/2000,Monday,Chaco Armistice,National holiday
20/06/2000,Tuesday,June Solstice,Season
15/08/2000,Tuesday,Founding of Asuncion,National holiday
22/09/2000,Friday,September Equinox,Season
29/09/2000,Friday,Boqueron Battle Victory Day,National holiday
01/10/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/12/2000,Friday,Virgin of Caacupé Day,National holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,National holiday
01/01/2001,Monday,New Year's Day,National holiday
01/03/2001,Thursday,Heroes' Day,National holiday
04/03/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,National holiday
13/04/2001,Friday,Good Friday,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
15/05/2001,Tuesday,Independence Day,National holiday
12/06/2001,Tuesday,Chaco Armistice,National holiday
21/06/2001,Thursday,June Solstice,Season
15/08/2001,Wednesday,Founding of Asuncion,National holiday
22/09/2001,Saturday,September Equinox,Season
29/09/2001,Saturday,Boqueron Battle Victory Day,National holiday
07/10/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/12/2001,Saturday,Virgin of Caacupé Day,National holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,National holiday
01/01/2002,Tuesday,New Year's Day,National holiday
01/03/2002,Friday,Heroes' Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
28/03/2002,Thursday,Maundy Thursday,National holiday
29/03/2002,Friday,Good Friday,National holiday
07/04/2002,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/05/2002,Wednesday,Labor Day / May Day,National holiday
15/05/2002,Wednesday,Independence Day,National holiday
12/06/2002,Wednesday,Chaco Armistice,National holiday
21/06/2002,Friday,June Solstice,Season
15/08/2002,Thursday,Founding of Asuncion,National holiday
01/09/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
23/09/2002,Monday,September Equinox,Season
29/09/2002,Sunday,Boqueron Battle Victory Day,National holiday
08/12/2002,Sunday,Virgin of Caacupé Day,National holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,National holiday
01/01/2003,Wednesday,New Year's Day,National holiday
01/03/2003,Saturday,Heroes' Day,National holiday
20/03/2003,Thursday,March Equinox,Season
06/04/2003,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
17/04/2003,Thursday,Maundy Thursday,National holiday
18/04/2003,Friday,Good Friday,National holiday
01/05/2003,Thursday,Labor Day / May Day,National holiday
15/05/2003,Thursday,Independence Day,National holiday
12/06/2003,Thursday,Chaco Armistice,National holiday
21/06/2003,Saturday,June Solstice,Season
15/08/2003,Friday,Founding of Asuncion,National holiday
07/09/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
23/09/2003,Tuesday,September Equinox,Season
29/09/2003,Monday,Boqueron Battle Victory Day,National holiday
08/12/2003,Monday,Virgin of Caacupé Day,National holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,National holiday
01/01/2004,Thursday,New Year's Day,National holiday
01/03/2004,Monday,Heroes' Day,National holiday
20/03/2004,Saturday,March Equinox,Season
04/04/2004,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
08/04/2004,Thursday,Maundy Thursday,National holiday
09/04/2004,Friday,Good Friday,National holiday
01/05/2004,Saturday,Labor Day / May Day,National holiday
15/05/2004,Saturday,Independence Day,National holiday
12/06/2004,Saturday,Chaco Armistice,National holiday
20/06/2004,Sunday,June Solstice,Season
15/08/2004,Sunday,Founding of Asuncion,National holiday
22/09/2004,Wednesday,September Equinox,Season
29/09/2004,Wednesday,Boqueron Battle Victory Day,National holiday
17/10/2004,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/12/2004,Wednesday,Virgin of Caacupé Day,National holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,National holiday
01/01/2005,Saturday,New Year's Day,National holiday
01/03/2005,Tuesday,Heroes' Day,National holiday
13/03/2005,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2005,Sunday,March Equinox,Season
24/03/2005,Thursday,Maundy Thursday,National holiday
25/03/2005,Friday,Good Friday,National holiday
01/05/2005,Sunday,Labor Day / May Day,National holiday
15/05/2005,Sunday,Independence Day,National holiday
12/06/2005,Sunday,Chaco Armistice,National holiday
21/06/2005,Tuesday,June Solstice,Season
15/08/2005,Monday,Founding of Asuncion,National holiday
22/09/2005,Thursday,September Equinox,Season
29/09/2005,Thursday,Boqueron Battle Victory Day,National holiday
16/10/2005,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/12/2005,Thursday,Virgin of Caacupé Day,National holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,National holiday
26/12/2005,Monday,Christmas Day observed,National holiday
01/01/2006,Sunday,New Year's Day,National holiday
01/03/2006,Wednesday,Heroes' Day,National holiday
12/03/2006,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2006,Monday,March Equinox,Season
13/04/2006,Thursday,Maundy Thursday,National holiday
14/04/2006,Friday,Good Friday,National holiday
01/05/2006,Monday,Labor Day / May Day,National holiday
15/05/2006,Monday,Independence Day,National holiday
12/06/2006,Monday,Chaco Armistice,National holiday
21/06/2006,Wednesday,June Solstice,Season
15/08/2006,Tuesday,Founding of Asuncion,National holiday
23/09/2006,Saturday,September Equinox,Season
29/09/2006,Friday,Boqueron Battle Victory Day,National holiday
15/10/2006,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/12/2006,Friday,Virgin of Caacupé Day,National holiday
21/12/2006,Thursday,December Solstice,Season
25/12/2006,Monday,Christmas Day,National holiday
01/01/2007,Monday,New Year's Day,National holiday
01/03/2007,Thursday,Heroes' Day,National holiday
11/03/2007,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2007,Tuesday,March Equinox,Season
05/04/2007,Thursday,Maundy Thursday,National holiday
06/04/2007,Friday,Good Friday,National holiday
01/05/2007,Tuesday,Labor Day / May Day,National holiday
15/05/2007,Tuesday,Independence Day,National holiday
12/06/2007,Tuesday,Chaco Armistice,National holiday
21/06/2007,Thursday,June Solstice,Season
15/08/2007,Wednesday,Founding of Asuncion,National holiday
23/09/2007,Sunday,September Equinox,Season
29/09/2007,Saturday,Boqueron Battle Victory Day,National holiday
21/10/2007,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/12/2007,Saturday,Virgin of Caacupé Day,National holiday
22/12/2007,Saturday,December Solstice,Season
