Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,The Three Wise Men Day,Observance
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
14/05/2000,Sunday,Mother's Day,Observance
07/06/2000,Wednesday,Flag Day,Observance
18/06/2000,Sunday,Father's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
24/06/2000,Saturday,Farmer Day,Observance
24/06/2000,Saturday,Inti Raymi Day,Observance
29/06/2000,Thursday,St Peter and St Paul,National holiday
28/07/2000,Friday,Independence Day,National holiday
30/08/2000,Wednesday,Santa Rosa De Lima,National holiday
22/09/2000,Friday,September Equinox,Season
24/09/2000,Sunday,Armed Forces Day,Observance
08/10/2000,Sunday,Battle of Angamos,National holiday
01/11/2000,Wednesday,All Saints' Day,National holiday
02/11/2000,Thursday,All Souls' Day,Observance
08/12/2000,Friday,Feast of the Immaculate Conception,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,"Observance, Christian"
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,The Three Wise Men Day,Observance
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
07/06/2001,Thursday,Flag Day,Observance
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
24/06/2001,Sunday,Farmer Day,Observance
24/06/2001,Sunday,Inti Raymi Day,Observance
29/06/2001,Friday,St Peter and St Paul,National holiday
28/07/2001,Saturday,Independence Day,National holiday
30/08/2001,Thursday,Santa Rosa De Lima,National holiday
22/09/2001,Saturday,September Equinox,Season
24/09/2001,Monday,Armed Forces Day,Observance
08/10/2001,Monday,Battle of Angamos,National holiday
01/11/2001,Thursday,All Saints' Day,National holiday
02/11/2001,Friday,All Souls' Day,Observance
08/12/2001,Saturday,Feast of the Immaculate Conception,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,"Observance, Christian"
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,The Three Wise Men Day,Observance
20/03/2002,Wednesday,March Equinox,Season
28/03/2002,Thursday,Maundy Thursday,"National holiday, Christian"
29/03/2002,Friday,Good Friday,"National holiday, Christian"
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
01/05/2002,Wednesday,Labor Day / May Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
07/06/2002,Friday,Flag Day,Observance
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
24/06/2002,Monday,Farmer Day,Observance
24/06/2002,Monday,Inti Raymi Day,Observance
29/06/2002,Saturday,St Peter and St Paul,National holiday
28/07/2002,Sunday,Independence Day,National holiday
30/08/2002,Friday,Santa Rosa De Lima,National holiday
22/09/2002,Sunday,September Equinox,Season
24/09/2002,Tuesday,Armed Forces Day,Observance
08/10/2002,Tuesday,Battle of Angamos,National holiday
01/11/2002,Friday,All Saints' Day,National holiday
02/11/2002,Saturday,All Souls' Day,Observance
08/12/2002,Sunday,Feast of the Immaculate Conception,National holiday
21/12/2002,Saturday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,"Observance, Christian"
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
06/01/2003,Monday,The Three Wise Men Day,Observance
20/03/2003,Thursday,March Equinox,Season
17/04/2003,Thursday,Maundy Thursday,"National holiday, Christian"
18/04/2003,Friday,Good Friday,"National holiday, Christian"
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
01/05/2003,Thursday,Labor Day / May Day,National holiday
11/05/2003,Sunday,Mother's Day,Observance
07/06/2003,Saturday,Flag Day,Observance
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
24/06/2003,Tuesday,Farmer Day,Observance
24/06/2003,Tuesday,Inti Raymi Day,Observance
29/06/2003,Sunday,St Peter and St Paul,National holiday
28/07/2003,Monday,Independence Day,National holiday
30/08/2003,Saturday,Santa Rosa De Lima,National holiday
23/09/2003,Tuesday,September Equinox,Season
24/09/2003,Wednesday,Armed Forces Day,Observance
08/10/2003,Wednesday,Battle of Angamos,National holiday
01/11/2003,Saturday,All Saints' Day,National holiday
02/11/2003,Sunday,All Souls' Day,Observance
08/12/2003,Monday,Feast of the Immaculate Conception,National holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,"Observance, Christian"
25/12/2003,Thursday,Christmas Day,"National holiday, Christian"
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
06/01/2004,Tuesday,The Three Wise Men Day,Observance
20/03/2004,Saturday,March Equinox,Season
08/04/2004,Thursday,Maundy Thursday,"National holiday, Christian"
09/04/2004,Friday,Good Friday,"National holiday, Christian"
11/04/2004,Sunday,Easter Sunday,"Observance, Christian"
01/05/2004,Saturday,Labor Day / May Day,National holiday
09/05/2004,Sunday,Mother's Day,Observance
07/06/2004,Monday,Flag Day,Observance
20/06/2004,Sunday,Father's Day,Observance
20/06/2004,Sunday,June Solstice,Season
24/06/2004,Thursday,Farmer Day,Observance
24/06/2004,Thursday,Inti Raymi Day,Observance
29/06/2004,Tuesday,St Peter and St Paul,National holiday
28/07/2004,Wednesday,Independence Day,National holiday
