Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
14/02/2000,Monday,Valentine's Day,Observance
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Observance
22/04/2000,Saturday,Holy Saturday,Observance
23/04/2000,Sunday,Easter Sunday,National holiday
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
02/05/2000,Tuesday,Day of the Flag,Observance
03/05/2000,Wednesday,Constitution Day,National holiday
26/05/2000,Friday,Mother's Day,Observance
01/06/2000,Thursday,Children’s Day,Observance
11/06/2000,Sunday,Whit Sunday,National holiday
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,National holiday
23/06/2000,Friday,Father's Day,Observance
15/08/2000,Tuesday,Assumption of Mary,National holiday
22/09/2000,Friday,September Equinox,Season
01/11/2000,Wednesday,All Saints' Day,National holiday
11/11/2000,Saturday,Independence Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Second Day of Christmas,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Observance
14/04/2001,Saturday,Holy Saturday,Observance
15/04/2001,Sunday,Easter Sunday,National holiday
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
02/05/2001,Wednesday,Day of the Flag,Observance
03/05/2001,Thursday,Constitution Day,National holiday
26/05/2001,Saturday,Mother's Day,Observance
01/06/2001,Friday,Children’s Day,Observance
03/06/2001,Sunday,Whit Sunday,National holiday
14/06/2001,Thursday,Corpus Christi,National holiday
21/06/2001,Thursday,June Solstice,Season
23/06/2001,Saturday,Father's Day,Observance
15/08/2001,Wednesday,Assumption of Mary,National holiday
23/09/2001,Sunday,September Equinox,Season
01/11/2001,Thursday,All Saints' Day,National holiday
11/11/2001,Sunday,Independence Day,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Second Day of Christmas,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
14/02/2002,Thursday,Valentine's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Observance
30/03/2002,Saturday,Holy Saturday,Observance
31/03/2002,Sunday,Easter Sunday,National holiday
01/04/2002,Monday,Easter Monday,National holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
02/05/2002,Thursday,Day of the Flag,Observance
03/05/2002,Friday,Constitution Day,National holiday
19/05/2002,Sunday,Whit Sunday,National holiday
26/05/2002,Sunday,Mother's Day,Observance
30/05/2002,Thursday,Corpus Christi,National holiday
01/06/2002,Saturday,Children’s Day,Observance
21/06/2002,Friday,June Solstice,Season
23/06/2002,Sunday,Father's Day,Observance
15/08/2002,Thursday,Assumption of Mary,National holiday
23/09/2002,Monday,September Equinox,Season
01/11/2002,Friday,All Saints' Day,National holiday
11/11/2002,Monday,Independence Day,National holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,Second Day of Christmas,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
14/02/2003,Friday,Valentine's Day,Observance
21/03/2003,Friday,March Equinox,Season
18/04/2003,Friday,Good Friday,Observance
19/04/2003,Saturday,Holy Saturday,Observance
20/04/2003,Sunday,Easter Sunday,National holiday
21/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labor Day / May Day,National holiday
02/05/2003,Friday,Day of the Flag,Observance
03/05/2003,Saturday,Constitution Day,National holiday
26/05/2003,Monday,Mother's Day,Observance
01/06/2003,Sunday,Children’s Day,Observance
08/06/2003,Sunday,Whit Sunday,National holiday
19/06/2003,Thursday,Corpus Christi,National holiday
21/06/2003,Saturday,June Solstice,Season
23/06/2003,Monday,Father's Day,Observance
