Date,Day,Name,Type
01/01/2014,Wednesday,New Year's Day,Public Holiday
06/01/2014,Monday,Epiphany,Public Holiday
20/01/2014,Monday,Martin Luther King Jr Day,Bank/Public Sector Holiday
14/02/2014,Friday,Valentine's Day,Observance
17/02/2014,Monday,Presidents' Day,Bank/Public Sector Holiday
18/02/2014,Tuesday,Day in Commemoration of the Birthday of Don Luis Muñoz-Marín,Observance
04/03/2014,Tuesday,Carnival/Shrove Tuesday,Observance
20/03/2014,Thursday,March Equinox,Season
22/03/2014,Saturday,Emancipation Day,Bank/Public Sector Holiday
16/04/2014,Wednesday,José de Diego’s Birthday,Observance
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Observance
11/05/2014,Sunday,Mothers' Day,Public Holiday
26/05/2014,Monday,Memorial Day,Bank/Public Sector Holiday
15/06/2014,Sunday,Fathers' Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
04/07/2014,Friday,US Independence Day,Bank/Public Sector Holiday
21/07/2014,Monday,Don Luis Muñoz Rivera’s Birthday,Bank/Public Sector Holiday
25/07/2014,Friday,Constitution Day,Bank/Public Sector Holiday
27/07/2014,Sunday,José Celso Barbosa’s Birthday,Observance
28/07/2014,Monday,José Celso Barbosa’s Birthday observed,Observance
01/09/2014,Monday,Labor Day,Bank/Public Sector Holiday
22/09/2014,Monday,September Equinox,Season
13/10/2014,Monday,Columbus Day,Bank/Public Sector Holiday
11/11/2014,Tuesday,Veterans Day,Bank/Public Sector Holiday
19/11/2014,Wednesday,Discovery Day,Bank/Public Sector Holiday
27/11/2014,Thursday,Thanksgiving Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Bank/Public Sector Holiday
25/12/2014,Thursday,Christmas Day,Public Holiday
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,Public Holiday
06/01/2015,Tuesday,Epiphany,Public Holiday
11/01/2015,Sunday,Birthday of Eugenio María de Hostos,Observance
19/01/2015,Monday,Martin Luther King Jr Day,Bank/Public Sector Holiday
14/02/2015,Saturday,Valentine's Day,Observance
16/02/2015,Monday,Presidents' Day,Bank/Public Sector Holiday
17/02/2015,Tuesday,Carnival/Shrove Tuesday,Observance
18/02/2015,Wednesday,Day in Commemoration of the Birthday of Don Luis Muñoz-Marín,Observance
20/03/2015,Friday,March Equinox,Season
22/03/2015,Sunday,Emancipation Day,Bank/Public Sector Holiday
23/03/2015,Monday,Emancipation Day observed,Bank/Public Sector Holiday
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Observance
16/04/2015,Thursday,José de Diego’s Birthday,Observance
10/05/2015,Sunday,Mothers' Day,Public Holiday
25/05/2015,Monday,Memorial Day,Bank/Public Sector Holiday
21/06/2015,Sunday,Fathers' Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
04/07/2015,Saturday,US Independence Day,Bank/Public Sector Holiday
25/07/2015,Saturday,Constitution Day,Bank/Public Sector Holiday
27/07/2015,Monday,José Celso Barbosa’s Birthday,Observance
07/09/2015,Monday,Labor Day,Bank/Public Sector Holiday
23/09/2015,Wednesday,September Equinox,Season
12/10/2015,Monday,Columbus Day,Bank/Public Sector Holiday
11/11/2015,Wednesday,Veterans Day,Bank/Public Sector Holiday
19/11/2015,Thursday,Discovery Day,Bank/Public Sector Holiday
26/11/2015,Thursday,Thanksgiving Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Christmas Eve,Observance
25/12/2015,Friday,Christmas Day,Public Holiday
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,Public Holiday
06/01/2016,Wednesday,Epiphany,Public Holiday
