Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
02/01/2000,Sunday,Day after New Year's Day,National holiday
24/02/2000,Thursday,Dragobete,Observance
01/03/2000,Wednesday,Mărțișor,Observance
08/03/2000,Wednesday,International Women's Day,Observance
20/03/2000,Monday,March Equinox,Season
30/04/2000,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
01/05/2000,Monday,Labor Day / May Day,National holiday
01/05/2000,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/06/2000,Thursday,Children's Day,Observance
08/06/2000,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
18/06/2000,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
19/06/2000,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2000,Wednesday,June Solstice,Season
26/06/2000,Monday,Flag Day,Observance
29/07/2000,Saturday,National Anthem Day,Observance
15/08/2000,Tuesday,St Mary's Day,National holiday
22/09/2000,Friday,September Equinox,Season
31/10/2000,Tuesday,Halloween,Observance
01/12/2000,Friday,National Day,National holiday
08/12/2000,Friday,Constitution Day,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Second day of Christmas,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
02/01/2001,Tuesday,Day after New Year's Day,National holiday
24/02/2001,Saturday,Dragobete,Observance
01/03/2001,Thursday,Mărțișor,Observance
08/03/2001,Thursday,International Women's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
15/04/2001,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
16/04/2001,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
24/05/2001,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
01/06/2001,Friday,Children's Day,Observance
03/06/2001,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
04/06/2001,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2001,Thursday,June Solstice,Season
26/06/2001,Tuesday,Flag Day,Observance
29/07/2001,Sunday,National Anthem Day,Observance
15/08/2001,Wednesday,St Mary's Day,National holiday
23/09/2001,Sunday,September Equinox,Season
31/10/2001,Wednesday,Halloween,Observance
01/12/2001,Saturday,National Day,National holiday
08/12/2001,Saturday,Constitution Day,Observance
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Second day of Christmas,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
02/01/2002,Wednesday,Day after New Year's Day,National holiday
24/02/2002,Sunday,Dragobete,Observance
01/03/2002,Friday,Mărțișor,Observance
08/03/2002,Friday,International Women's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
01/05/2002,Wednesday,Labor Day / May Day,National holiday
05/05/2002,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
06/05/2002,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/06/2002,Saturday,Children's Day,Observance
13/06/2002,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
21/06/2002,Friday,June Solstice,Season
23/06/2002,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
24/06/2002,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
26/06/2002,Wednesday,Flag Day,Observance
29/07/2002,Monday,National Anthem Day,Observance
15/08/2002,Thursday,St Mary's Day,National holiday
23/09/2002,Monday,September Equinox,Season
31/10/2002,Thursday,Halloween,Observance
01/12/2002,Sunday,National Day,National holiday
08/12/2002,Sunday,Constitution Day,Observance
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,Second day of Christmas,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
02/01/2003,Thursday,Day after New Year's Day,National holiday
24/02/2003,Monday,Dragobete,Observance
01/03/2003,Saturday,Mărțișor,Observance
08/03/2003,Saturday,International Women's Day,Observance
21/03/2003,Friday,March Equinox,Season
27/04/2003,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
28/04/2003,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/05/2003,Thursday,Labor Day / May Day,National holiday
01/06/2003,Sunday,Children's Day,Observance
05/06/2003,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
15/06/2003,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
16/06/2003,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2003,Saturday,June Solstice,Season
26/06/2003,Thursday,Flag Day,Observance
29/07/2003,Tuesday,National Anthem Day,Observance
15/08/2003,Friday,St Mary's Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
31/10/2003,Friday,Halloween,Observance
01/12/2003,Monday,National Day,National holiday
08/12/2003,Monday,Constitution Day,Observance
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,Observance
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,Second day of Christmas,National holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
02/01/2004,Friday,Day after New Year's Day,National holiday
24/02/2004,Tuesday,Dragobete,Observance
01/03/2004,Monday,Mărțișor,Observance
08/03/2004,Monday,International Women's Day,Observance
20/03/2004,Saturday,March Equinox,Season
11/04/2004,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
12/04/2004,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/05/2004,Saturday,Labor Day / May Day,National holiday
20/05/2004,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
30/05/2004,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
31/05/2004,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
01/06/2004,Tuesday,Children's Day,Observance
21/06/2004,Monday,June Solstice,Season
26/06/2004,Saturday,Flag Day,Observance
29/07/2004,Thursday,National Anthem Day,Observance
15/08/2004,Sunday,St Mary's Day,National holiday
22/09/2004,Wednesday,September Equinox,Season
31/10/2004,Sunday,Halloween,Observance
01/12/2004,Wednesday,National Day,National holiday
08/12/2004,Wednesday,Constitution Day,Observance
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,Observance
25/12/2004,Saturday,Christmas Day,National holiday
26/12/2004,Sunday,Second day of Christmas,National holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
02/01/2005,Sunday,Day after New Year's Day,National holiday
24/02/2005,Thursday,Dragobete,Observance
01/03/2005,Tuesday,Mărțișor,Observance
08/03/2005,Tuesday,International Women's Day,Observance
20/03/2005,Sunday,March Equinox,Season
01/05/2005,Sunday,Labor Day / May Day,National holiday
01/05/2005,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
02/05/2005,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/06/2005,Wednesday,Children's Day,Observance
09/06/2005,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
19/06/2005,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
20/06/2005,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2005,Tuesday,June Solstice,Season
26/06/2005,Sunday,Flag Day,Observance
29/07/2005,Friday,National Anthem Day,Observance
15/08/2005,Monday,St Mary's Day,National holiday
23/09/2005,Friday,September Equinox,Season
31/10/2005,Monday,Halloween,Observance
01/12/2005,Thursday,National Day,National holiday
08/12/2005,Thursday,Constitution Day,Observance
21/12/2005,Wednesday,December Solstice,Season
24/12/2005,Saturday,Christmas Eve,Observance
25/12/2005,Sunday,Christmas Day,National holiday
26/12/2005,Monday,Second day of Christmas,National holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,National holiday
02/01/2006,Monday,Day after New Year's Day,National holiday
24/02/2006,Friday,Dragobete,Observance
01/03/2006,Wednesday,Mărțișor,Observance
08/03/2006,Wednesday,International Women's Day,Observance
20/03/2006,Monday,March Equinox,Season
23/04/2006,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
24/04/2006,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/05/2006,Monday,Labor Day / May Day,National holiday
01/06/2006,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
01/06/2006,Thursday,Children's Day,Observance
11/06/2006,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
12/06/2006,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
21/06/2006,Wednesday,June Solstice,Season
26/06/2006,Monday,Flag Day,Observance
29/07/2006,Saturday,National Anthem Day,Observance
15/08/2006,Tuesday,St Mary's Day,National holiday
23/09/2006,Saturday,September Equinox,Season
31/10/2006,Tuesday,Halloween,Observance
01/12/2006,Friday,National Day,National holiday
08/12/2006,Friday,Constitution Day,Observance
