Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
02/01/2000,Sunday,Day After New Year's Day,Public Holiday
03/01/2000,Monday,New Year observed,Public Holiday
03/01/2000,Monday,Day After New Year's Day observed,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
10/01/2000,Monday,Eid al-Fitr observed,Public Holiday
01/02/2000,Tuesday,National Heroes' Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
07/04/2000,Friday,Tutsi Genocide Memorial Day,Public Holiday
21/04/2000,Friday,Good Friday,Public Holiday
01/05/2000,Monday,Labor Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
01/07/2000,Saturday,Independence Day,Public Holiday
03/07/2000,Monday,Independence Day observed,Public Holiday
04/07/2000,Tuesday,Liberation Day,Public Holiday
04/08/2000,Friday,Umuganura Day,Public Holiday
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
22/09/2000,Friday,September Equinox,Season
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
02/01/2001,Tuesday,Day After New Year's Day,Public Holiday
01/02/2001,Thursday,National Heroes' Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
07/04/2001,Saturday,Tutsi Genocide Memorial Day,Public Holiday
13/04/2001,Friday,Good Friday,Public Holiday
01/05/2001,Tuesday,Labor Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
01/07/2001,Sunday,Independence Day,Public Holiday
02/07/2001,Monday,Independence Day observed,Public Holiday
04/07/2001,Wednesday,Liberation Day,Public Holiday
03/08/2001,Friday,Umuganura Day,Public Holiday
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
23/09/2001,Sunday,September Equinox,Season
17/12/2001,Monday,Eid al-Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
02/01/2002,Wednesday,Day After New Year's Day,Public Holiday
01/02/2002,Friday,National Heroes' Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
07/04/2002,Sunday,Tutsi Genocide Memorial Day,Public Holiday
01/05/2002,Wednesday,Labor Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,Independence Day,Public Holiday
04/07/2002,Thursday,Liberation Day,Public Holiday
02/08/2002,Friday,Umuganura Day,Public Holiday
15/08/2002,Thursday,Assumption of Mary,Public Holiday
23/09/2002,Monday,September Equinox,Season
06/12/2002,Friday,Eid al-Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
02/01/2003,Thursday,Day After New Year's Day,Public Holiday
01/02/2003,Saturday,National Heroes' Day,Public Holiday
03/02/2003,Monday,National Heroes' Day observed,Public Holiday
21/03/2003,Friday,March Equinox,Season
07/04/2003,Monday,Tutsi Genocide Memorial Day,Public Holiday
18/04/2003,Friday,Good Friday,Public Holiday
01/05/2003,Thursday,Labor Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
01/07/2003,Tuesday,Independence Day,Public Holiday
04/07/2003,Friday,Liberation Day,Public Holiday
01/08/2003,Friday,Umuganura Day,Public Holiday
15/08/2003,Friday,Assumption of Mary,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
02/01/2004,Friday,Day After New Year's Day,Public Holiday
01/02/2004,Sunday,National Heroes' Day,Public Holiday
02/02/2004,Monday,National Heroes' Day observed,Public Holiday
20/03/2004,Saturday,March Equinox,Season
07/04/2004,Wednesday,Tutsi Genocide Memorial Day,Public Holiday
09/04/2004,Friday,Good Friday,Public Holiday
01/05/2004,Saturday,Labor Day,Public Holiday
03/05/2004,Monday,Labor Day observed,Public Holiday
21/06/2004,Monday,June Solstice,Season
01/07/2004,Thursday,Independence Day,Public Holiday
04/07/2004,Sunday,Liberation Day,Public Holiday
05/07/2004,Monday,Liberation Day observed,Public Holiday
06/08/2004,Friday,Umuganura Day,Public Holiday
15/08/2004,Sunday,Assumption of Mary,Public Holiday
16/08/2004,Monday,Assumption of Mary observed,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
15/11/2004,Monday,Eid al-Fitr observed,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
27/12/2004,Monday,Christmas Day observed,Public Holiday
27/12/2004,Monday,Boxing Day observed,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
02/01/2005,Sunday,Day After New Year's Day,Public Holiday
03/01/2005,Monday,New Year observed,Public Holiday
03/01/2005,Monday,Day After New Year's Day observed,Public Holiday
01/02/2005,Tuesday,National Heroes' Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
