Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Observance
06/04/2015,Monday,Easter Monday,Public Holiday
21/05/2015,Thursday,Saint Helena Day,Public Holiday
25/05/2015,Monday,Whit Monday,Public Holiday
15/06/2015,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2015,Sunday,June Solstice,Season
31/08/2015,Monday,August Bank Holiday,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
28/12/2015,Monday,Day off for Boxing Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
27/03/2016,Sunday,Easter Sunday,Observance
28/03/2016,Monday,Easter Monday,Public Holiday
16/05/2016,Monday,Whit Monday,Public Holiday
21/05/2016,Saturday,Saint Helena Day,Public Holiday
20/06/2016,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2016,Monday,June Solstice,Season
29/08/2016,Monday,August Bank Holiday,Public Holiday
22/09/2016,Thursday,September Equinox,Season
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
27/12/2016,Tuesday,Day off for Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
16/04/2017,Sunday,Easter Sunday,Observance
17/04/2017,Monday,Easter Monday,Public Holiday
21/05/2017,Sunday,Saint Helena Day,Public Holiday
26/05/2017,Friday,Ratting Day (Tristan da Cunha),Public Holiday
05/06/2017,Monday,Whit Monday,Public Holiday
19/06/2017,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
28/08/2017,Monday,August Bank Holiday,Public Holiday
22/09/2017,Friday,September Equinox,Season
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
01/04/2018,Sunday,Easter Sunday,Observance
02/04/2018,Monday,Easter Monday,Public Holiday
21/05/2018,Monday,Whit Monday,Public Holiday
21/05/2018,Monday,Saint Helena Day,Public Holiday
18/06/2018,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2018,Thursday,June Solstice,Season
27/08/2018,Monday,August Bank Holiday,Public Holiday
23/09/2018,Sunday,September Equinox,Season
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
19/04/2019,Friday,Good Friday,Public Holiday
21/04/2019,Sunday,Easter Sunday,Observance
22/04/2019,Monday,Easter Monday,Public Holiday
21/05/2019,Tuesday,Saint Helena Day,Public Holiday
10/06/2019,Monday,Whit Monday,Public Holiday
17/06/2019,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2019,Friday,June Solstice,Season
26/08/2019,Monday,August Bank Holiday,Public Holiday
23/09/2019,Monday,September Equinox,Season
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
01/01/2020,Wednesday,New Year,Public Holiday
20/03/2020,Friday,March Equinox,Season
10/04/2020,Friday,Good Friday,Public Holiday
12/04/2020,Sunday,Easter Sunday,Observance
13/04/2020,Monday,Easter Monday,Public Holiday
21/05/2020,Thursday,Saint Helena Day,Public Holiday
01/06/2020,Monday,Whit Monday,Public Holiday
08/06/2020,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2020,Saturday,June Solstice,Season
31/08/2020,Monday,August Bank Holiday,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Public Holiday
28/12/2020,Monday,Day off for Boxing Day,Public Holiday
01/01/2021,Friday,New Year,Public Holiday
20/03/2021,Saturday,March Equinox,Season
02/04/2021,Friday,Good Friday,Public Holiday
04/04/2021,Sunday,Easter Sunday,Observance
05/04/2021,Monday,Easter Monday,Public Holiday
21/05/2021,Friday,Saint Helena Day,Public Holiday
24/05/2021,Monday,Whit Monday,Public Holiday
14/06/2021,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2021,Monday,June Solstice,Season
30/08/2021,Monday,August Bank Holiday,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
21/12/2021,Tuesday,December Solstice,Season
25/12/2021,Saturday,Christmas Day,Public Holiday
26/12/2021,Sunday,Boxing Day,Public Holiday
27/12/2021,Monday,Day off for Boxing Day,Public Holiday
28/12/2021,Tuesday,Day off for Christmas Day,Public Holiday
01/01/2022,Saturday,New Year,Public Holiday
20/03/2022,Sunday,March Equinox,Season
15/04/2022,Friday,Good Friday,Public Holiday
17/04/2022,Sunday,Easter Sunday,Observance
18/04/2022,Monday,Easter Monday,Public Holiday
20/05/2022,Friday,Day off for Saint Helena Day,Public Holiday
21/05/2022,Saturday,Saint Helena Day,Public Holiday
03/06/2022,Friday,Queen Elizabeth II's Platinum Jubilee,Public Holiday
06/06/2022,Monday,Whit Monday,Public Holiday
13/06/2022,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
29/08/2022,Monday,August Bank Holiday,Public Holiday
23/09/2022,Friday,September Equinox,Season
21/12/2022,Wednesday,December Solstice,Season
25/12/2022,Sunday,Christmas Day,Public Holiday
26/12/2022,Monday,Boxing Day,Public Holiday
27/12/2022,Tuesday,Day off for Christmas Day,Public Holiday
