Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
02/01/2000,Sunday,Carnival Day,Public Holiday
03/01/2000,Monday,New Year's Day observed,Public Holiday
03/01/2000,Monday,Day off for Carnival Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
07/08/2000,Monday,Emancipation Day,Public Holiday
08/08/2000,Tuesday,Culturama Day,Public Holiday
16/09/2000,Saturday,National Heroes Day,Public Holiday
19/09/2000,Tuesday,Independence Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
02/01/2001,Tuesday,Carnival Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
07/05/2001,Monday,Labor Day / May Day,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
06/08/2001,Monday,Emancipation Day,Public Holiday
07/08/2001,Tuesday,Culturama Day,Public Holiday
16/09/2001,Sunday,National Heroes Day,Public Holiday
17/09/2001,Monday,National Heroes Day observed,Public Holiday
19/09/2001,Wednesday,Independence Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
02/01/2002,Wednesday,Carnival Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
06/05/2002,Monday,Labor Day / May Day,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
21/06/2002,Friday,June Solstice,Season
05/08/2002,Monday,Emancipation Day,Public Holiday
06/08/2002,Tuesday,Culturama Day,Public Holiday
16/09/2002,Monday,National Heroes Day,Public Holiday
19/09/2002,Thursday,Independence Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
02/01/2003,Thursday,Carnival Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
05/05/2003,Monday,Labor Day / May Day,Public Holiday
09/06/2003,Monday,Whit Monday,Public Holiday
21/06/2003,Saturday,June Solstice,Season
04/08/2003,Monday,Emancipation Day,Public Holiday
05/08/2003,Tuesday,Culturama Day,Public Holiday
16/09/2003,Tuesday,National Heroes Day,Public Holiday
19/09/2003,Friday,Independence Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
02/01/2004,Friday,Carnival Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
03/05/2004,Monday,Labor Day / May Day,Public Holiday
31/05/2004,Monday,Whit Monday,Public Holiday
20/06/2004,Sunday,June Solstice,Season
02/08/2004,Monday,Emancipation Day,Public Holiday
03/08/2004,Tuesday,Culturama Day,Public Holiday
16/09/2004,Thursday,National Heroes Day,Public Holiday
19/09/2004,Sunday,Independence Day,Public Holiday
20/09/2004,Monday,Day off for Independence Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
