Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
02/01/2000,Sunday,New Year holiday,Public Holiday
22/02/2000,Tuesday,Independence Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Public Holiday
01/08/2000,Tuesday,Emancipation Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
02/10/2000,Monday,Thanksgiving Day,Public Holiday
13/12/2000,Wednesday,National Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
02/01/2001,Tuesday,New Year holiday,Public Holiday
22/02/2001,Thursday,Independence Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
14/06/2001,Thursday,Corpus Christi,Public Holiday
21/06/2001,Thursday,June Solstice,Season
01/08/2001,Wednesday,Emancipation Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
01/10/2001,Monday,Thanksgiving Day,Public Holiday
13/12/2001,Thursday,National Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
02/01/2002,Wednesday,New Year holiday,Public Holiday
22/02/2002,Friday,Independence Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
30/05/2002,Thursday,Corpus Christi,Public Holiday
21/06/2002,Friday,June Solstice,Season
01/08/2002,Thursday,Emancipation Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
07/10/2002,Monday,Thanksgiving Day,Public Holiday
13/12/2002,Friday,National Day,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
02/01/2003,Thursday,New Year holiday,Public Holiday
22/02/2003,Saturday,Independence Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
09/06/2003,Monday,Whit Monday,Public Holiday
19/06/2003,Thursday,Corpus Christi,Public Holiday
21/06/2003,Saturday,June Solstice,Season
01/08/2003,Friday,Emancipation Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
06/10/2003,Monday,Thanksgiving Day,Public Holiday
13/12/2003,Saturday,National Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
02/01/2004,Friday,New Year holiday,Public Holiday
22/02/2004,Sunday,Independence Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
31/05/2004,Monday,Whit Monday,Public Holiday
10/06/2004,Thursday,Corpus Christi,Public Holiday
20/06/2004,Sunday,June Solstice,Season
01/08/2004,Sunday,Emancipation Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
04/10/2004,Monday,Thanksgiving Day,Public Holiday
13/12/2004,Monday,National Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
02/01/2005,Sunday,New Year holiday,Public Holiday
22/02/2005,Tuesday,Independence Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
28/03/2005,Monday,Easter Monday,Public Holiday
01/05/2005,Sunday,Labor Day / May Day,Public Holiday
16/05/2005,Monday,Whit Monday,Public Holiday
26/05/2005,Thursday,Corpus Christi,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
01/08/2005,Monday,Emancipation Day,Public Holiday
22/09/2005,Thursday,September Equinox,Season
03/10/2005,Monday,Thanksgiving Day,Public Holiday
13/12/2005,Tuesday,National Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Boxing Day,Public Holiday
01/01/2006,Sunday,New Year's Day,Public Holiday
02/01/2006,Monday,New Year holiday,Public Holiday
22/02/2006,Wednesday,Independence Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
14/04/2006,Friday,Good Friday,Public Holiday
17/04/2006,Monday,Easter Monday,Public Holiday
01/05/2006,Monday,Labor Day / May Day,Public Holiday
05/06/2006,Monday,Whit Monday,Public Holiday
15/06/2006,Thursday,Corpus Christi,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
01/08/2006,Tuesday,Emancipation Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
02/10/2006,Monday,Thanksgiving Day,Public Holiday
13/12/2006,Wednesday,National Day,Public Holiday
21/12/2006,Thursday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
26/12/2006,Tuesday,Boxing Day,Public Holiday
01/01/2007,Monday,New Year's Day,Public Holiday
02/01/2007,Tuesday,New Year holiday,Public Holiday
22/02/2007,Thursday,Independence Day,Public Holiday
20/03/2007,Tuesday,March Equinox,Season
06/04/2007,Friday,Good Friday,Public Holiday
09/04/2007,Monday,Easter Monday,Public Holiday
01/05/2007,Tuesday,Labor Day / May Day,Public Holiday
28/05/2007,Monday,Whit Monday,Public Holiday
07/06/2007,Thursday,Corpus Christi,Public Holiday
21/06/2007,Thursday,June Solstice,Season
01/08/2007,Wednesday,Emancipation Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
01/10/2007,Monday,Thanksgiving Day,Public Holiday
13/12/2007,Thursday,National Day,Public Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,Public Holiday
26/12/2007,Wednesday,Boxing Day,Public Holiday
01/01/2008,Tuesday,New Year's Day,Public Holiday
02/01/2008,Wednesday,New Year holiday,Public Holiday
22/02/2008,Friday,Independence Day,Public Holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,Public Holiday
24/03/2008,Monday,Easter Monday,Public Holiday
01/05/2008,Thursday,Labor Day / May Day,Public Holiday
12/05/2008,Monday,Whit Monday,Public Holiday
22/05/2008,Thursday,Corpus Christi,Public Holiday
20/06/2008,Friday,June Solstice,Season
01/08/2008,Friday,Emancipation Day,Public Holiday
22/09/2008,Monday,September Equinox,Season
06/10/2008,Monday,Thanksgiving Day,Public Holiday
13/12/2008,Saturday,National Day,Public Holiday
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Christmas Day,Public Holiday
26/12/2008,Friday,Boxing Day,Public Holiday
01/01/2009,Thursday,New Year's Day,Public Holiday
02/01/2009,Friday,New Year holiday,Public Holiday
22/02/2009,Sunday,Independence Day,Public Holiday
20/03/2009,Friday,March Equinox,Season
10/04/2009,Friday,Good Friday,Public Holiday
13/04/2009,Monday,Easter Monday,Public Holiday
01/05/2009,Friday,Labor Day / May Day,Public Holiday
01/06/2009,Monday,Whit Monday,Public Holiday
11/06/2009,Thursday,Corpus Christi,Public Holiday
21/06/2009,Sunday,June Solstice,Season
01/08/2009,Saturday,Emancipation Day,Public Holiday
22/09/2009,Tuesday,September Equinox,Season
05/10/2009,Monday,Thanksgiving Day,Public Holiday
13/12/2009,Sunday,National Day,Public Holiday
21/12/2009,Monday,December Solstice,Season
25/12/2009,Friday,Christmas Day,Public Holiday
26/12/2009,Saturday,Boxing Day,Public Holiday
01/01/2010,Friday,New Year's Day,Public Holiday
02/01/2010,Saturday,New Year holiday,Public Holiday
22/02/2010,Monday,Independence Day,Public Holiday
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Public Holiday
05/04/2010,Monday,Easter Monday,Public Holiday
01/05/2010,Saturday,Labor Day / May Day,Public Holiday
24/05/2010,Monday,Whit Monday,Public Holiday
03/06/2010,Thursday,Corpus Christi,Public Holiday
21/06/2010,Monday,June Solstice,Season
01/08/2010,Sunday,Emancipation Day,Public Holiday
22/09/2010,Wednesday,September Equinox,Season
04/10/2010,Monday,Thanksgiving Day,Public Holiday
13/12/2010,Monday,National Day,Public Holiday
21/12/2010,Tuesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,Public Holiday
26/12/2010,Sunday,Boxing Day,Public Holiday
01/01/2011,Saturday,New Year's Day,Public Holiday
02/01/2011,Sunday,New Year holiday,Public Holiday
22/02/2011,Tuesday,Independence Day,Public Holiday
20/03/2011,Sunday,March Equinox,Season
22/04/2011,Friday,Good Friday,Public Holiday
25/04/2011,Monday,Easter Monday,Public Holiday
01/05/2011,Sunday,Labor Day / May Day,Public Holiday
13/06/2011,Monday,Whit Monday,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
23/06/2011,Thursday,Corpus Christi,Public Holiday
01/08/2011,Monday,Emancipation Day,Public Holiday
23/09/2011,Friday,September Equinox,Season
03/10/2011,Monday,Thanksgiving Day,Public Holiday
13/12/2011,Tuesday,National Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,Public Holiday
26/12/2011,Monday,Boxing Day,Public Holiday
01/01/2012,Sunday,New Year's Day,Public Holiday
02/01/2012,Monday,New Year holiday,Public Holiday
22/02/2012,Wednesday,Independence Day,Public Holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Public Holiday
