Date,Day,Name,Type
01/01/2010,Friday,New Year's Day,Public Holiday
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Bank holiday
04/04/2010,Sunday,Easter Day,Observance
05/04/2010,Monday,Easter Monday,Public Holiday
01/05/2010,Saturday,Labor Day / May Day,Public Holiday
08/05/2010,Saturday,1945 Victory Day,Public Holiday
13/05/2010,Thursday,Ascension Day,Public Holiday
23/05/2010,Sunday,Whit Sunday,Observance
24/05/2010,Monday,Whit Monday,Public Holiday
21/06/2010,Monday,June Solstice,Season
14/07/2010,Wednesday,French National Day,Public Holiday
15/08/2010,Sunday,Assumption of Mary,Public Holiday
22/09/2010,Wednesday,September Equinox,Season
01/11/2010,Monday,All Saints' Day,Public Holiday
11/11/2010,Thursday,Saint Martin's Day,Public Holiday
21/12/2010,Tuesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,Public Holiday
26/12/2010,Sunday,Boxing Day,Observance
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,Public Holiday
20/03/2011,Sunday,March Equinox,Season
22/04/2011,Friday,Good Friday,Bank holiday
24/04/2011,Sunday,Easter Day,Observance
25/04/2011,Monday,Easter Monday,Public Holiday
01/05/2011,Sunday,Labor Day / May Day,Public Holiday
08/05/2011,Sunday,1945 Victory Day,Public Holiday
02/06/2011,Thursday,Ascension Day,Public Holiday
12/06/2011,Sunday,Whit Sunday,Observance
13/06/2011,Monday,Whit Monday,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
14/07/2011,Thursday,French National Day,Public Holiday
15/08/2011,Monday,Assumption of Mary,Public Holiday
23/09/2011,Friday,September Equinox,Season
01/11/2011,Tuesday,All Saints' Day,Public Holiday
11/11/2011,Friday,Saint Martin's Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,Public Holiday
26/12/2011,Monday,Boxing Day,Observance
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,Public Holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Bank holiday
08/04/2012,Sunday,Easter Day,Observance
09/04/2012,Monday,Easter Monday,Public Holiday
01/05/2012,Tuesday,Labor Day / May Day,Public Holiday
08/05/2012,Tuesday,1945 Victory Day,Public Holiday
17/05/2012,Thursday,Ascension Day,Public Holiday
27/05/2012,Sunday,Whit Sunday,Observance
27/05/2012,Sunday,Abolition Day,Public Holiday
28/05/2012,Monday,Whit Monday,Public Holiday
20/06/2012,Wednesday,June Solstice,Season
14/07/2012,Saturday,French National Day,Public Holiday
15/08/2012,Wednesday,Assumption of Mary,Public Holiday
22/09/2012,Saturday,September Equinox,Season
01/11/2012,Thursday,All Saints' Day,Public Holiday
11/11/2012,Sunday,Saint Martin's Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Christmas Day,Public Holiday
26/12/2012,Wednesday,Boxing Day,Observance
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Public Holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Bank holiday
31/03/2013,Sunday,Easter Day,Observance
01/04/2013,Monday,Easter Monday,Public Holiday
01/05/2013,Wednesday,Labor Day / May Day,Public Holiday
08/05/2013,Wednesday,1945 Victory Day,Public Holiday
09/05/2013,Thursday,Ascension Day,Public Holiday
19/05/2013,Sunday,Whit Sunday,Observance
20/05/2013,Monday,Whit Monday,Public Holiday
28/05/2013,Tuesday,Abolition Day,Public Holiday
21/06/2013,Friday,June Solstice,Season
14/07/2013,Sunday,French National Day,Public Holiday
15/08/2013,Thursday,Assumption of Mary,Public Holiday
22/09/2013,Sunday,September Equinox,Season
01/11/2013,Friday,All Saints' Day,Public Holiday
11/11/2013,Monday,Saint Martin's Day,Public Holiday
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Public Holiday
26/12/2013,Thursday,Boxing Day,Observance
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Bank holiday
20/04/2014,Sunday,Easter Day,Observance
21/04/2014,Monday,Easter Monday,Public Holiday
01/05/2014,Thursday,Labor Day / May Day,Public Holiday
08/05/2014,Thursday,1945 Victory Day,Public Holiday
27/05/2014,Tuesday,Abolition Day,Public Holiday
29/05/2014,Thursday,Ascension Day,Public Holiday
08/06/2014,Sunday,Whit Sunday,Observance
09/06/2014,Monday,Whit Monday,Public Holiday
21/06/2014,Saturday,June Solstice,Season
14/07/2014,Monday,French National Day,Public Holiday
15/08/2014,Friday,Assumption of Mary,Public Holiday
22/09/2014,Monday,September Equinox,Season
01/11/2014,Saturday,All Saints' Day,Public Holiday
11/11/2014,Tuesday,Saint Martin's Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Observance
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Bank holiday
05/04/2015,Sunday,Easter Day,Observance
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,Labor Day / May Day,Public Holiday
08/05/2015,Friday,1945 Victory Day,Public Holiday
14/05/2015,Thursday,Ascension Day,Public Holiday
24/05/2015,Sunday,Whit Sunday,Observance
25/05/2015,Monday,Whit Monday,Public Holiday
27/05/2015,Wednesday,Abolition Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
14/07/2015,Tuesday,French National Day,Public Holiday
15/08/2015,Saturday,Assumption of Mary,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
01/11/2015,Sunday,All Saints' Day,Public Holiday
11/11/2015,Wednesday,Saint Martin's Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Observance
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Bank holiday
27/03/2016,Sunday,Easter Day,Observance
28/03/2016,Monday,Easter Monday,Public Holiday
01/05/2016,Sunday,Labor Day / May Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Public Holiday
08/05/2016,Sunday,1945 Victory Day,Public Holiday
15/05/2016,Sunday,Whit Sunday,Observance
16/05/2016,Monday,Whit Monday,Public Holiday
27/05/2016,Friday,Abolition Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
14/07/2016,Thursday,French National Day,Public Holiday
15/08/2016,Monday,Assumption of Mary,Public Holiday
22/09/2016,Thursday,September Equinox,Season
01/11/2016,Tuesday,All Saints' Day,Public Holiday
11/11/2016,Friday,Saint Martin's Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Observance
31/12/2016,Saturday,New Year's Eve,Observance
01/01/2017,Sunday,New Year's Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Bank holiday
16/04/2017,Sunday,Easter Day,Observance
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,Labor Day / May Day,Public Holiday
08/05/2017,Monday,1945 Victory Day,Public Holiday
25/05/2017,Thursday,Ascension Day,Public Holiday
27/05/2017,Saturday,Abolition Day,Public Holiday
04/06/2017,Sunday,Whit Sunday,Observance
05/06/2017,Monday,Whit Monday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
14/07/2017,Friday,French National Day,Public Holiday
15/08/2017,Tuesday,Assumption of Mary,Public Holiday
22/09/2017,Friday,September Equinox,Season
01/11/2017,Wednesday,All Saints' Day,Public Holiday
11/11/2017,Saturday,Saint Martin's Day,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Observance
31/12/2017,Sunday,New Year's Eve,Observance
01/01/2018,Monday,New Year's Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Bank holiday
01/04/2018,Sunday,Easter Day,Observance
02/04/2018,Monday,Easter Monday,Public Holiday
01/05/2018,Tuesday,Labor Day / May Day,Public Holiday
08/05/2018,Tuesday,1945 Victory Day,Public Holiday
10/05/2018,Thursday,Ascension Day,Public Holiday
20/05/2018,Sunday,Whit Sunday,Observance
21/05/2018,Monday,Whit Monday,Public Holiday
28/05/2018,Monday,Abolition Day,Public Holiday
21/06/2018,Thursday,June Solstice,Season
14/07/2018,Saturday,French National Day,Public Holiday
15/08/2018,Wednesday,Assumption of Mary,Public Holiday
22/09/2018,Saturday,September Equinox,Season
01/11/2018,Thursday,All Saints' Day,Public Holiday
11/11/2018,Sunday,Saint Martin's Day,Public Holiday
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Observance
31/12/2018,Monday,New Year's Eve,Observance
01/01/2019,Tuesday,New Year's Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
19/04/2019,Friday,Good Friday,Bank holiday
21/04/2019,Sunday,Easter Day,Observance
22/04/2019,Monday,Easter Monday,Public Holiday
01/05/2019,Wednesday,Labor Day / May Day,Public Holiday
08/05/2019,Wednesday,1945 Victory Day,Public Holiday
28/05/2019,Tuesday,Abolition Day,Public Holiday
30/05/2019,Thursday,Ascension Day,Public Holiday
09/06/2019,Sunday,Whit Sunday,Observance
10/06/2019,Monday,Whit Monday,Public Holiday
21/06/2019,Friday,June Solstice,Season
14/07/2019,Sunday,French National Day,Public Holiday
15/08/2019,Thursday,Assumption of Mary,Public Holiday
23/09/2019,Monday,September Equinox,Season
01/11/2019,Friday,All Saints' Day,Public Holiday
11/11/2019,Monday,Saint Martin's Day,Public Holiday
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Observance
31/12/2019,Tuesday,New Year's Eve,Observance
01/01/2020,Wednesday,New Year's Day,Public Holiday
19/03/2020,Thursday,March Equinox,Season
10/04/2020,Friday,Good Friday,Bank holiday
12/04/2020,Sunday,Easter Day,Observance
13/04/2020,Monday,Easter Monday,Public Holiday
01/05/2020,Friday,Labor Day / May Day,Public Holiday
08/05/2020,Friday,1945 Victory Day,Public Holiday
21/05/2020,Thursday,Ascension Day,Public Holiday
28/05/2020,Thursday,Abolition Day,Public Holiday
31/05/2020,Sunday,Whit Sunday,Observance
01/06/2020,Monday,Whit Monday,Public Holiday
20/06/2020,Saturday,June Solstice,Season
14/07/2020,Tuesday,French National Day,Public Holiday
15/08/2020,Saturday,Assumption of Mary,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
01/11/2020,Sunday,All Saints' Day,Public Holiday
11/11/2020,Wednesday,Saint Martin's Day,Public Holiday
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Observance
31/12/2020,Thursday,New Year's Eve,Observance
01/01/2021,Friday,New Year's Day,Public Holiday
20/03/2021,Saturday,March Equinox,Season
02/04/2021,Friday,Good Friday,Bank holiday
04/04/2021,Sunday,Easter Day,Observance
05/04/2021,Monday,Easter Monday,Public Holiday
01/05/2021,Saturday,Labor Day / May Day,Public Holiday
08/05/2021,Saturday,1945 Victory Day,Public Holiday
13/05/2021,Thursday,Ascension Day,Public Holiday
23/05/2021,Sunday,Whit Sunday,Observance
24/05/2021,Monday,Whit Monday,Public Holiday
28/05/2021,Friday,Abolition Day,Public Holiday
20/06/2021,Sunday,June Solstice,Season
14/07/2021,Wednesday,French National Day,Public Holiday
15/08/2021,Sunday,Assumption of Mary,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
01/11/2021,Monday,All Saints' Day,Public Holiday
11/11/2021,Thursday,Saint Martin's Day,Public Holiday
21/12/2021,Tuesday,December Solstice,Season
25/12/2021,Saturday,Christmas Day,Public Holiday
26/12/2021,Sunday,Boxing Day,Observance
31/12/2021,Friday,New Year's Eve,Observance
01/01/2022,Saturday,New Year's Day,Public Holiday
20/03/2022,Sunday,March Equinox,Season
15/04/2022,Friday,Good Friday,Bank holiday
17/04/2022,Sunday,Easter Day,Observance
18/04/2022,Monday,Easter Monday,Public Holiday
01/05/2022,Sunday,Labor Day / May Day,Public Holiday
08/05/2022,Sunday,1945 Victory Day,Public Holiday
26/05/2022,Thursday,Ascension Day,Public Holiday
28/05/2022,Saturday,Abolition Day,Public Holiday
05/06/2022,Sunday,Whit Sunday,Observance
06/06/2022,Monday,Whit Monday,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
14/07/2022,Thursday,French National Day,Public Holiday
15/08/2022,Monday,Assumption of Mary,Public Holiday
22/09/2022,Thursday,September Equinox,Season
01/11/2022,Tuesday,All Saints' Day,Public Holiday
11/11/2022,Friday,Saint Martin's Day,Public Holiday
21/12/2022,Wednesday,December Solstice,Season
25/12/2022,Sunday,Christmas Day,Public Holiday
26/12/2022,Monday,Boxing Day,Observance
31/12/2022,Saturday,New Year's Eve,Observance
