Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,Day off for New Year's Day,Public Holiday
14/03/2000,Tuesday,National Heroes Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,National Workers Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
03/07/2000,Monday,Carnival Monday,Public Holiday
04/07/2000,Tuesday,Carnival Tuesday,Public Holiday
01/08/2000,Tuesday,Emancipation Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
27/10/2000,Friday,Independence Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
14/03/2001,Wednesday,National Heroes Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,National Workers Day,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
02/07/2001,Monday,Carnival Monday,Public Holiday
03/07/2001,Tuesday,Carnival Tuesday,Public Holiday
01/08/2001,Wednesday,Emancipation Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
27/10/2001,Saturday,Independence Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
14/03/2002,Thursday,National Heroes Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,National Workers Day,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,Carnival Monday,Public Holiday
02/07/2002,Tuesday,Carnival Tuesday,Public Holiday
01/08/2002,Thursday,Emancipation Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
27/10/2002,Sunday,Independence Day,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
14/03/2003,Friday,National Heroes Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,National Workers Day,Public Holiday
09/06/2003,Monday,Whit Monday,Public Holiday
21/06/2003,Saturday,June Solstice,Season
07/07/2003,Monday,Carnival Monday,Public Holiday
08/07/2003,Tuesday,Carnival Tuesday,Public Holiday
01/08/2003,Friday,Emancipation Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
27/10/2003,Monday,Independence Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
14/03/2004,Sunday,National Heroes Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
01/05/2004,Saturday,National Workers Day,Public Holiday
31/05/2004,Monday,Whit Monday,Public Holiday
20/06/2004,Sunday,June Solstice,Season
05/07/2004,Monday,Carnival Monday,Public Holiday
06/07/2004,Tuesday,Carnival Tuesday,Public Holiday
01/08/2004,Sunday,Emancipation Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
27/10/2004,Wednesday,Independence Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
03/01/2005,Monday,Day off for New Year's Day,Public Holiday
14/03/2005,Monday,National Heroes Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
28/03/2005,Monday,Easter Monday,Public Holiday
01/05/2005,Sunday,National Workers Day,Public Holiday
16/05/2005,Monday,Whit Monday,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
04/07/2005,Monday,Carnival Monday,Public Holiday
05/07/2005,Tuesday,Carnival Tuesday,Public Holiday
01/08/2005,Monday,Emancipation Day,Public Holiday
22/09/2005,Thursday,September Equinox,Season
27/10/2005,Thursday,Independence Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Boxing Day,Public Holiday
01/01/2006,Sunday,New Year's Day,Public Holiday
