Date,Day,Name,Type
01/01/2005,Saturday,New Year's Day,National holiday
06/01/2005,Thursday,Epiphany,National holiday
05/02/2005,Saturday,Feast of St Agatha,National holiday
15/03/2005,Tuesday,Mother's Day,Observance
19/03/2005,Saturday,Father's Day,Observance
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Anniversary of the Arengo,National holiday
25/03/2005,Friday,Good Friday,Observance
26/03/2005,Saturday,Holy Saturday,Observance
27/03/2005,Sunday,Easter Sunday,National holiday
27/03/2005,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/03/2005,Monday,Easter Monday,National holiday
01/04/2005,Friday,Investiture Ceremony of the Captains Regent 1,National holiday
01/05/2005,Sunday,Labour Day/May Day,National holiday
26/05/2005,Thursday,Corpus Christi,National holiday
21/06/2005,Tuesday,June Solstice,Season
28/07/2005,Thursday,Anniversary of the Fall of the Fascist Government,National holiday
15/08/2005,Monday,Assumption of Mary,National holiday
03/09/2005,Saturday,The Feast of St Marinus and Republic Day,National holiday
23/09/2005,Friday,September Equinox,Season
01/10/2005,Saturday,Investiture Ceremony of the Captains Regent 2,National holiday
30/10/2005,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2005,Tuesday,All Saints' Day,National holiday
02/11/2005,Wednesday,All Souls' Day,National holiday
08/12/2005,Thursday,Feast of the Immaculate Conception,National holiday
21/12/2005,Wednesday,December Solstice,Season
24/12/2005,Saturday,Christmas Eve,Observance
25/12/2005,Sunday,Christmas Day,National holiday
26/12/2005,Monday,Boxing Day,National holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,National holiday
06/01/2006,Friday,Epiphany,National holiday
05/02/2006,Sunday,Feast of St Agatha,National holiday
15/03/2006,Wednesday,Mother's Day,Observance
19/03/2006,Sunday,Father's Day,Observance
20/03/2006,Monday,March Equinox,Season
25/03/2006,Saturday,Anniversary of the Arengo,National holiday
26/03/2006,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
