Date,Day,Name,Type
01/01/2014,Wednesday,New Year,Public Holiday
04/01/2014,Saturday,Day of King Amador,Public Holiday
03/02/2014,Monday,Commemoration of the Batepá Massacre,Public Holiday
20/03/2014,Thursday,March Equinox,Season
01/05/2014,Thursday,Labour Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
12/07/2014,Saturday,Independence Day,Public Holiday
06/09/2014,Saturday,Armed Forces' Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
30/09/2014,Tuesday,Nationalization of the Roças,Public Holiday
21/12/2014,Sunday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
04/01/2015,Sunday,Day of King Amador,Public Holiday
03/02/2015,Tuesday,Commemoration of the Batepá Massacre,Public Holiday
20/03/2015,Friday,March Equinox,Season
01/05/2015,Friday,Labour Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
12/07/2015,Sunday,Independence Day,Public Holiday
06/09/2015,Sunday,Armed Forces' Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
30/09/2015,Wednesday,Nationalization of the Roças,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
04/01/2016,Monday,Day of King Amador,Public Holiday
03/02/2016,Wednesday,Commemoration of the Batepá Massacre,Public Holiday
20/03/2016,Sunday,March Equinox,Season
01/05/2016,Sunday,Labour Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
12/07/2016,Tuesday,Independence Day,Public Holiday
06/09/2016,Tuesday,Armed Forces' Day,Public Holiday
22/09/2016,Thursday,September Equinox,Season
30/09/2016,Friday,Nationalization of the Roças,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
04/01/2017,Wednesday,Day of King Amador,Public Holiday
03/02/2017,Friday,Commemoration of the Batepá Massacre,Public Holiday
20/03/2017,Monday,March Equinox,Season
01/05/2017,Monday,Labour Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
12/07/2017,Wednesday,Independence Day,Public Holiday
06/09/2017,Wednesday,Armed Forces' Day,Public Holiday
22/09/2017,Friday,September Equinox,Season
30/09/2017,Saturday,Nationalization of the Roças,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
04/01/2018,Thursday,Day of King Amador,Public Holiday
03/02/2018,Saturday,Commemoration of the Batepá Massacre,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
01/05/2018,Tuesday,Labour Day,Public Holiday
21/06/2018,Thursday,June Solstice,Season
12/07/2018,Thursday,Independence Day,Public Holiday
06/09/2018,Thursday,Armed Forces' Day,Public Holiday
23/09/2018,Sunday,September Equinox,Season
30/09/2018,Sunday,Nationalization of the Roças,Public Holiday
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
04/01/2019,Friday,Day of King Amador,Public Holiday
03/02/2019,Sunday,Commemoration of the Batepá Massacre,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
01/05/2019,Wednesday,Labour Day,Public Holiday
21/06/2019,Friday,June Solstice,Season
12/07/2019,Friday,Independence Day,Public Holiday
06/09/2019,Friday,Armed Forces' Day,Public Holiday
23/09/2019,Monday,September Equinox,Season
