Date,Day,Name,Type
08/01/2000,Saturday,Eid al-Fitr,National holiday
09/01/2000,Sunday,Eid al-Fitr Holiday,National holiday
10/01/2000,Monday,Eid al-Fitr Holiday,National holiday
11/01/2000,Tuesday,Eid al-Fitr Holiday,National holiday
12/01/2000,Wednesday,Eid al-Fitr Holiday (public sector only),Observance
13/01/2000,Thursday,Eid al-Fitr Holiday (public sector only),Observance
14/01/2000,Friday,Eid al-Fitr Holiday,National holiday
11/03/2000,Saturday,Eid al-Adha Holiday,National holiday
12/03/2000,Sunday,Eid al-Adha Holiday,National holiday
13/03/2000,Monday,Eid al-Adha Holiday,National holiday
14/03/2000,Tuesday,Eid al-Adha Holiday,National holiday
15/03/2000,Wednesday,Eid al-Adha Holiday,National holiday
16/03/2000,Thursday,Eid al-Adha,National holiday
17/03/2000,Friday,Eid al-Adha Holiday,National holiday
18/03/2000,Saturday,Eid al-Adha Holiday,National holiday
19/03/2000,Sunday,Eid al-Adha Holiday,National holiday
20/03/2000,Monday,Eid al-Adha Holiday,National holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Eid al-Adha Holiday,National holiday
06/04/2000,Thursday,Muharram (Muslim New Year),Observance
21/06/2000,Wednesday,June Solstice,Season
22/09/2000,Friday,September Equinox,Season
23/09/2000,Saturday,Saudi National Day,National holiday
24/09/2000,Sunday,Day off for Saudi National Day,National holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid al-Fitr,National holiday
29/12/2000,Friday,Eid al-Fitr Holiday,National holiday
30/12/2000,Saturday,Eid al-Fitr Holiday,National holiday
31/12/2000,Sunday,Eid al-Fitr Holiday,National holiday
01/01/2001,Monday,Eid al-Fitr Holiday (public sector only),Observance
02/01/2001,Tuesday,Eid al-Fitr Holiday (public sector only),Observance
03/01/2001,Wednesday,Eid al-Fitr Holiday,National holiday
01/03/2001,Thursday,Eid al-Adha Holiday,National holiday
02/03/2001,Friday,Eid al-Adha Holiday,National holiday
03/03/2001,Saturday,Eid al-Adha Holiday,National holiday
04/03/2001,Sunday,Eid al-Adha Holiday,National holiday
05/03/2001,Monday,Eid al-Adha Holiday,National holiday
06/03/2001,Tuesday,Eid al-Adha,National holiday
07/03/2001,Wednesday,Eid al-Adha Holiday,National holiday
08/03/2001,Thursday,Eid al-Adha Holiday,National holiday
09/03/2001,Friday,Eid al-Adha Holiday,National holiday
10/03/2001,Saturday,Eid al-Adha Holiday,National holiday
11/03/2001,Sunday,Eid al-Adha Holiday,National holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram (Muslim New Year),Observance
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,Saudi National Day,National holiday
23/09/2001,Sunday,September Equinox,Season
17/12/2001,Monday,Eid al-Fitr,National holiday
18/12/2001,Tuesday,Eid al-Fitr Holiday,National holiday
19/12/2001,Wednesday,Eid al-Fitr Holiday,National holiday
20/12/2001,Thursday,Eid al-Fitr Holiday,National holiday
21/12/2001,Friday,Eid al-Fitr Holiday (public sector only),Observance
21/12/2001,Friday,December Solstice,Season
22/12/2001,Saturday,Eid al-Fitr Holiday (public sector only),Observance
23/12/2001,Sunday,Eid al-Fitr Holiday,National holiday
18/02/2002,Monday,Eid al-Adha Holiday,National holiday
19/02/2002,Tuesday,Eid al-Adha Holiday,National holiday
20/02/2002,Wednesday,Eid al-Adha Holiday,National holiday
21/02/2002,Thursday,Eid al-Adha Holiday,National holiday
22/02/2002,Friday,Eid al-Adha Holiday,National holiday
23/02/2002,Saturday,Eid al-Adha,National holiday
24/02/2002,Sunday,Eid al-Adha Holiday,National holiday
25/02/2002,Monday,Eid al-Adha Holiday,National holiday
26/02/2002,Tuesday,Eid al-Adha Holiday,National holiday
27/02/2002,Wednesday,Eid al-Adha Holiday,National holiday
28/02/2002,Thursday,Eid al-Adha Holiday,National holiday
15/03/2002,Friday,Muharram (Muslim New Year),Observance
20/03/2002,Wednesday,March Equinox,Season
21/06/2002,Friday,June Solstice,Season
23/09/2002,Monday,Saudi National Day,National holiday
23/09/2002,Monday,September Equinox,Season
06/12/2002,Friday,Eid al-Fitr,National holiday
07/12/2002,Saturday,Eid al-Fitr Holiday,National holiday
08/12/2002,Sunday,Eid al-Fitr Holiday,National holiday
09/12/2002,Monday,Eid al-Fitr Holiday,National holiday
10/12/2002,Tuesday,Eid al-Fitr Holiday (public sector only),Observance
11/12/2002,Wednesday,Eid al-Fitr Holiday (public sector only),Observance
12/12/2002,Thursday,Eid al-Fitr Holiday,National holiday
22/12/2002,Sunday,December Solstice,Season
07/02/2003,Friday,Eid al-Adha Holiday,National holiday
08/02/2003,Saturday,Eid al-Adha Holiday,National holiday
09/02/2003,Sunday,Eid al-Adha Holiday,National holiday
10/02/2003,Monday,Eid al-Adha Holiday,National holiday
11/02/2003,Tuesday,Eid al-Adha Holiday,National holiday
12/02/2003,Wednesday,Eid al-Adha,National holiday
13/02/2003,Thursday,Eid al-Adha Holiday,National holiday
14/02/2003,Friday,Eid al-Adha Holiday,National holiday
15/02/2003,Saturday,Eid al-Adha Holiday,National holiday
16/02/2003,Sunday,Eid al-Adha Holiday,National holiday
17/02/2003,Monday,Eid al-Adha Holiday,National holiday
05/03/2003,Wednesday,Muharram (Muslim New Year),Observance
21/03/2003,Friday,March Equinox,Season
21/06/2003,Saturday,June Solstice,Season
23/09/2003,Tuesday,Saudi National Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
26/11/2003,Wednesday,Eid al-Fitr,National holiday
27/11/2003,Thursday,Eid al-Fitr Holiday,National holiday
28/11/2003,Friday,Eid al-Fitr Holiday,National holiday
29/11/2003,Saturday,Eid al-Fitr Holiday,National holiday
30/11/2003,Sunday,Eid al-Fitr Holiday (public sector only),Observance
01/12/2003,Monday,Eid al-Fitr Holiday (public sector only),Observance
02/12/2003,Tuesday,Eid al-Fitr Holiday,National holiday
22/12/2003,Monday,December Solstice,Season
28/01/2004,Wednesday,Eid al-Adha Holiday,National holiday
29/01/2004,Thursday,Eid al-Adha Holiday,National holiday
30/01/2004,Friday,Eid al-Adha Holiday,National holiday
31/01/2004,Saturday,Eid al-Adha Holiday,National holiday
01/02/2004,Sunday,Eid al-Adha Holiday,National holiday
02/02/2004,Monday,Eid al-Adha,National holiday
03/02/2004,Tuesday,Eid al-Adha Holiday,National holiday
04/02/2004,Wednesday,Eid al-Adha Holiday,National holiday
05/02/2004,Thursday,Eid al-Adha Holiday,National holiday
06/02/2004,Friday,Eid al-Adha Holiday,National holiday
07/02/2004,Saturday,Eid al-Adha Holiday,National holiday
22/02/2004,Sunday,Muharram (Muslim New Year),Observance
20/03/2004,Saturday,March Equinox,Season
21/06/2004,Monday,June Solstice,Season
22/09/2004,Wednesday,September Equinox,Season
23/09/2004,Thursday,Saudi National Day,National holiday
14/11/2004,Sunday,Eid al-Fitr,National holiday
15/11/2004,Monday,Eid al-Fitr Holiday,National holiday
16/11/2004,Tuesday,Eid al-Fitr Holiday,National holiday
17/11/2004,Wednesday,Eid al-Fitr Holiday,National holiday
18/11/2004,Thursday,Eid al-Fitr Holiday (public sector only),Observance
19/11/2004,Friday,Eid al-Fitr Holiday (public sector only),Observance
20/11/2004,Saturday,Eid al-Fitr Holiday,National holiday
21/12/2004,Tuesday,December Solstice,Season
16/01/2005,Sunday,Eid al-Adha Holiday,National holiday
17/01/2005,Monday,Eid al-Adha Holiday,National holiday
18/01/2005,Tuesday,Eid al-Adha Holiday,National holiday
19/01/2005,Wednesday,Eid al-Adha Holiday,National holiday
20/01/2005,Thursday,Eid al-Adha Holiday,National holiday
21/01/2005,Friday,Eid al-Adha,National holiday
22/01/2005,Saturday,Eid al-Adha Holiday,National holiday
23/01/2005,Sunday,Eid al-Adha Holiday,National holiday
24/01/2005,Monday,Eid al-Adha Holiday,National holiday
