Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Korité,Public Holiday
16/03/2000,Thursday,Tabaski,Public Holiday
20/03/2000,Monday,March Equinox,Season
04/04/2000,Tuesday,Independence Day,Public Holiday
15/04/2000,Saturday,Tamkharit,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
28/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
15/06/2000,Thursday,Maouloud,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
22/09/2000,Friday,September Equinox,Season
01/11/2000,Wednesday,All Saints' Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Korité,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/03/2001,Tuesday,Tabaski,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
04/04/2001,Wednesday,Tamkharit,Public Holiday
04/04/2001,Wednesday,Independence Day,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
24/05/2001,Thursday,Ascension Day,Public Holiday
27/05/2001,Sunday,Mother's Day,Observance
04/06/2001,Monday,Whit Monday,Public Holiday
04/06/2001,Monday,Maouloud,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
22/09/2001,Saturday,September Equinox,Season
01/11/2001,Thursday,All Saints' Day,Public Holiday
17/12/2001,Monday,Korité,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
23/02/2002,Saturday,Tabaski,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Tamkharit,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
04/04/2002,Thursday,Independence Day,Public Holiday
01/05/2002,Wednesday,Labour Day,Public Holiday
09/05/2002,Thursday,Ascension Day,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
24/05/2002,Friday,Maouloud,Public Holiday
26/05/2002,Sunday,Mother's Day,Observance
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
15/08/2002,Thursday,Assumption of Mary,Public Holiday
23/09/2002,Monday,September Equinox,Season
01/11/2002,Friday,All Saints' Day,Public Holiday
06/12/2002,Friday,Korité,Public Holiday
22/12/2002,Sunday,December Solstice,Season
