Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
02/01/2015,Friday,New Year holiday,Public Holiday
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
04/04/2015,Saturday,Holy Saturday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Observance
01/05/2015,Friday,Labour Day,Public Holiday
04/06/2015,Thursday,Corpus Christi,Public Holiday
05/06/2015,Friday,Liberation Day,Public Holiday
18/06/2015,Thursday,Constitution Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
29/06/2015,Monday,National Day,Public Holiday
15/08/2015,Saturday,Assumption of Mary,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
01/11/2015,Sunday,All Saints' Day,Public Holiday
02/11/2015,Monday,Day off for All Saints' Day,Public Holiday
05/12/2015,Saturday,Presidential Elections,Public Holiday
08/12/2015,Tuesday,Immaculate Conception,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
02/01/2016,Saturday,New Year holiday,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
26/03/2016,Saturday,Holy Saturday,Public Holiday
27/03/2016,Sunday,Easter Sunday,Observance
01/05/2016,Sunday,Labour Day,Public Holiday
02/05/2016,Monday,Day off for Labour Day,Public Holiday
26/05/2016,Thursday,Corpus Christi,Public Holiday
05/06/2016,Sunday,Liberation Day,Public Holiday
18/06/2016,Saturday,Constitution Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
29/06/2016,Wednesday,National Day,Public Holiday
15/08/2016,Monday,Assumption of Mary,Public Holiday
22/09/2016,Thursday,September Equinox,Season
01/11/2016,Tuesday,All Saints' Day,Public Holiday
08/12/2016,Thursday,Immaculate Conception,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Day off for Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
02/01/2017,Monday,New Year holiday,Public Holiday
03/01/2017,Tuesday,Day off for New Year,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
15/04/2017,Saturday,Holy Saturday,Public Holiday
16/04/2017,Sunday,Easter Sunday,Observance
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,Labour Day,Public Holiday
15/06/2017,Thursday,Corpus Christi,Public Holiday
18/06/2017,Sunday,Constitution Day,Public Holiday
19/06/2017,Monday,Day off for Constitution Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
29/06/2017,Thursday,National Day,Public Holiday
15/08/2017,Tuesday,Assumption of Mary,Public Holiday
23/09/2017,Saturday,September Equinox,Season
01/11/2017,Wednesday,All Saints' Day,Public Holiday
08/12/2017,Friday,Immaculate Conception,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
02/01/2018,Tuesday,New Year holiday,Public Holiday
