Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
08/01/2000,Saturday,Hari Raya Puasa,National holiday
05/02/2000,Saturday,Lunar New Year's Day,National holiday
07/02/2000,Monday,Second Day of Lunar New Year,National holiday
14/02/2000,Monday,Valentine's Day,Observance
15/02/2000,Tuesday,Total Defense Day,Observance
08/03/2000,Wednesday,International Women's Day,Observance
16/03/2000,Thursday,Hari Raya Haji,National holiday
20/03/2000,Monday,March Equinox,Season
01/04/2000,Saturday,April Fool's Day,Observance
04/04/2000,Tuesday,Qingming Festival,Observance
21/04/2000,Friday,Good Friday,National holiday
22/04/2000,Saturday,Easter Saturday,Observance
23/04/2000,Sunday,Easter Sunday,Observance
01/05/2000,Monday,Labour Day,National holiday
14/05/2000,Sunday,Mother's Day,Observance
18/05/2000,Thursday,Vesak Day,National holiday
18/05/2000,Thursday,International Museum Day,Observance
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
01/07/2000,Saturday,Singapore Armed Forces Day,Observance
02/07/2000,Sunday,Youth Day,Observance
21/07/2000,Friday,Racial Harmony Day,Observance
09/08/2000,Wednesday,National Day,National holiday
01/09/2000,Friday,Teachers' Day,Observance
23/09/2000,Saturday,September Equinox,Season
01/10/2000,Sunday,Children's Day,Observance
02/10/2000,Monday,Children's Day observed,Observance
26/10/2000,Thursday,Diwali/Deepavali,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
24/01/2001,Wednesday,Lunar New Year's Day,National holiday
25/01/2001,Thursday,Second Day of Lunar New Year,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
15/02/2001,Thursday,Total Defense Day,Observance
06/03/2001,Tuesday,Hari Raya Haji,National holiday
08/03/2001,Thursday,International Women's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
01/04/2001,Sunday,April Fool's Day,Observance
05/04/2001,Thursday,Qingming Festival,Observance
13/04/2001,Friday,Good Friday,National holiday
14/04/2001,Saturday,Easter Saturday,Observance
15/04/2001,Sunday,Easter Sunday,Observance
01/05/2001,Tuesday,Labour Day,National holiday
07/05/2001,Monday,Vesak Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
18/05/2001,Friday,International Museum Day,Observance
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
01/07/2001,Sunday,Youth Day,Observance
01/07/2001,Sunday,Singapore Armed Forces Day,Observance
21/07/2001,Saturday,Racial Harmony Day,Observance
09/08/2001,Thursday,National Day,National holiday
01/09/2001,Saturday,Teachers' Day,Observance
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,Children's Day,Observance
14/11/2001,Wednesday,Diwali/Deepavali,National holiday
16/12/2001,Sunday,Hari Raya Puasa,National holiday
17/12/2001,Monday,Hari Raya Puasa observed,National holiday
22/12/2001,Saturday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
12/02/2002,Tuesday,Lunar New Year's Day,National holiday
13/02/2002,Wednesday,Second Day of Lunar New Year,National holiday
14/02/2002,Thursday,Valentine's Day,Observance
15/02/2002,Friday,Total Defense Day,Observance
23/02/2002,Saturday,Hari Raya Haji,National holiday
08/03/2002,Friday,International Women's Day,Observance
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,National holiday
30/03/2002,Saturday,Easter Saturday,Observance
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,April Fool's Day,Observance
05/04/2002,Friday,Qingming Festival,Observance
01/05/2002,Wednesday,Labour Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
18/05/2002,Saturday,International Museum Day,Observance
26/05/2002,Sunday,Vesak Day,National holiday
27/05/2002,Monday,Day off for Vesak Day,National holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,Singapore Armed Forces Day,Observance
07/07/2002,Sunday,Youth Day,Observance
21/07/2002,Sunday,Racial Harmony Day,Observance
09/08/2002,Friday,National Day,National holiday
01/09/2002,Sunday,Teachers' Day,Observance
02/09/2002,Monday,Teachers' Day observed,Observance
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,Children's Day,Observance
03/11/2002,Sunday,Diwali/Deepavali,National holiday
04/11/2002,Monday,Day off for Diwali/Deepavali,National holiday
06/12/2002,Friday,Hari Raya Puasa,National holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
01/02/2003,Saturday,Lunar New Year's Day,National holiday
03/02/2003,Monday,Second Day of Lunar New Year,National holiday
12/02/2003,Wednesday,Hari Raya Haji,National holiday
14/02/2003,Friday,Valentine's Day,Observance
15/02/2003,Saturday,Total Defense Day,Observance
08/03/2003,Saturday,International Women's Day,Observance
21/03/2003,Friday,March Equinox,Season
01/04/2003,Tuesday,April Fool's Day,Observance
05/04/2003,Saturday,Qingming Festival,Observance
18/04/2003,Friday,Good Friday,National holiday
19/04/2003,Saturday,Easter Saturday,Observance
20/04/2003,Sunday,Easter Sunday,Observance
01/05/2003,Thursday,Labour Day,National holiday
11/05/2003,Sunday,Mother's Day,Observance
15/05/2003,Thursday,Vesak Day,National holiday
18/05/2003,Sunday,International Museum Day,Observance
15/06/2003,Sunday,Father's Day,Observance
22/06/2003,Sunday,June Solstice,Season
01/07/2003,Tuesday,Singapore Armed Forces Day,Observance
06/07/2003,Sunday,Youth Day,Observance
21/07/2003,Monday,Racial Harmony Day,Observance
09/08/2003,Saturday,National Day,National holiday
01/09/2003,Monday,Teachers' Day,Observance
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,Children's Day,Observance
23/10/2003,Thursday,Diwali/Deepavali,National holiday
