Date,Day,Name,Type
01/01/2010,Friday,New Year's Day,Public Holiday
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Public Holiday
04/04/2010,Sunday,Easter Sunday,Public Holiday
05/04/2010,Monday,Easter Monday,Public Holiday
27/04/2010,Tuesday,King's Day,Public Holiday
01/05/2010,Saturday,Labor Day / May Day,Public Holiday
13/05/2010,Thursday,Ascension Day,Public Holiday
23/05/2010,Sunday,Whit Sunday,Public Holiday
21/06/2010,Monday,June Solstice,Season
01/07/2010,Thursday,Emancipation Day,Public Holiday
22/09/2010,Wednesday,September Equinox,Season
11/11/2010,Thursday,Sint Maarten's Day,Public Holiday
21/12/2010,Tuesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,Public Holiday
26/12/2010,Sunday,Boxing Day,Public Holiday
01/01/2011,Saturday,New Year's Day,Public Holiday
20/03/2011,Sunday,March Equinox,Season
22/04/2011,Friday,Good Friday,Public Holiday
24/04/2011,Sunday,Easter Sunday,Public Holiday
25/04/2011,Monday,Easter Monday,Public Holiday
27/04/2011,Wednesday,King's Day,Public Holiday
01/05/2011,Sunday,Labor Day / May Day,Public Holiday
02/05/2011,Monday,Day off for Labor Day / May Day,Public Holiday
02/06/2011,Thursday,Ascension Day,Public Holiday
12/06/2011,Sunday,Whit Sunday,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
01/07/2011,Friday,Emancipation Day,Public Holiday
23/09/2011,Friday,September Equinox,Season
11/11/2011,Friday,Sint Maarten's Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,Public Holiday
26/12/2011,Monday,Boxing Day,Public Holiday
01/01/2012,Sunday,New Year's Day,Public Holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Public Holiday
08/04/2012,Sunday,Easter Sunday,Public Holiday
09/04/2012,Monday,Easter Monday,Public Holiday
27/04/2012,Friday,King's Day,Public Holiday
01/05/2012,Tuesday,Labor Day / May Day,Public Holiday
17/05/2012,Thursday,Ascension Day,Public Holiday
27/05/2012,Sunday,Whit Sunday,Public Holiday
20/06/2012,Wednesday,June Solstice,Season
01/07/2012,Sunday,Emancipation Day,Public Holiday
02/07/2012,Monday,Day off for Emancipation Day,Public Holiday
22/09/2012,Saturday,September Equinox,Season
11/11/2012,Sunday,Sint Maarten's Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Christmas Day,Public Holiday
26/12/2012,Wednesday,Boxing Day,Public Holiday
01/01/2013,Tuesday,New Year's Day,Public Holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Public Holiday
31/03/2013,Sunday,Easter Sunday,Public Holiday
01/04/2013,Monday,Easter Monday,Public Holiday
27/04/2013,Saturday,King's Day,Public Holiday
01/05/2013,Wednesday,Labor Day / May Day,Public Holiday
09/05/2013,Thursday,Ascension Day,Public Holiday
19/05/2013,Sunday,Whit Sunday,Public Holiday
21/06/2013,Friday,June Solstice,Season
01/07/2013,Monday,Emancipation Day,Public Holiday
22/09/2013,Sunday,September Equinox,Season
11/11/2013,Monday,Sint Maarten's Day,Public Holiday
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Public Holiday
26/12/2013,Thursday,Boxing Day,Public Holiday
01/01/2014,Wednesday,New Year's Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Public Holiday
21/04/2014,Monday,Easter Monday,Public Holiday
27/04/2014,Sunday,King's Day,Public Holiday
30/04/2014,Wednesday,Carnival Day,Public Holiday
01/05/2014,Thursday,Labor Day / May Day,Public Holiday
29/05/2014,Thursday,Ascension Day,Public Holiday
08/06/2014,Sunday,Whit Sunday,Public Holiday
21/06/2014,Saturday,June Solstice,Season
01/07/2014,Tuesday,Emancipation Day,Public Holiday
22/09/2014,Monday,September Equinox,Season
11/11/2014,Tuesday,Sint Maarten's Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
01/01/2015,Thursday,New Year's Day,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
27/04/2015,Monday,King's Day,Public Holiday
30/04/2015,Thursday,Carnival Day,Public Holiday
01/05/2015,Friday,Labor Day / May Day,Public Holiday
14/05/2015,Thursday,Ascension Day,Public Holiday
24/05/2015,Sunday,Whit Sunday,Public Holiday
21/06/2015,Sunday,June Solstice,Season
01/07/2015,Wednesday,Emancipation Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
12/10/2015,Monday,Constitution Day,Public Holiday
11/11/2015,Wednesday,Sint Maarten's Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
27/03/2016,Sunday,Easter Sunday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
27/04/2016,Wednesday,King's Day,Public Holiday
30/04/2016,Saturday,Carnival Day,Public Holiday
01/05/2016,Sunday,Labor Day / May Day,Public Holiday
02/05/2016,Monday,Day off for Labor Day / May Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Public Holiday
15/05/2016,Sunday,Whit Sunday,Public Holiday
20/06/2016,Monday,June Solstice,Season
01/07/2016,Friday,Emancipation Day,Public Holiday
22/09/2016,Thursday,September Equinox,Season
10/10/2016,Monday,Constitution Day,Public Holiday
11/11/2016,Friday,Sint Maarten's Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
01/01/2017,Sunday,New Year's Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
16/04/2017,Sunday,Easter Sunday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
27/04/2017,Thursday,King's Day,Public Holiday
30/04/2017,Sunday,Carnival Day,Public Holiday
01/05/2017,Monday,Labor Day / May Day,Public Holiday
25/05/2017,Thursday,Ascension Day,Public Holiday
04/06/2017,Sunday,Whit Sunday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
01/07/2017,Saturday,Emancipation Day,Public Holiday
22/09/2017,Friday,September Equinox,Season
09/10/2017,Monday,Constitution Day,Public Holiday
11/11/2017,Saturday,Sint Maarten's Day,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year's Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
01/04/2018,Sunday,Easter Sunday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
27/04/2018,Friday,King's Day,Public Holiday
30/04/2018,Monday,Carnival Day,Public Holiday
01/05/2018,Tuesday,Labor Day / May Day,Public Holiday
10/05/2018,Thursday,Ascension Day,Public Holiday
20/05/2018,Sunday,Whit Sunday,Public Holiday
21/06/2018,Thursday,June Solstice,Season
01/07/2018,Sunday,Emancipation Day,Public Holiday
02/07/2018,Monday,Day off for Emancipation Day,Public Holiday
22/09/2018,Saturday,September Equinox,Season
08/10/2018,Monday,Constitution Day,Public Holiday
11/11/2018,Sunday,Sint Maarten's Day,Public Holiday
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year's Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
19/04/2019,Friday,Good Friday,Public Holiday
21/04/2019,Sunday,Easter Sunday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
27/04/2019,Saturday,King's Day,Public Holiday
30/04/2019,Tuesday,Carnival Day,Public Holiday
01/05/2019,Wednesday,Labor Day / May Day,Public Holiday
30/05/2019,Thursday,Ascension Day,Public Holiday
09/06/2019,Sunday,Whit Sunday,Public Holiday
21/06/2019,Friday,June Solstice,Season
01/07/2019,Monday,Emancipation Day,Public Holiday
23/09/2019,Monday,September Equinox,Season
14/10/2019,Monday,Constitution Day,Public Holiday
11/11/2019,Monday,Sint Maarten's Day,Public Holiday
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
01/01/2020,Wednesday,New Year's Day,Public Holiday
19/03/2020,Thursday,March Equinox,Season
10/04/2020,Friday,Good Friday,Public Holiday
12/04/2020,Sunday,Easter Sunday,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
27/04/2020,Monday,King's Day,Public Holiday
01/05/2020,Friday,Labor Day / May Day,Public Holiday
21/05/2020,Thursday,Ascension Day,Public Holiday
31/05/2020,Sunday,Whit Sunday,Public Holiday
20/06/2020,Saturday,June Solstice,Season
01/07/2020,Wednesday,Emancipation Day,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
12/10/2020,Monday,Constitution Day,Public Holiday
11/11/2020,Wednesday,Sint Maarten's Day,Public Holiday
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Public Holiday
28/12/2020,Monday,Carnival Day,Public Holiday
01/01/2021,Friday,New Year's Day,Public Holiday
20/03/2021,Saturday,March Equinox,Season
02/04/2021,Friday,Good Friday,Public Holiday
04/04/2021,Sunday,Easter Sunday,Public Holiday
05/04/2021,Monday,Easter Monday,Public Holiday
27/04/2021,Tuesday,King's Day,Public Holiday
30/04/2021,Friday,Carnival Day,Public Holiday
01/05/2021,Saturday,Labor Day / May Day,Public Holiday
13/05/2021,Thursday,Ascension Day,Public Holiday
23/05/2021,Sunday,Whit Sunday,Public Holiday
20/06/2021,Sunday,June Solstice,Season
01/07/2021,Thursday,Emancipation Day,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
11/10/2021,Monday,Constitution Day,Public Holiday
11/11/2021,Thursday,Sint Maarten's Day,Public Holiday
21/12/2021,Tuesday,December Solstice,Season
25/12/2021,Saturday,Christmas Day,Public Holiday
26/12/2021,Sunday,Boxing Day,Public Holiday
01/01/2022,Saturday,New Year's Day,Public Holiday
20/03/2022,Sunday,March Equinox,Season
15/04/2022,Friday,Good Friday,Public Holiday
17/04/2022,Sunday,Easter Sunday,Public Holiday
18/04/2022,Monday,Easter Monday,Public Holiday
27/04/2022,Wednesday,King's Day,Public Holiday
29/04/2022,Friday,Day off for Carnival Day,Public Holiday
30/04/2022,Saturday,Carnival Day,Public Holiday
01/05/2022,Sunday,Labor Day / May Day,Public Holiday
02/05/2022,Monday,Day off for Labor Day / May Day,Public Holiday
26/05/2022,Thursday,Ascension Day,Public Holiday
05/06/2022,Sunday,Whit Sunday,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
01/07/2022,Friday,Emancipation Day,Public Holiday
22/09/2022,Thursday,September Equinox,Season
10/10/2022,Monday,Constitution Day,Public Holiday
11/11/2022,Friday,Sint Maarten's Day,Public Holiday
21/12/2022,Wednesday,December Solstice,Season
25/12/2022,Sunday,Christmas Day,Public Holiday
26/12/2022,Monday,Boxing Day,Public Holiday
