Date,Day,Name,Type
01/01/2000,Saturday,Republic Day,National holiday
06/01/2000,Thursday,Epiphany,National holiday
20/03/2000,Monday,March Equinox,Season
25/03/2000,Saturday,Struggle for Human Rights Day,Observance
13/04/2000,Thursday,Unfairly Prosecuted Persons Day,Observance
21/04/2000,Friday,Good Friday,National holiday
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day,National holiday
04/05/2000,Thursday,Death Anniversary of M. R. Štefánik,Observance
08/05/2000,Monday,Day of Victory Over Fascism,National holiday
14/05/2000,Sunday,Mother's Day,Observance
07/06/2000,Wednesday,Anniversary of the Memorandum of the Slovak Nation,Observance
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,Day of the Departure of the Soviet Army from Czechoslovakia,Observance
21/06/2000,Wednesday,June Solstice,Season
24/06/2000,Saturday,Remembrance Day for the Victims of the Communist Regime,Observance
05/07/2000,Wednesday,St. Cyril & St. Methodius Day,National holiday
05/07/2000,Wednesday,Foreign Slovaks Day,Observance
17/07/2000,Monday,Anniversary of the Declaration of Sovereignty of the Slovak Republic,Observance
04/08/2000,Friday,Matice Slovenska Day,Observance
10/08/2000,Thursday,Day of the Victims of Mining Disasters,Observance
21/08/2000,Monday,Day of the Victims of the Occupation of Czechoslovakia,Observance
29/08/2000,Tuesday,National Uprising Day,National holiday
01/09/2000,Friday,Constitution Day,National holiday
09/09/2000,Saturday,Day of the Victims of Holocaust and of racial violence,Observance
15/09/2000,Friday,Day of Our Lady of Sorrows,National holiday
19/09/2000,Tuesday,Foundation of the Slovak National Council Day,Observance
22/09/2000,Friday,September Equinox,Season
06/10/2000,Friday,Day of the Heroes of the Carpathian-Duklian Operation,Observance
12/10/2000,Thursday,Samizdat Day,Observance
27/10/2000,Friday,Černová Tragedy Day,Observance
28/10/2000,Saturday,Establishment of the Independent Czecho-Slovak State,Observance
29/10/2000,Sunday,Birth of Ľudovíta Štúr,Observance
30/10/2000,Monday,Anniversary of the Declaration of the Slovak Nation,Observance
31/10/2000,Tuesday,Reformation Day,Observance
01/11/2000,Wednesday,All Saints' Day,National holiday
17/11/2000,Friday,Fight for Freedom and Democracy Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,National holiday
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,St. Stephen's Day,National holiday
30/12/2000,Saturday,Day of the Declaration of Slovakia as an Independent Ecclesiastic Province,Observance
01/01/2001,Monday,Republic Day,National holiday
06/01/2001,Saturday,Epiphany,National holiday
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Struggle for Human Rights Day,Observance
13/04/2001,Friday,Good Friday,National holiday
13/04/2001,Friday,Unfairly Prosecuted Persons Day,Observance
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day,National holiday
04/05/2001,Friday,Death Anniversary of M. R. Štefánik,Observance
08/05/2001,Tuesday,Day of Victory Over Fascism,National holiday
13/05/2001,Sunday,Mother's Day,Observance
07/06/2001,Thursday,Anniversary of the Memorandum of the Slovak Nation,Observance
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,Day of the Departure of the Soviet Army from Czechoslovakia,Observance
21/06/2001,Thursday,June Solstice,Season
24/06/2001,Sunday,Remembrance Day for the Victims of the Communist Regime,Observance
05/07/2001,Thursday,St. Cyril & St. Methodius Day,National holiday
05/07/2001,Thursday,Foreign Slovaks Day,Observance
17/07/2001,Tuesday,Anniversary of the Declaration of Sovereignty of the Slovak Republic,Observance
04/08/2001,Saturday,Matice Slovenska Day,Observance
10/08/2001,Friday,Day of the Victims of Mining Disasters,Observance
21/08/2001,Tuesday,Day of the Victims of the Occupation of Czechoslovakia,Observance
29/08/2001,Wednesday,National Uprising Day,National holiday
01/09/2001,Saturday,Constitution Day,National holiday
09/09/2001,Sunday,Day of the Victims of Holocaust and of racial violence,Observance
15/09/2001,Saturday,Day of Our Lady of Sorrows,National holiday
19/09/2001,Wednesday,Foundation of the Slovak National Council Day,Observance
23/09/2001,Sunday,September Equinox,Season
06/10/2001,Saturday,Day of the Heroes of the Carpathian-Duklian Operation,Observance
12/10/2001,Friday,Samizdat Day,Observance
27/10/2001,Saturday,Černová Tragedy Day,Observance
28/10/2001,Sunday,Establishment of the Independent Czecho-Slovak State,Observance
29/10/2001,Monday,Birth of Ľudovíta Štúr,Observance
30/10/2001,Tuesday,Anniversary of the Declaration of the Slovak Nation,Observance
31/10/2001,Wednesday,Reformation Day,Observance
01/11/2001,Thursday,All Saints' Day,National holiday
17/11/2001,Saturday,Fight for Freedom and Democracy Day,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,National holiday
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,St. Stephen's Day,National holiday
30/12/2001,Sunday,Day of the Declaration of Slovakia as an Independent Ecclesiastic Province,Observance
01/01/2002,Tuesday,Republic Day,National holiday
06/01/2002,Sunday,Epiphany,National holiday
20/03/2002,Wednesday,March Equinox,Season
25/03/2002,Monday,Struggle for Human Rights Day,Observance
29/03/2002,Friday,Good Friday,National holiday
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
01/04/2002,Monday,Easter Monday,National holiday
13/04/2002,Saturday,Unfairly Prosecuted Persons Day,Observance
01/05/2002,Wednesday,Labor Day,National holiday
04/05/2002,Saturday,Death Anniversary of M. R. Štefánik,Observance
08/05/2002,Wednesday,Day of Victory Over Fascism,National holiday
12/05/2002,Sunday,Mother's Day,Observance
07/06/2002,Friday,Anniversary of the Memorandum of the Slovak Nation,Observance
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,Day of the Departure of the Soviet Army from Czechoslovakia,Observance
21/06/2002,Friday,June Solstice,Season
24/06/2002,Monday,Remembrance Day for the Victims of the Communist Regime,Observance
05/07/2002,Friday,St. Cyril & St. Methodius Day,National holiday
05/07/2002,Friday,Foreign Slovaks Day,Observance
17/07/2002,Wednesday,Anniversary of the Declaration of Sovereignty of the Slovak Republic,Observance
04/08/2002,Sunday,Matice Slovenska Day,Observance
10/08/2002,Saturday,Day of the Victims of Mining Disasters,Observance
21/08/2002,Wednesday,Day of the Victims of the Occupation of Czechoslovakia,Observance
29/08/2002,Thursday,National Uprising Day,National holiday
01/09/2002,Sunday,Constitution Day,National holiday
09/09/2002,Monday,Day of the Victims of Holocaust and of racial violence,Observance
15/09/2002,Sunday,Day of Our Lady of Sorrows,National holiday
19/09/2002,Thursday,Foundation of the Slovak National Council Day,Observance
23/09/2002,Monday,September Equinox,Season
06/10/2002,Sunday,Day of the Heroes of the Carpathian-Duklian Operation,Observance
12/10/2002,Saturday,Samizdat Day,Observance
27/10/2002,Sunday,Černová Tragedy Day,Observance
28/10/2002,Monday,Establishment of the Independent Czecho-Slovak State,Observance
29/10/2002,Tuesday,Birth of Ľudovíta Štúr,Observance
30/10/2002,Wednesday,Anniversary of the Declaration of the Slovak Nation,Observance
31/10/2002,Thursday,Reformation Day,Observance
01/11/2002,Friday,All Saints' Day,National holiday
17/11/2002,Sunday,Fight for Freedom and Democracy Day,National holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,National holiday
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,St. Stephen's Day,National holiday
30/12/2002,Monday,Day of the Declaration of Slovakia as an Independent Ecclesiastic Province,Observance
01/01/2003,Wednesday,Republic Day,National holiday
06/01/2003,Monday,Epiphany,National holiday
21/03/2003,Friday,March Equinox,Season
25/03/2003,Tuesday,Struggle for Human Rights Day,Observance
13/04/2003,Sunday,Unfairly Prosecuted Persons Day,Observance
18/04/2003,Friday,Good Friday,National holiday
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
21/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labor Day,National holiday
04/05/2003,Sunday,Death Anniversary of M. R. Štefánik,Observance
08/05/2003,Thursday,Day of Victory Over Fascism,National holiday
11/05/2003,Sunday,Mother's Day,Observance
07/06/2003,Saturday,Anniversary of the Memorandum of the Slovak Nation,Observance
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,Day of the Departure of the Soviet Army from Czechoslovakia,Observance
