Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
02/01/2000,Sunday,New Year holiday,National holiday
08/02/2000,Tuesday,Prešeren Day,National holiday
20/03/2000,Monday,March Equinox,Season
25/03/2000,Saturday,Mother's Day,Observance
23/04/2000,Sunday,Easter Sunday,National holiday
24/04/2000,Monday,Easter Monday,National holiday
27/04/2000,Thursday,Day of Uprising Against Occupation,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
02/05/2000,Tuesday,Labour Day holiday,National holiday
08/06/2000,Thursday,Primož Trubar Day,Observance
11/06/2000,Sunday,Whit Sunday,National holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
25/06/2000,Sunday,Statehood Day,National holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
17/08/2000,Thursday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
15/09/2000,Friday,Restoration of Primorska to the Motherland Day,Observance
22/09/2000,Friday,September Equinox,Season
23/09/2000,Saturday,Slovenian Sports Day,Observance
31/10/2000,Tuesday,Reformation Day,National holiday
01/11/2000,Wednesday,Remembrance Day,National holiday
23/11/2000,Thursday,Rudolf Maister Day,Observance
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Independence and Unity Day,National holiday
01/01/2001,Monday,New Year's Day,National holiday
02/01/2001,Tuesday,New Year holiday,National holiday
08/02/2001,Thursday,Prešeren Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Mother's Day,Observance
15/04/2001,Sunday,Easter Sunday,National holiday
16/04/2001,Monday,Easter Monday,National holiday
27/04/2001,Friday,Day of Uprising Against Occupation,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
02/05/2001,Wednesday,Labour Day holiday,National holiday
03/06/2001,Sunday,Whit Sunday,National holiday
08/06/2001,Friday,Primož Trubar Day,Observance
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
25/06/2001,Monday,Statehood Day,National holiday
15/08/2001,Wednesday,Assumption of Mary,National holiday
17/08/2001,Friday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
15/09/2001,Saturday,Restoration of Primorska to the Motherland Day,Observance
23/09/2001,Sunday,Slovenian Sports Day,Observance
23/09/2001,Sunday,September Equinox,Season
31/10/2001,Wednesday,Reformation Day,National holiday
01/11/2001,Thursday,Remembrance Day,National holiday
23/11/2001,Friday,Rudolf Maister Day,Observance
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Independence and Unity Day,National holiday
01/01/2002,Tuesday,New Year's Day,National holiday
02/01/2002,Wednesday,New Year holiday,National holiday
08/02/2002,Friday,Prešeren Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
25/03/2002,Monday,Mother's Day,Observance
31/03/2002,Sunday,Easter Sunday,National holiday
01/04/2002,Monday,Easter Monday,National holiday
27/04/2002,Saturday,Day of Uprising Against Occupation,National holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
02/05/2002,Thursday,Labour Day holiday,National holiday
19/05/2002,Sunday,Whit Sunday,National holiday
08/06/2002,Saturday,Primož Trubar Day,Observance
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
25/06/2002,Tuesday,Statehood Day,National holiday
15/08/2002,Thursday,Assumption of Mary,National holiday
17/08/2002,Saturday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
15/09/2002,Sunday,Restoration of Primorska to the Motherland Day,Observance
23/09/2002,Monday,Slovenian Sports Day,Observance
23/09/2002,Monday,September Equinox,Season
31/10/2002,Thursday,Reformation Day,National holiday
01/11/2002,Friday,Remembrance Day,National holiday
23/11/2002,Saturday,Rudolf Maister Day,Observance
