Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram,Common local holiday
15/04/2000,Saturday,Ashura,Public Holiday
01/05/2000,Monday,May Day,Public Holiday
18/05/2000,Thursday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2000,Friday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
15/06/2000,Thursday,The Prophet's Birthday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
26/06/2000,Monday,Independence Day,Public Holiday
01/07/2000,Saturday,Republic Day,Common local holiday
22/09/2000,Friday,September Equinox,Season
26/10/2000,Thursday,Isra and Mi'raj,Common local holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram,Common local holiday
04/04/2001,Wednesday,Ashura,Public Holiday
01/05/2001,Tuesday,May Day,Public Holiday
18/05/2001,Friday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2001,Saturday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
04/06/2001,Monday,The Prophet's Birthday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
26/06/2001,Tuesday,Independence Day,Public Holiday
01/07/2001,Sunday,Republic Day,Common local holiday
23/09/2001,Sunday,September Equinox,Season
15/10/2001,Monday,Isra and Mi'raj,Common local holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
01/01/2002,Tuesday,New Year,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
15/03/2002,Friday,Muharram,Common local holiday
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Ashura,Public Holiday
01/05/2002,Wednesday,May Day,Public Holiday
18/05/2002,Saturday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2002,Sunday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
24/05/2002,Friday,The Prophet's Birthday,Public Holiday
21/06/2002,Friday,June Solstice,Season
26/06/2002,Wednesday,Independence Day,Public Holiday
01/07/2002,Monday,Republic Day,Common local holiday
23/09/2002,Monday,September Equinox,Season
04/10/2002,Friday,Isra and Mi'raj,Common local holiday
06/12/2002,Friday,Eid al-Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
05/03/2003,Wednesday,Muharram,Common local holiday
14/03/2003,Friday,Ashura,Public Holiday
21/03/2003,Friday,March Equinox,Season
01/05/2003,Thursday,May Day,Public Holiday
14/05/2003,Wednesday,The Prophet's Birthday,Public Holiday
18/05/2003,Sunday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2003,Monday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
21/06/2003,Saturday,June Solstice,Season
26/06/2003,Thursday,Independence Day,Public Holiday
01/07/2003,Tuesday,Republic Day,Common local holiday
23/09/2003,Tuesday,September Equinox,Season
24/09/2003,Wednesday,Isra and Mi'raj,Common local holiday
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
22/02/2004,Sunday,Muharram,Common local holiday
02/03/2004,Tuesday,Ashura,Public Holiday
20/03/2004,Saturday,March Equinox,Season
01/05/2004,Saturday,May Day,Public Holiday
02/05/2004,Sunday,The Prophet's Birthday,Public Holiday
18/05/2004,Tuesday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2004,Wednesday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
21/06/2004,Monday,June Solstice,Season
26/06/2004,Saturday,Independence Day,Public Holiday
01/07/2004,Thursday,Republic Day,Common local holiday
12/09/2004,Sunday,Isra and Mi'raj,Common local holiday
22/09/2004,Wednesday,September Equinox,Season
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
10/02/2005,Thursday,Muharram,Common local holiday
19/02/2005,Saturday,Ashura,Public Holiday
20/03/2005,Sunday,March Equinox,Season
21/04/2005,Thursday,The Prophet's Birthday,Public Holiday
01/05/2005,Sunday,May Day,Public Holiday
18/05/2005,Wednesday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2005,Thursday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
21/06/2005,Tuesday,June Solstice,Season
26/06/2005,Sunday,Independence Day,Public Holiday
01/07/2005,Friday,Republic Day,Common local holiday
01/09/2005,Thursday,Isra and Mi'raj,Common local holiday
23/09/2005,Friday,September Equinox,Season
04/11/2005,Friday,Eid al-Fitr,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
31/01/2006,Tuesday,Muharram,Common local holiday
09/02/2006,Thursday,Ashura,Public Holiday
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,The Prophet's Birthday,Public Holiday
01/05/2006,Monday,May Day,Public Holiday
18/05/2006,Thursday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2006,Friday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
21/06/2006,Wednesday,June Solstice,Season
26/06/2006,Monday,Independence Day,Public Holiday
01/07/2006,Saturday,Republic Day,Common local holiday
22/08/2006,Tuesday,Isra and Mi'raj,Common local holiday
23/09/2006,Saturday,September Equinox,Season
24/10/2006,Tuesday,Eid al-Fitr,Public Holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Eid al-Adha,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
01/01/2007,Monday,Eid al-Adha Holiday,Common local holiday
20/01/2007,Saturday,Muharram,Common local holiday
29/01/2007,Monday,Ashura,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
31/03/2007,Saturday,The Prophet's Birthday,Public Holiday
01/05/2007,Tuesday,May Day,Public Holiday
18/05/2007,Friday,Restoration of Somaliland Sovereignty,Common local holiday
19/05/2007,Saturday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
