Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
05/02/2000,Saturday,Seollal Holiday,Public Holiday
05/02/2000,Saturday,Seollal,Public Holiday
07/02/2000,Monday,Seollal Holiday,Public Holiday
01/03/2000,Wednesday,Independence Movement Day,National holiday
20/03/2000,Monday,March Equinox,Season
05/04/2000,Wednesday,Arbor Day,Public Holiday
01/05/2000,Monday,Labor Day,Bank Holiday
05/05/2000,Friday,Children's Day,Public Holiday
08/05/2000,Monday,Parents' Day,Observance
15/05/2000,Monday,Teacher's Day,Observance
06/06/2000,Tuesday,Memorial Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
17/07/2000,Monday,Constitution Day,National holiday
15/08/2000,Tuesday,Liberation Day,National holiday
11/09/2000,Monday,Chuseok Holiday,Public Holiday
12/09/2000,Tuesday,Chuseok,Public Holiday
13/09/2000,Wednesday,Chuseok Holiday,Public Holiday
23/09/2000,Saturday,September Equinox,Season
01/10/2000,Sunday,Armed Forces Day,Observance
03/10/2000,Tuesday,National Foundation Day,National holiday
09/10/2000,Monday,Hangeul Proclamation Day,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
24/01/2001,Wednesday,Seollal Holiday,Public Holiday
24/01/2001,Wednesday,Seollal,Public Holiday
25/01/2001,Thursday,Seollal Holiday,Public Holiday
01/03/2001,Thursday,Independence Movement Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
05/04/2001,Thursday,Arbor Day,Public Holiday
01/05/2001,Tuesday,Labor Day,Bank Holiday
05/05/2001,Saturday,Children's Day,Public Holiday
08/05/2001,Tuesday,Parents' Day,Observance
15/05/2001,Tuesday,Teacher's Day,Observance
06/06/2001,Wednesday,Memorial Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
17/07/2001,Tuesday,Constitution Day,National holiday
15/08/2001,Wednesday,Liberation Day,National holiday
23/09/2001,Sunday,September Equinox,Season
30/09/2001,Sunday,Chuseok Holiday,Public Holiday
01/10/2001,Monday,Chuseok,Public Holiday
01/10/2001,Monday,Armed Forces Day,Observance
02/10/2001,Tuesday,Chuseok Holiday,Public Holiday
03/10/2001,Wednesday,National Foundation Day,National holiday
09/10/2001,Tuesday,Hangeul Proclamation Day,Observance
22/12/2001,Saturday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
12/02/2002,Tuesday,Seollal Holiday,Public Holiday
12/02/2002,Tuesday,Seollal,Public Holiday
13/02/2002,Wednesday,Seollal Holiday,Public Holiday
01/03/2002,Friday,Independence Movement Day,National holiday
21/03/2002,Thursday,March Equinox,Season
05/04/2002,Friday,Arbor Day,Public Holiday
01/05/2002,Wednesday,Labor Day,Bank Holiday
05/05/2002,Sunday,Children's Day,Public Holiday
08/05/2002,Wednesday,Parents' Day,Observance
15/05/2002,Wednesday,Teacher's Day,Observance
06/06/2002,Thursday,Memorial Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
17/07/2002,Wednesday,Constitution Day,National holiday
15/08/2002,Thursday,Liberation Day,National holiday
20/09/2002,Friday,Chuseok Holiday,Public Holiday
21/09/2002,Saturday,Chuseok,Public Holiday
22/09/2002,Sunday,Chuseok Holiday,Public Holiday
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,Armed Forces Day,Observance
03/10/2002,Thursday,National Foundation Day,National holiday
09/10/2002,Wednesday,Hangeul Proclamation Day,Observance
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,Public Holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,Public Holiday
01/02/2003,Saturday,Seollal Holiday,Public Holiday
01/02/2003,Saturday,Seollal,Public Holiday
03/02/2003,Monday,Seollal Holiday,Public Holiday
01/03/2003,Saturday,Independence Movement Day,National holiday
21/03/2003,Friday,March Equinox,Season
05/04/2003,Saturday,Arbor Day,Public Holiday
01/05/2003,Thursday,Labor Day,Bank Holiday
05/05/2003,Monday,Children's Day,Public Holiday
08/05/2003,Thursday,Buddha's Birthday,Public Holiday
08/05/2003,Thursday,Parents' Day,Observance
15/05/2003,Thursday,Teacher's Day,Observance
06/06/2003,Friday,Memorial Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
17/07/2003,Thursday,Constitution Day,National holiday
15/08/2003,Friday,Liberation Day,National holiday
10/09/2003,Wednesday,Chuseok Holiday,Public Holiday
11/09/2003,Thursday,Chuseok,Public Holiday
12/09/2003,Friday,Chuseok Holiday,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,Armed Forces Day,Observance
03/10/2003,Friday,National Foundation Day,National holiday
09/10/2003,Thursday,Hangeul Proclamation Day,Observance
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,Observance
25/12/2003,Thursday,Christmas Day,Public Holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,Public Holiday
22/01/2004,Thursday,Seollal Holiday,Public Holiday
22/01/2004,Thursday,Seollal,Public Holiday
23/01/2004,Friday,Seollal Holiday,Public Holiday
01/03/2004,Monday,Independence Movement Day,National holiday
20/03/2004,Saturday,March Equinox,Season
05/04/2004,Monday,Arbor Day,Public Holiday
01/05/2004,Saturday,Labor Day,Bank Holiday
05/05/2004,Wednesday,Children's Day,Public Holiday
08/05/2004,Saturday,Parents' Day,Observance
15/05/2004,Saturday,Teacher's Day,Observance
26/05/2004,Wednesday,Buddha's Birthday,Public Holiday
06/06/2004,Sunday,Memorial Day,Public Holiday
