Date,Day,Name,Type
01/01/2011,Saturday,New Year,Public Holiday
09/01/2011,Sunday,Peace Agreement Day,Public Holiday
14/02/2011,Monday,Valentine's Day,Observance
08/03/2011,Tuesday,International Women's Day,Observance
21/03/2011,Monday,March Equinox,Season
24/04/2011,Sunday,Easter Sunday,Public Holiday
01/05/2011,Sunday,May Day,Public Holiday
02/05/2011,Monday,Day off for May Day,Public Holiday
16/05/2011,Monday,SPLA Day,Public Holiday
10/06/2011,Friday,Father's Day,Observance
21/06/2011,Tuesday,June Solstice,Season
04/07/2011,Monday,Mother's Day,Observance
09/07/2011,Saturday,Independence Day,Public Holiday
30/07/2011,Saturday,Martyrs Day,Public Holiday
31/08/2011,Wednesday,Eid al-Fitr,Public Holiday
23/09/2011,Friday,September Equinox,Season
07/11/2011,Monday,Eid al-Adha,Public Holiday
13/11/2011,Sunday,Grandparents' Day,Observance
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,Public Holiday
28/12/2011,Wednesday,Republic Day,Observance
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year,Public Holiday
09/01/2012,Monday,Peace Agreement Day,Public Holiday
14/02/2012,Tuesday,Valentine's Day,Observance
08/03/2012,Thursday,International Women's Day,Observance
20/03/2012,Tuesday,March Equinox,Season
08/04/2012,Sunday,Easter Sunday,Public Holiday
01/05/2012,Tuesday,May Day,Public Holiday
16/05/2012,Wednesday,SPLA Day,Public Holiday
10/06/2012,Sunday,Father's Day,Observance
21/06/2012,Thursday,June Solstice,Season
02/07/2012,Monday,Mother's Day,Observance
09/07/2012,Monday,Independence Day,Public Holiday
30/07/2012,Monday,Martyrs Day,Public Holiday
19/08/2012,Sunday,Eid al-Fitr,Public Holiday
22/09/2012,Saturday,September Equinox,Season
26/10/2012,Friday,Eid al-Adha,Public Holiday
11/11/2012,Sunday,Grandparents' Day,Observance
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Christmas Day,Public Holiday
28/12/2012,Friday,Republic Day,Observance
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year,Public Holiday
09/01/2013,Wednesday,Peace Agreement Day,Public Holiday
14/02/2013,Thursday,Valentine's Day,Observance
08/03/2013,Friday,International Women's Day,Observance
20/03/2013,Wednesday,March Equinox,Season
31/03/2013,Sunday,Easter Sunday,Public Holiday
01/05/2013,Wednesday,May Day,Public Holiday
16/05/2013,Thursday,SPLA Day,Public Holiday
10/06/2013,Monday,Father's Day,Observance
21/06/2013,Friday,June Solstice,Season
01/07/2013,Monday,Mother's Day,Observance
09/07/2013,Tuesday,Independence Day,Public Holiday
30/07/2013,Tuesday,Martyrs Day,Public Holiday
08/08/2013,Thursday,Eid al-Fitr,Public Holiday
22/09/2013,Sunday,September Equinox,Season
15/10/2013,Tuesday,Eid al-Adha,Public Holiday
10/11/2013,Sunday,Grandparents' Day,Observance
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Public Holiday
28/12/2013,Saturday,Republic Day,Observance
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year,Public Holiday
09/01/2014,Thursday,Peace Agreement Day,Public Holiday
14/02/2014,Friday,Valentine's Day,Observance
08/03/2014,Saturday,International Women's Day,Observance
20/03/2014,Thursday,March Equinox,Season
20/04/2014,Sunday,Easter Sunday,Public Holiday
01/05/2014,Thursday,May Day,Public Holiday
16/05/2014,Friday,SPLA Day,Public Holiday
10/06/2014,Tuesday,Father's Day,Observance
21/06/2014,Saturday,June Solstice,Season
07/07/2014,Monday,Mother's Day,Observance
09/07/2014,Wednesday,Independence Day,Public Holiday
29/07/2014,Tuesday,Eid al-Fitr,Public Holiday
30/07/2014,Wednesday,Martyrs Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
05/10/2014,Sunday,Eid al-Adha,Public Holiday
09/11/2014,Sunday,Grandparents' Day,Observance
22/12/2014,Monday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
28/12/2014,Sunday,Republic Day,Observance
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year,Public Holiday
09/01/2015,Friday,Peace Agreement Day,Public Holiday
14/02/2015,Saturday,Valentine's Day,Observance
08/03/2015,Sunday,International Women's Day,Observance
21/03/2015,Saturday,March Equinox,Season
05/04/2015,Sunday,Easter Sunday,Public Holiday
01/05/2015,Friday,May Day,Public Holiday
16/05/2015,Saturday,SPLA Day,Public Holiday
10/06/2015,Wednesday,Father's Day,Observance
21/06/2015,Sunday,June Solstice,Season
06/07/2015,Monday,Mother's Day,Observance
09/07/2015,Thursday,Independence Day,Public Holiday
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
30/07/2015,Thursday,Martyrs Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
08/11/2015,Sunday,Grandparents' Day,Observance
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
28/12/2015,Monday,Republic Day,Observance
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year,Public Holiday
09/01/2016,Saturday,Peace Agreement Day,Public Holiday
14/02/2016,Sunday,Valentine's Day,Observance
08/03/2016,Tuesday,International Women's Day,Observance
20/03/2016,Sunday,March Equinox,Season
27/03/2016,Sunday,Easter Sunday,Public Holiday
01/05/2016,Sunday,May Day,Public Holiday
02/05/2016,Monday,Day off for May Day,Public Holiday
