Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
02/01/2000,Sunday,Reconquest Day,Provincial Holiday
06/01/2000,Thursday,Epiphany,National holiday
22/01/2000,Saturday,Martyr Vicente's Feast,Provincial Holiday
23/01/2000,Sunday,Day of Saint Ildefonso,Observance
29/01/2000,Saturday,St. Valero's Feast,Provincial Holiday
14/02/2000,Monday,Valentine's Day,Observance
28/02/2000,Monday,Day of Andalucía,Autonomous Community Holiday
01/03/2000,Wednesday,Day of the Balearic Islands,Local holiday
06/03/2000,Monday,Fifth of March,Provincial Holiday
08/03/2000,Wednesday,Ash Wednesday,Observance
19/03/2000,Sunday,Father's Day,Observance
19/03/2000,Sunday,San Jose,Common local holiday
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
14/04/2000,Friday,Sermon of the Tortillas,Observance
16/04/2000,Sunday,Palm Sunday,Observance
20/04/2000,Thursday,Maundy Thursday,Autonomous Community Holiday
21/04/2000,Friday,Good Friday,National holiday
23/04/2000,Sunday,Easter Sunday,Observance
23/04/2000,Sunday,Santa Faz,Observance
23/04/2000,Sunday,St George's Day,Local holiday
23/04/2000,Sunday,St George's Day,Local observance
23/04/2000,Sunday,Castile and León Day,Autonomous Community Holiday
24/04/2000,Monday,Easter Monday,Common local holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
02/05/2000,Tuesday,Day of Madrid,Autonomous Community Holiday
07/05/2000,Sunday,Mothers' Day,Observance
15/05/2000,Monday,Feast Day of St Isidore,Municipal Holiday
17/05/2000,Wednesday,Galicia Literature Day,Autonomous Community Holiday
30/05/2000,Tuesday,Day of the Canary Islands,Local holiday
31/05/2000,Wednesday,Day of Castile-La Mancha,Autonomous Community Holiday
09/06/2000,Friday,Day of Murcia,Autonomous Community Holiday
09/06/2000,Friday,Day of La Rioja,Autonomous Community Holiday
11/06/2000,Sunday,Whit Sunday/Pentecost,Observance
12/06/2000,Monday,Whit Monday,Provincial Holiday
13/06/2000,Tuesday,San Antonio,Autonomous Community Holiday
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Local holiday
24/06/2000,Saturday,Saint John the Baptist Day,Autonomous Community Holiday
24/06/2000,Saturday,Saint John the Baptist Day,Observance
24/06/2000,Saturday,Feast of San Juan,Observance
