Date,Day,Name,Type
01/01/2005,Saturday,Independence Day,Public Holiday
07/01/2005,Friday,Coptic Christmas,Public Holiday
20/01/2005,Thursday,Eid al-Adha Holiday,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
22/01/2005,Saturday,Eid al-Adha Holiday,Public Holiday
23/01/2005,Sunday,Eid al-Adha Holiday,Public Holiday
24/01/2005,Monday,Eid al-Adha Holiday,Public Holiday
10/02/2005,Thursday,Muharram,Public Holiday
20/03/2005,Sunday,March Equinox,Season
21/04/2005,Thursday,The Prophet's Birthday,Public Holiday
01/05/2005,Sunday,Coptic Easter,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
30/06/2005,Thursday,Revolution Day,Public Holiday
23/09/2005,Friday,September Equinox,Season
04/11/2005,Friday,Eid al-Fitr,Public Holiday
05/11/2005,Saturday,Eid al-Fitr Holiday,Public Holiday
06/11/2005,Sunday,Eid al-Fitr Holiday,Public Holiday
07/11/2005,Monday,Eid al-Fitr Holiday,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,Independence Day,Public Holiday
07/01/2006,Saturday,Coptic Christmas,Public Holiday
09/01/2006,Monday,Eid al-Adha Holiday,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
11/01/2006,Wednesday,Eid al-Adha Holiday,Public Holiday
12/01/2006,Thursday,Eid al-Adha Holiday,Public Holiday
13/01/2006,Friday,Eid al-Adha Holiday,Public Holiday
31/01/2006,Tuesday,Muharram,Public Holiday
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,The Prophet's Birthday,Public Holiday
23/04/2006,Sunday,Coptic Easter,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
30/06/2006,Friday,Revolution Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
24/10/2006,Tuesday,Eid al-Fitr,Public Holiday
25/10/2006,Wednesday,Eid al-Fitr Holiday,Public Holiday
26/10/2006,Thursday,Eid al-Fitr Holiday,Public Holiday
27/10/2006,Friday,Eid al-Fitr Holiday,Public Holiday
22/12/2006,Friday,December Solstice,Season
30/12/2006,Saturday,Eid al-Adha Holiday,Public Holiday
31/12/2006,Sunday,Eid al-Adha,Public Holiday
01/01/2007,Monday,Eid al-Adha Holiday,Public Holiday
01/01/2007,Monday,Independence Day,Public Holiday
02/01/2007,Tuesday,Eid al-Adha Holiday,Public Holiday
03/01/2007,Wednesday,Eid al-Adha Holiday,Public Holiday
07/01/2007,Sunday,Coptic Christmas,Public Holiday
20/01/2007,Saturday,Muharram,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
31/03/2007,Saturday,The Prophet's Birthday,Public Holiday
08/04/2007,Sunday,Coptic Easter,Public Holiday
21/06/2007,Thursday,June Solstice,Season
30/06/2007,Saturday,Revolution Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Eid al-Fitr,Public Holiday
14/10/2007,Sunday,Eid al-Fitr Holiday,Public Holiday
15/10/2007,Monday,Eid al-Fitr Holiday,Public Holiday
16/10/2007,Tuesday,Eid al-Fitr Holiday,Public Holiday
19/12/2007,Wednesday,Eid al-Adha Holiday,Public Holiday
20/12/2007,Thursday,Eid al-Adha,Public Holiday
21/12/2007,Friday,Eid al-Adha Holiday,Public Holiday
22/12/2007,Saturday,Eid al-Adha Holiday,Public Holiday
22/12/2007,Saturday,December Solstice,Season
23/12/2007,Sunday,Eid al-Adha Holiday,Public Holiday
01/01/2008,Tuesday,Independence Day,Public Holiday
07/01/2008,Monday,Coptic Christmas,Public Holiday
10/01/2008,Thursday,Muharram,Public Holiday
20/03/2008,Thursday,The Prophet's Birthday,Public Holiday
20/03/2008,Thursday,March Equinox,Season
27/04/2008,Sunday,Coptic Easter,Public Holiday
21/06/2008,Saturday,June Solstice,Season
30/06/2008,Monday,Revolution Day,Public Holiday
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid al-Fitr,Public Holiday
03/10/2008,Friday,Eid al-Fitr Holiday,Public Holiday
04/10/2008,Saturday,Eid al-Fitr Holiday,Public Holiday
05/10/2008,Sunday,Eid al-Fitr Holiday,Public Holiday
08/12/2008,Monday,Eid al-Adha Holiday,Public Holiday
09/12/2008,Tuesday,Eid al-Adha,Public Holiday
10/12/2008,Wednesday,Eid al-Adha Holiday,Public Holiday
11/12/2008,Thursday,Eid al-Adha Holiday,Public Holiday
12/12/2008,Friday,Eid al-Adha Holiday,Public Holiday
21/12/2008,Sunday,December Solstice,Season
29/12/2008,Monday,Muharram,Public Holiday
01/01/2009,Thursday,Independence Day,Public Holiday
07/01/2009,Wednesday,Coptic Christmas,Public Holiday
09/03/2009,Monday,The Prophet's Birthday,Public Holiday
