Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public holiday
05/01/2000,Wednesday,Twelfth Night,De facto half holiday
06/01/2000,Thursday,Epiphany,Public holiday
14/02/2000,Monday,Valentine's Day,Observance
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/04/2000,Friday,Good Friday,Public holiday
22/04/2000,Saturday,Holy Saturday,De facto holiday
23/04/2000,Sunday,Easter Sunday,Public holiday
24/04/2000,Monday,Easter Monday,Public holiday
30/04/2000,Sunday,Walpurgis Night,De facto half holiday
01/05/2000,Monday,May 1st,Public holiday
28/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Public holiday
06/06/2000,Tuesday,National day,De facto holiday
10/06/2000,Saturday,Whit Saturday,Public holiday
11/06/2000,Sunday,Whit Sunday,Public holiday
12/06/2000,Monday,Whit Monday,Public holiday
21/06/2000,Wednesday,June Solstice,Season
23/06/2000,Friday,Midsummer Eve,De facto and Bank holiday
24/06/2000,Saturday,Midsummer Day,Public holiday
22/09/2000,Friday,September Equinox,Season
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
03/11/2000,Friday,All Saints' Eve,De facto half holiday
04/11/2000,Saturday,All Saints' Day,Public holiday
12/11/2000,Sunday,Father's Day,Observance
03/12/2000,Sunday,First Advent Sunday,"Observance, Christian"
10/12/2000,Sunday,Second Advent Sunday,"Observance, Christian"
17/12/2000,Sunday,Third Advent Sunday,"Observance, Christian"
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,De facto holiday
24/12/2000,Sunday,Fourth Advent Sunday,"Observance, Christian"
25/12/2000,Monday,Christmas Day,Public holiday
26/12/2000,Tuesday,Boxing Day,Public holiday
31/12/2000,Sunday,New Year's Eve,De facto and Bank holiday
01/01/2001,Monday,New Year's Day,Public holiday
05/01/2001,Friday,Twelfth Night,De facto half holiday
06/01/2001,Saturday,Epiphany,Public holiday
14/02/2001,Wednesday,Valentine's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
13/04/2001,Friday,Good Friday,Public holiday
14/04/2001,Saturday,Holy Saturday,De facto holiday
15/04/2001,Sunday,Easter Sunday,Public holiday
16/04/2001,Monday,Easter Monday,Public holiday
30/04/2001,Monday,Walpurgis Night,De facto half holiday
01/05/2001,Tuesday,May 1st,Public holiday
24/05/2001,Thursday,Ascension Day,Public holiday
27/05/2001,Sunday,Mother's Day,Observance
02/06/2001,Saturday,Whit Saturday,Public holiday
03/06/2001,Sunday,Whit Sunday,Public holiday
04/06/2001,Monday,Whit Monday,Public holiday
06/06/2001,Wednesday,National day,De facto holiday
21/06/2001,Thursday,June Solstice,Season
22/06/2001,Friday,Midsummer Eve,De facto and Bank holiday
23/06/2001,Saturday,Midsummer Day,Public holiday
23/09/2001,Sunday,September Equinox,Season
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
02/11/2001,Friday,All Saints' Eve,De facto half holiday
03/11/2001,Saturday,All Saints' Day,Public holiday
