Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Common local holiday
02/01/2000,Sunday,Berchtold Day,Common local holiday
06/01/2000,Thursday,Epiphany,Common local holiday
14/02/2000,Monday,Valentine's Day,Observance
01/03/2000,Wednesday,Republic Day,Common local holiday
19/03/2000,Sunday,Saint Joseph's Day,Common local holiday
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
06/04/2000,Thursday,Näfelser Fahrt,Common local holiday
21/04/2000,Friday,Good Friday,Common local holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Common local holiday
01/05/2000,Monday,May Day (Half-Day),Common local holiday
14/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Common local holiday
11/06/2000,Sunday,Pentecost,Observance
12/06/2000,Monday,Pentecost Monday,Common local holiday
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Common local holiday
23/06/2000,Friday,Jura Independence Day,Common local holiday
29/06/2000,Thursday,St. Peter and St. Paul,Common local holiday
01/08/2000,Tuesday,Swiss National Day,National holiday
15/08/2000,Tuesday,Assumption of Mary,Common local holiday
07/09/2000,Thursday,Jeune Genevois,Common local holiday
09/09/2000,Saturday,Knabenschiessen,Observance
10/09/2000,Sunday,Knabenschiessen,Observance
11/09/2000,Monday,Knabenschiessen,Observance
17/09/2000,Sunday,Swiss Federal Fast,Common local holiday
18/09/2000,Monday,Federal Fast Monday,Common local holiday
22/09/2000,Friday,Mauritius Day,Common local holiday
22/09/2000,Friday,September Equinox,Season
25/09/2000,Monday,St. Nicholas of Flüe,Common local holiday
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2000,Wednesday,All Saints' Day,Common local holiday
08/12/2000,Friday,Immaculate Conception,Common local holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,Common local holiday
26/12/2000,Tuesday,St. Stephen's Day,Common local holiday
31/12/2000,Sunday,New Year's Eve,Observance
31/12/2000,Sunday,Restoration Day,Common local holiday
01/01/2001,Monday,New Year's Day,Common local holiday
02/01/2001,Tuesday,Berchtold Day,Common local holiday
06/01/2001,Saturday,Epiphany,Common local holiday
14/02/2001,Wednesday,Valentine's Day,Observance
01/03/2001,Thursday,Republic Day,Common local holiday
19/03/2001,Monday,Saint Joseph's Day,Common local holiday
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
05/04/2001,Thursday,Näfelser Fahrt,Common local holiday
13/04/2001,Friday,Good Friday,Common local holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Common local holiday
01/05/2001,Tuesday,May Day (Half-Day),Common local holiday
13/05/2001,Sunday,Mother's Day,Observance
24/05/2001,Thursday,Ascension Day,Common local holiday
03/06/2001,Sunday,Pentecost,Observance
04/06/2001,Monday,Pentecost Monday,Common local holiday
14/06/2001,Thursday,Corpus Christi,Common local holiday
21/06/2001,Thursday,June Solstice,Season
23/06/2001,Saturday,Jura Independence Day,Common local holiday
29/06/2001,Friday,St. Peter and St. Paul,Common local holiday
01/08/2001,Wednesday,Swiss National Day,National holiday
15/08/2001,Wednesday,Assumption of Mary,Common local holiday
06/09/2001,Thursday,Jeune Genevois,Common local holiday
08/09/2001,Saturday,Knabenschiessen,Observance
09/09/2001,Sunday,Knabenschiessen,Observance
10/09/2001,Monday,Knabenschiessen,Observance
16/09/2001,Sunday,Swiss Federal Fast,Common local holiday
17/09/2001,Monday,Federal Fast Monday,Common local holiday
22/09/2001,Saturday,Mauritius Day,Common local holiday
23/09/2001,Sunday,September Equinox,Season
25/09/2001,Tuesday,St. Nicholas of Flüe,Common local holiday
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2001,Thursday,All Saints' Day,Common local holiday
08/12/2001,Saturday,Immaculate Conception,Common local holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,Common local holiday
26/12/2001,Wednesday,St. Stephen's Day,Common local holiday
31/12/2001,Monday,New Year's Eve,Observance
