Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
08/03/2000,Wednesday,Revolution Day,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Mothers' Day,Public Holiday
01/04/2000,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
06/04/2000,Thursday,Muharram,Public Holiday
17/04/2000,Monday,Evacuation Day,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
30/04/2000,Sunday,Orthodox Easter Day,Public Holiday
01/05/2000,Monday,Labor Day,Public Holiday
06/05/2000,Saturday,Martyrs' Day,Public Holiday
15/06/2000,Thursday,The Prophet's Birthday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
01/08/2000,Tuesday,Armed Forces Day,Observance
22/09/2000,Friday,September Equinox,Season
01/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/10/2000,Friday,October Liberation Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
08/03/2001,Thursday,Revolution Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
21/03/2001,Wednesday,Mothers' Day,Public Holiday
26/03/2001,Monday,Muharram,Public Holiday
01/04/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
15/04/2001,Sunday,Easter Sunday,Observance
15/04/2001,Sunday,Orthodox Easter Day,Public Holiday
17/04/2001,Tuesday,Evacuation Day,Public Holiday
01/05/2001,Tuesday,Labor Day,Public Holiday
06/05/2001,Sunday,Martyrs' Day,Public Holiday
04/06/2001,Monday,The Prophet's Birthday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
01/08/2001,Wednesday,Armed Forces Day,Observance
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/10/2001,Saturday,October Liberation Day,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
08/03/2002,Friday,Revolution Day,Public Holiday
15/03/2002,Friday,Muharram,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
21/03/2002,Thursday,Mothers' Day,Public Holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Daylight Saving Time starts,Clock change/Daylight Saving Time
17/04/2002,Wednesday,Evacuation Day,Public Holiday
01/05/2002,Wednesday,Labor Day,Public Holiday
05/05/2002,Sunday,Orthodox Easter Day,Public Holiday
06/05/2002,Monday,Martyrs' Day,Public Holiday
24/05/2002,Friday,The Prophet's Birthday,Public Holiday
21/06/2002,Friday,June Solstice,Season
01/08/2002,Thursday,Armed Forces Day,Observance
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/10/2002,Sunday,October Liberation Day,Public Holiday
06/12/2002,Friday,Eid al-Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
05/03/2003,Wednesday,Muharram,Public Holiday
08/03/2003,Saturday,Revolution Day,Public Holiday
21/03/2003,Friday,Mothers' Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
01/04/2003,Tuesday,Daylight Saving Time starts,Clock change/Daylight Saving Time
17/04/2003,Thursday,Evacuation Day,Public Holiday
20/04/2003,Sunday,Easter Sunday,Observance
27/04/2003,Sunday,Orthodox Easter Day,Public Holiday
01/05/2003,Thursday,Labor Day,Public Holiday
06/05/2003,Tuesday,Martyrs' Day,Public Holiday
14/05/2003,Wednesday,The Prophet's Birthday,Public Holiday
21/06/2003,Saturday,June Solstice,Season
01/08/2003,Friday,Armed Forces Day,Observance
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/10/2003,Monday,October Liberation Day,Public Holiday
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
22/02/2004,Sunday,Muharram,Public Holiday
08/03/2004,Monday,Revolution Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
21/03/2004,Sunday,Mothers' Day,Public Holiday
01/04/2004,Thursday,Daylight Saving Time starts,Clock change/Daylight Saving Time
11/04/2004,Sunday,Easter Sunday,Observance
11/04/2004,Sunday,Orthodox Easter Day,Public Holiday
17/04/2004,Saturday,Evacuation Day,Public Holiday
01/05/2004,Saturday,Labor Day,Public Holiday
02/05/2004,Sunday,The Prophet's Birthday,Public Holiday
06/05/2004,Thursday,Martyrs' Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
01/08/2004,Sunday,Armed Forces Day,Observance
22/09/2004,Wednesday,September Equinox,Season
01/10/2004,Friday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/10/2004,Wednesday,October Liberation Day,Public Holiday
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
10/02/2005,Thursday,Muharram,Public Holiday
08/03/2005,Tuesday,Revolution Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
21/03/2005,Monday,Mothers' Day,Public Holiday
27/03/2005,Sunday,Easter Sunday,Observance
01/04/2005,Friday,Daylight Saving Time starts,Clock change/Daylight Saving Time
17/04/2005,Sunday,Evacuation Day,Public Holiday
21/04/2005,Thursday,The Prophet's Birthday,Public Holiday
01/05/2005,Sunday,Labor Day,Public Holiday
01/05/2005,Sunday,Orthodox Easter Day,Public Holiday
06/05/2005,Friday,Martyrs' Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
01/08/2005,Monday,Armed Forces Day,Observance
23/09/2005,Friday,September Equinox,Season
