Date,Day,Name,Type
01/01/2000,Saturday,Republic Day/New Year's Day,National holiday
04/02/2000,Friday,Lunar New Year's Eve,National holiday
04/02/2000,Friday,Farmer's Day,Observance
05/02/2000,Saturday,Lunar New Year's Day,National holiday
06/02/2000,Sunday,Lunar New Year Holiday,National holiday
07/02/2000,Monday,Lunar New Year Holiday,National holiday
08/02/2000,Tuesday,Lunar New Year Holiday,National holiday
09/02/2000,Wednesday,Lunar New Year Holiday,National holiday
19/02/2000,Saturday,Lantern Festival,Observance
19/02/2000,Saturday,Tourism Day,Observance
28/02/2000,Monday,Peace Memorial Day,National holiday
07/03/2000,Tuesday,Earth God's Birthday,Observance
08/03/2000,Wednesday,International Women's Day,Observance
12/03/2000,Sunday,Arbor Day,Observance
20/03/2000,Monday,March Equinox,Season
24/03/2000,Friday,Kuan Yin's Birthday,Observance
29/03/2000,Wednesday,Youth Day,Observance
04/04/2000,Tuesday,Tomb Sweeping Day,National holiday
04/04/2000,Tuesday,Children's Day,Observance
19/04/2000,Wednesday,God of Medicine's Birthday,Observance
23/04/2000,Sunday,Easter Sunday,Observance
27/04/2000,Thursday,Matsu's Birthday,Observance
01/05/2000,Monday,Labor Day,Private Sector
04/05/2000,Thursday,Literary Day,Observance
11/05/2000,Thursday,Buddha's Birthday,Observance
14/05/2000,Sunday,Mother's Day,Observance
03/06/2000,Saturday,Opium Suppression Movement Day,Observance
06/06/2000,Tuesday,Dragon Boat Festival,National holiday
14/06/2000,Wednesday,Kuan Kung's Birthday,Observance
14/06/2000,Wednesday,Chen Huang's Birthday,Observance
21/06/2000,Wednesday,June Solstice,Season
06/08/2000,Sunday,Chinese Valentine's Day,Observance
08/08/2000,Tuesday,Father's Day,Observance
14/08/2000,Monday,Hungry Ghost Festival,Observance
03/09/2000,Sunday,Armed Forces Day,National holiday
12/09/2000,Tuesday,Mid-Autumn Festival,National holiday
23/09/2000,Saturday,September Equinox,Season
28/09/2000,Thursday,Teachers' Day,Observance
06/10/2000,Friday,Double Ninth Day,Observance
10/10/2000,Tuesday,National Day,National holiday
21/10/2000,Saturday,Overseas Chinese Day,Observance
25/10/2000,Wednesday,Taiwan's Retrocession Day,Observance
31/10/2000,Tuesday,Halloween,Observance
10/11/2000,Friday,Saisiat Festival,Observance
12/11/2000,Sunday,Sun Yat-sen's Birthday,Observance
21/12/2000,Thursday,December Solstice,Season
21/12/2000,Thursday,Dōngzhì Festival,Observance
25/12/2000,Monday,Constitution Day,Observance
25/12/2000,Monday,Christmas Day,Observance
01/01/2001,Monday,Republic Day/New Year's Day,National holiday
23/01/2001,Tuesday,Lunar New Year's Eve,National holiday
24/01/2001,Wednesday,Lunar New Year's Day,National holiday
25/01/2001,Thursday,Lunar New Year Holiday,National holiday
26/01/2001,Friday,Lunar New Year Holiday,National holiday
27/01/2001,Saturday,Lunar New Year Holiday,National holiday
28/01/2001,Sunday,Lunar New Year Holiday,National holiday
04/02/2001,Sunday,Farmer's Day,Observance
07/02/2001,Wednesday,Lantern Festival,Observance
07/02/2001,Wednesday,Tourism Day,Observance
24/02/2001,Saturday,Earth God's Birthday,Observance
28/02/2001,Wednesday,Peace Memorial Day,National holiday
08/03/2001,Thursday,International Women's Day,Observance
12/03/2001,Monday,Arbor Day,Observance
13/03/2001,Tuesday,Kuan Yin's Birthday,Observance
20/03/2001,Tuesday,March Equinox,Season
29/03/2001,Thursday,Youth Day,Observance
04/04/2001,Wednesday,Children's Day,Observance
05/04/2001,Thursday,Tomb Sweeping Day,National holiday
08/04/2001,Sunday,God of Medicine's Birthday,Observance
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Matsu's Birthday,Observance
30/04/2001,Monday,Buddha's Birthday,Observance
01/05/2001,Tuesday,Labor Day,Private Sector
04/05/2001,Friday,Literary Day,Observance
13/05/2001,Sunday,Mother's Day,Observance
03/06/2001,Sunday,Opium Suppression Movement Day,Observance
21/06/2001,Thursday,June Solstice,Season
25/06/2001,Monday,Dragon Boat Festival,National holiday
03/07/2001,Tuesday,Kuan Kung's Birthday,Observance
03/07/2001,Tuesday,Chen Huang's Birthday,Observance
08/08/2001,Wednesday,Father's Day,Observance
25/08/2001,Saturday,Chinese Valentine's Day,Observance
02/09/2001,Sunday,Hungry Ghost Festival,Observance
03/09/2001,Monday,Armed Forces Day,National holiday
23/09/2001,Sunday,September Equinox,Season
28/09/2001,Friday,Teachers' Day,Observance
01/10/2001,Monday,Mid-Autumn Festival,National holiday
10/10/2001,Wednesday,National Day,National holiday
21/10/2001,Sunday,Overseas Chinese Day,Observance
25/10/2001,Thursday,Taiwan's Retrocession Day,Observance
25/10/2001,Thursday,Double Ninth Day,Observance
31/10/2001,Wednesday,Halloween,Observance
12/11/2001,Monday,Sun Yat-sen's Birthday,Observance
22/12/2001,Saturday,December Solstice,Season
22/12/2001,Saturday,Dōngzhì Festival,Observance
25/12/2001,Tuesday,Constitution Day,Observance
25/12/2001,Tuesday,Christmas Day,Observance
01/01/2002,Tuesday,Republic Day/New Year's Day,National holiday
04/02/2002,Monday,Farmer's Day,Observance
11/02/2002,Monday,Lunar New Year's Eve,National holiday
12/02/2002,Tuesday,Lunar New Year's Day,National holiday
13/02/2002,Wednesday,Lunar New Year Holiday,National holiday
14/02/2002,Thursday,Lunar New Year Holiday,National holiday
15/02/2002,Friday,Lunar New Year Holiday,National holiday
16/02/2002,Saturday,Lunar New Year Holiday,National holiday
26/02/2002,Tuesday,Lantern Festival,Observance
26/02/2002,Tuesday,Tourism Day,Observance
28/02/2002,Thursday,Peace Memorial Day,National holiday
08/03/2002,Friday,International Women's Day,Observance
12/03/2002,Tuesday,Arbor Day,Observance
15/03/2002,Friday,Earth God's Birthday,Observance
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Youth Day,Observance
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Kuan Yin's Birthday,Observance
04/04/2002,Thursday,Children's Day,Observance
05/04/2002,Friday,Tomb Sweeping Day,National holiday
27/04/2002,Saturday,God of Medicine's Birthday,Observance
01/05/2002,Wednesday,Labor Day,Private Sector
04/05/2002,Saturday,Literary Day,Observance
05/05/2002,Sunday,Matsu's Birthday,Observance
12/05/2002,Sunday,Mother's Day,Observance
19/05/2002,Sunday,Buddha's Birthday,Observance
03/06/2002,Monday,Opium Suppression Movement Day,Observance
15/06/2002,Saturday,Dragon Boat Festival,National holiday
21/06/2002,Friday,June Solstice,Season
23/06/2002,Sunday,Kuan Kung's Birthday,Observance
23/06/2002,Sunday,Chen Huang's Birthday,Observance
08/08/2002,Thursday,Father's Day,Observance
15/08/2002,Thursday,Chinese Valentine's Day,Observance
23/08/2002,Friday,Hungry Ghost Festival,Observance
03/09/2002,Tuesday,Armed Forces Day,National holiday
21/09/2002,Saturday,Mid-Autumn Festival,National holiday
23/09/2002,Monday,September Equinox,Season
28/09/2002,Saturday,Teachers' Day,Observance
10/10/2002,Thursday,National Day,National holiday
14/10/2002,Monday,Double Ninth Day,Observance
21/10/2002,Monday,Overseas Chinese Day,Observance
25/10/2002,Friday,Taiwan's Retrocession Day,Observance
31/10/2002,Thursday,Halloween,Observance
12/11/2002,Tuesday,Sun Yat-sen's Birthday,Observance
19/11/2002,Tuesday,Saisiat Festival,Observance
22/12/2002,Sunday,December Solstice,Season
22/12/2002,Sunday,Dōngzhì Festival,Observance
25/12/2002,Wednesday,Constitution Day,Observance
25/12/2002,Wednesday,Christmas Day,Observance
01/01/2003,Wednesday,Republic Day/New Year's Day,National holiday
31/01/2003,Friday,Lunar New Year's Eve,National holiday
01/02/2003,Saturday,Lunar New Year's Day,National holiday
02/02/2003,Sunday,Lunar New Year Holiday,National holiday
03/02/2003,Monday,Lunar New Year Holiday,National holiday
04/02/2003,Tuesday,Lunar New Year Holiday,National holiday
04/02/2003,Tuesday,Farmer's Day,Observance
05/02/2003,Wednesday,Lunar New Year Holiday,National holiday
15/02/2003,Saturday,Lantern Festival,Observance
15/02/2003,Saturday,Tourism Day,Observance
28/02/2003,Friday,Peace Memorial Day,National holiday
04/03/2003,Tuesday,Earth God's Birthday,Observance
08/03/2003,Saturday,International Women's Day,Observance
12/03/2003,Wednesday,Arbor Day,Observance
21/03/2003,Friday,Kuan Yin's Birthday,Observance
21/03/2003,Friday,March Equinox,Season
29/03/2003,Saturday,Youth Day,Observance
04/04/2003,Friday,Children's Day,Observance
05/04/2003,Saturday,Tomb Sweeping Day,National holiday
16/04/2003,Wednesday,God of Medicine's Birthday,Observance
20/04/2003,Sunday,Easter Sunday,Observance
24/04/2003,Thursday,Matsu's Birthday,Observance
01/05/2003,Thursday,Labor Day,Private Sector
04/05/2003,Sunday,Literary Day,Observance
08/05/2003,Thursday,Buddha's Birthday,Observance
11/05/2003,Sunday,Mother's Day,Observance
03/06/2003,Tuesday,Opium Suppression Movement Day,Observance
04/06/2003,Wednesday,Dragon Boat Festival,National holiday
12/06/2003,Thursday,Kuan Kung's Birthday,Observance
12/06/2003,Thursday,Chen Huang's Birthday,Observance
22/06/2003,Sunday,June Solstice,Season
04/08/2003,Monday,Chinese Valentine's Day,Observance
08/08/2003,Friday,Father's Day,Observance
12/08/2003,Tuesday,Hungry Ghost Festival,Observance
03/09/2003,Wednesday,Armed Forces Day,National holiday
11/09/2003,Thursday,Mid-Autumn Festival,National holiday
23/09/2003,Tuesday,September Equinox,Season
28/09/2003,Sunday,Teachers' Day,Observance
04/10/2003,Saturday,Double Ninth Day,Observance
10/10/2003,Friday,National Day,National holiday
21/10/2003,Tuesday,Overseas Chinese Day,Observance
25/10/2003,Saturday,Taiwan's Retrocession Day,Observance
31/10/2003,Friday,Halloween,Observance
12/11/2003,Wednesday,Sun Yat-sen's Birthday,Observance
22/12/2003,Monday,December Solstice,Season
22/12/2003,Monday,Dōngzhì Festival,Observance
25/12/2003,Thursday,Constitution Day,Observance
25/12/2003,Thursday,Christmas Day,Observance
01/01/2004,Thursday,Republic Day/New Year's Day,National holiday
21/01/2004,Wednesday,Lunar New Year's Eve,National holiday
22/01/2004,Thursday,Lunar New Year's Day,National holiday
23/01/2004,Friday,Lunar New Year Holiday,National holiday
24/01/2004,Saturday,Lunar New Year Holiday,National holiday
25/01/2004,Sunday,Lunar New Year Holiday,National holiday
26/01/2004,Monday,Lunar New Year Holiday,National holiday
04/02/2004,Wednesday,Farmer's Day,Observance
05/02/2004,Thursday,Lantern Festival,Observance
05/02/2004,Thursday,Tourism Day,Observance
21/02/2004,Saturday,Earth God's Birthday,Observance
28/02/2004,Saturday,Peace Memorial Day,National holiday
08/03/2004,Monday,International Women's Day,Observance
09/03/2004,Tuesday,Kuan Yin's Birthday,Observance
12/03/2004,Friday,Arbor Day,Observance
20/03/2004,Saturday,March Equinox,Season
29/03/2004,Monday,Youth Day,Observance
04/04/2004,Sunday,Tomb Sweeping Day,National holiday
04/04/2004,Sunday,Children's Day,Observance
11/04/2004,Sunday,Easter Sunday,Observance
01/05/2004,Saturday,Labor Day,Private Sector
03/05/2004,Monday,God of Medicine's Birthday,Observance
04/05/2004,Tuesday,Literary Day,Observance
09/05/2004,Sunday,Mother's Day,Observance
11/05/2004,Tuesday,Matsu's Birthday,Observance
26/05/2004,Wednesday,Buddha's Birthday,Observance
03/06/2004,Thursday,Opium Suppression Movement Day,Observance
21/06/2004,Monday,June Solstice,Season
22/06/2004,Tuesday,Dragon Boat Festival,National holiday
30/06/2004,Wednesday,Kuan Kung's Birthday,Observance
30/06/2004,Wednesday,Chen Huang's Birthday,Observance
08/08/2004,Sunday,Father's Day,Observance
22/08/2004,Sunday,Chinese Valentine's Day,Observance
30/08/2004,Monday,Hungry Ghost Festival,Observance
03/09/2004,Friday,Armed Forces Day,National holiday
23/09/2004,Thursday,September Equinox,Season
28/09/2004,Tuesday,Mid-Autumn Festival,National holiday
28/09/2004,Tuesday,Teachers' Day,Observance
10/10/2004,Sunday,National Day,National holiday
21/10/2004,Thursday,Overseas Chinese Day,Observance
22/10/2004,Friday,Double Ninth Day,Observance
25/10/2004,Monday,Taiwan's Retrocession Day,Observance
31/10/2004,Sunday,Halloween,Observance
12/11/2004,Friday,Sun Yat-sen's Birthday,Observance
26/11/2004,Friday,Saisiat Festival,Observance
21/12/2004,Tuesday,December Solstice,Season
21/12/2004,Tuesday,Dōngzhì Festival,Observance
25/12/2004,Saturday,Constitution Day,Observance
25/12/2004,Saturday,Christmas Day,Observance
01/01/2005,Saturday,Republic Day/New Year's Day,National holiday
04/02/2005,Friday,Farmer's Day,Observance
08/02/2005,Tuesday,Lunar New Year's Eve,National holiday
09/02/2005,Wednesday,Lunar New Year's Day,National holiday
10/02/2005,Thursday,Lunar New Year Holiday,National holiday
11/02/2005,Friday,Lunar New Year Holiday,National holiday
12/02/2005,Saturday,Lunar New Year Holiday,National holiday
13/02/2005,Sunday,Lunar New Year Holiday,National holiday
23/02/2005,Wednesday,Lantern Festival,Observance
23/02/2005,Wednesday,Tourism Day,Observance
28/02/2005,Monday,Peace Memorial Day,National holiday
08/03/2005,Tuesday,International Women's Day,Observance
11/03/2005,Friday,Earth God's Birthday,Observance
12/03/2005,Saturday,Arbor Day,Observance
20/03/2005,Sunday,March Equinox,Season
27/03/2005,Sunday,Easter Sunday,Observance
28/03/2005,Monday,Kuan Yin's Birthday,Observance
29/03/2005,Tuesday,Youth Day,Observance
04/04/2005,Monday,Children's Day,Observance
05/04/2005,Tuesday,Tomb Sweeping Day,National holiday
23/04/2005,Saturday,God of Medicine's Birthday,Observance
01/05/2005,Sunday,Labor Day,Private Sector
01/05/2005,Sunday,Matsu's Birthday,Observance
04/05/2005,Wednesday,Literary Day,Observance
08/05/2005,Sunday,Mother's Day,Observance
15/05/2005,Sunday,Buddha's Birthday,Observance
03/06/2005,Friday,Opium Suppression Movement Day,Observance
11/06/2005,Saturday,Dragon Boat Festival,National holiday
19/06/2005,Sunday,Kuan Kung's Birthday,Observance
19/06/2005,Sunday,Chen Huang's Birthday,Observance
21/06/2005,Tuesday,June Solstice,Season
08/08/2005,Monday,Father's Day,Observance
11/08/2005,Thursday,Chinese Valentine's Day,Observance
19/08/2005,Friday,Hungry Ghost Festival,Observance
03/09/2005,Saturday,Armed Forces Day,National holiday
18/09/2005,Sunday,Mid-Autumn Festival,National holiday
23/09/2005,Friday,September Equinox,Season
28/09/2005,Wednesday,Teachers' Day,Observance
10/10/2005,Monday,National Day,National holiday
11/10/2005,Tuesday,Double Ninth Day,Observance
21/10/2005,Friday,Overseas Chinese Day,Observance
25/10/2005,Tuesday,Taiwan's Retrocession Day,Observance
31/10/2005,Monday,Halloween,Observance
12/11/2005,Saturday,Sun Yat-sen's Birthday,Observance
22/12/2005,Thursday,December Solstice,Season
22/12/2005,Thursday,Dōngzhì Festival,Observance
25/12/2005,Sunday,Constitution Day,Observance
25/12/2005,Sunday,Christmas Day,Observance
01/01/2006,Sunday,Republic Day/New Year's Day,National holiday
28/01/2006,Saturday,Lunar New Year's Eve,National holiday
29/01/2006,Sunday,Lunar New Year's Day,National holiday
30/01/2006,Monday,Lunar New Year Holiday,National holiday
31/01/2006,Tuesday,Lunar New Year Holiday,National holiday
01/02/2006,Wednesday,Lunar New Year Holiday,National holiday
02/02/2006,Thursday,Lunar New Year Holiday,National holiday
04/02/2006,Saturday,Farmer's Day,Observance
12/02/2006,Sunday,Lantern Festival,Observance
12/02/2006,Sunday,Tourism Day,Observance
28/02/2006,Tuesday,Peace Memorial Day,National holiday
01/03/2006,Wednesday,Earth God's Birthday,Observance
