Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,Day off for New Year's Day,Public Holiday
08/01/2000,Saturday,Eid ul Fitr,Public Holiday
08/03/2000,Wednesday,International Women's Day,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
01/05/2000,Monday,Labor Day / May Day,Public Holiday
09/05/2000,Tuesday,Victory Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
27/06/2000,Tuesday,Day of National Unity,Public Holiday
09/09/2000,Saturday,Independence Day,Public Holiday
11/09/2000,Monday,Day off for Independence Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
06/11/2000,Monday,Constitution Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid ul Fitr,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
08/03/2001,Thursday,International Women's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
09/05/2001,Wednesday,Victory Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
27/06/2001,Wednesday,Day of National Unity,Public Holiday
09/09/2001,Sunday,Independence Day,Public Holiday
10/09/2001,Monday,Day off for Independence Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
06/11/2001,Tuesday,Constitution Day,Public Holiday
17/12/2001,Monday,Eid ul Fitr,Public Holiday
22/12/2001,Saturday,December Solstice,Season
01/01/2002,Tuesday,New Year's Day,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
08/03/2002,Friday,International Women's Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
09/05/2002,Thursday,Victory Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
27/06/2002,Thursday,Day of National Unity,Public Holiday
09/09/2002,Monday,Independence Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
06/11/2002,Wednesday,Constitution Day,Public Holiday
06/12/2002,Friday,Eid ul Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year's Day,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
08/03/2003,Saturday,International Women's Day,Public Holiday
10/03/2003,Monday,Day off for International Women's Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
09/05/2003,Friday,Victory Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
27/06/2003,Friday,Day of National Unity,Public Holiday
09/09/2003,Tuesday,Independence Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
06/11/2003,Thursday,Constitution Day,Public Holiday
26/11/2003,Wednesday,Eid ul Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year's Day,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
08/03/2004,Monday,International Women's Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
03/05/2004,Monday,Labor Day / May Day observed,Public Holiday
09/05/2004,Sunday,Victory Day,Public Holiday
10/05/2004,Monday,Day off for Victory Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
27/06/2004,Sunday,Day of National Unity,Public Holiday
28/06/2004,Monday,Day off for Day of National Unity,Public Holiday
09/09/2004,Thursday,Independence Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
06/11/2004,Saturday,Constitution Day,Public Holiday
08/11/2004,Monday,Day off for Constitution Day,Public Holiday
14/11/2004,Sunday,Eid ul Fitr,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year's Day,Public Holiday
03/01/2005,Monday,Day off for New Year's Day,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
08/03/2005,Tuesday,International Women's Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
01/05/2005,Sunday,Labor Day / May Day,Public Holiday
02/05/2005,Monday,Labor Day / May Day observed,Public Holiday
09/05/2005,Monday,Victory Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
27/06/2005,Monday,Day of National Unity,Public Holiday
09/09/2005,Friday,Independence Day,Public Holiday
23/09/2005,Friday,September Equinox,Season
04/11/2005,Friday,Eid ul Fitr,Public Holiday
06/11/2005,Sunday,Constitution Day,Public Holiday
07/11/2005,Monday,Day off for Constitution Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year's Day,Public Holiday
02/01/2006,Monday,Day off for New Year's Day,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
08/03/2006,Wednesday,International Women's Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
01/05/2006,Monday,Labor Day / May Day,Public Holiday
09/05/2006,Tuesday,Victory Day,Public Holiday
