Date,Day,Name,Type
01/01/2013,Tuesday,New Year's Day,Public Holiday
12/01/2013,Saturday,Zanzibar Revolution Day,Public Holiday
24/01/2013,Thursday,Maulid,Public Holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Public Holiday
31/03/2013,Sunday,Easter Sunday,Observance
01/04/2013,Monday,Easter Monday,Public Holiday
07/04/2013,Sunday,Karume Day,Public Holiday
26/04/2013,Friday,Union Day,Public Holiday
01/05/2013,Wednesday,Worker's Day,Public Holiday
12/05/2013,Sunday,Mothers' Day,Observance
21/06/2013,Friday,June Solstice,Season
07/07/2013,Sunday,Saba Saba,Public Holiday
08/08/2013,Thursday,Eid el Fitri,Public Holiday
08/08/2013,Thursday,Farmers' Day,Public Holiday
09/08/2013,Friday,Eid el Fitri Holiday,Public Holiday
22/09/2013,Sunday,September Equinox,Season
14/10/2013,Monday,Mwalimu Nyerere Day,Public Holiday
15/10/2013,Tuesday,Eid al-Adha,Public Holiday
09/12/2013,Monday,Independence Day,Public Holiday
21/12/2013,Saturday,December Solstice,Season
24/12/2013,Tuesday,Christmas Eve,Observance
25/12/2013,Wednesday,Christmas Day,Public Holiday
26/12/2013,Thursday,Boxing Day,Public Holiday
01/01/2014,Wednesday,New Year's Day,Public Holiday
12/01/2014,Sunday,Zanzibar Revolution Day,Public Holiday
14/01/2014,Tuesday,Maulid,Public Holiday
20/03/2014,Thursday,March Equinox,Season
07/04/2014,Monday,Karume Day,Public Holiday
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Observance
21/04/2014,Monday,Easter Monday,Public Holiday
26/04/2014,Saturday,Union Day,Public Holiday
01/05/2014,Thursday,Worker's Day,Public Holiday
11/05/2014,Sunday,Mothers' Day,Observance
21/06/2014,Saturday,June Solstice,Season
07/07/2014,Monday,Saba Saba,Public Holiday
29/07/2014,Tuesday,Eid el Fitri,Public Holiday
30/07/2014,Wednesday,Eid el Fitri Holiday,Public Holiday
08/08/2014,Friday,Farmers' Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
05/10/2014,Sunday,Eid al-Adha,Public Holiday
14/10/2014,Tuesday,Mwalimu Nyerere Day,Public Holiday
09/12/2014,Tuesday,Independence Day,Public Holiday
22/12/2014,Monday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Observance
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
01/01/2015,Thursday,New Year's Day,Public Holiday
03/01/2015,Saturday,Maulid,Public Holiday
12/01/2015,Monday,Zanzibar Revolution Day,Public Holiday
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Observance
06/04/2015,Monday,Easter Monday,Public Holiday
07/04/2015,Tuesday,Karume Day,Public Holiday
26/04/2015,Sunday,Union Day,Public Holiday
01/05/2015,Friday,Worker's Day,Public Holiday
10/05/2015,Sunday,Mothers' Day,Observance
21/06/2015,Sunday,June Solstice,Season
07/07/2015,Tuesday,Saba Saba,Public Holiday
18/07/2015,Saturday,Eid el Fitri,Public Holiday
19/07/2015,Sunday,Eid el Fitri Holiday,Public Holiday
08/08/2015,Saturday,Farmers' Day,Public Holiday
23/09/2015,Wednesday,Eid al-Adha,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
14/10/2015,Wednesday,Mwalimu Nyerere Day,Public Holiday
05/11/2015,Thursday,John Mugufuli takes office,Public Holiday
09/12/2015,Wednesday,Independence Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Maulid,Public Holiday
24/12/2015,Thursday,Christmas Eve,Observance
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
12/01/2016,Tuesday,Zanzibar Revolution Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
27/03/2016,Sunday,Easter Sunday,Observance
28/03/2016,Monday,Easter Monday,Public Holiday
07/04/2016,Thursday,Karume Day,Public Holiday
26/04/2016,Tuesday,Union Day,Public Holiday
01/05/2016,Sunday,Worker's Day,Public Holiday
08/05/2016,Sunday,Mothers' Day,Observance
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Saba Saba,Public Holiday
07/07/2016,Thursday,Eid el Fitri,Public Holiday
08/07/2016,Friday,Eid el Fitri Holiday,Public Holiday
08/08/2016,Monday,Farmers' Day,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
14/10/2016,Friday,Mwalimu Nyerere Day,Public Holiday
09/12/2016,Friday,Independence Day,Public Holiday
12/12/2016,Monday,Maulid,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
24/12/2016,Saturday,Christmas Eve,Observance
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
01/01/2017,Sunday,New Year's Day,Public Holiday
12/01/2017,Thursday,Zanzibar Revolution Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
07/04/2017,Friday,Karume Day,Public Holiday
14/04/2017,Friday,Good Friday,Public Holiday
16/04/2017,Sunday,Easter Sunday,Observance
17/04/2017,Monday,Easter Monday,Public Holiday
26/04/2017,Wednesday,Union Day,Public Holiday
01/05/2017,Monday,Worker's Day,Public Holiday
14/05/2017,Sunday,Mothers' Day,Observance
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid el Fitri,Public Holiday
27/06/2017,Tuesday,Eid el Fitri Holiday,Public Holiday
07/07/2017,Friday,Saba Saba,Public Holiday
08/08/2017,Tuesday,Farmers' Day,Public Holiday
02/09/2017,Saturday,Eid al-Adha,Public Holiday
22/09/2017,Friday,September Equinox,Season
14/10/2017,Saturday,Mwalimu Nyerere Day,Public Holiday
01/12/2017,Friday,Maulid,Public Holiday
09/12/2017,Saturday,Independence Day,Public Holiday
21/12/2017,Thursday,December Solstice,Season
24/12/2017,Sunday,Christmas Eve,Observance
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year's Day,Public Holiday
12/01/2018,Friday,Zanzibar Revolution Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
01/04/2018,Sunday,Easter Sunday,Observance
02/04/2018,Monday,Easter Monday,Public Holiday
07/04/2018,Saturday,Karume Day,Public Holiday
26/04/2018,Thursday,Union Day,Public Holiday
01/05/2018,Tuesday,Worker's Day,Public Holiday
13/05/2018,Sunday,Mothers' Day,Observance
15/06/2018,Friday,Eid el Fitri,Public Holiday
16/06/2018,Saturday,Eid el Fitri Holiday,Public Holiday
21/06/2018,Thursday,June Solstice,Season
07/07/2018,Saturday,Saba Saba,Public Holiday
08/08/2018,Wednesday,Farmers' Day,Public Holiday
22/08/2018,Wednesday,Eid al-Adha,Public Holiday
23/09/2018,Sunday,September Equinox,Season
14/10/2018,Sunday,Mwalimu Nyerere Day,Public Holiday
21/11/2018,Wednesday,Maulid,Public Holiday
