Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
03/01/2000,Monday,Day off for New Year's Day,National holiday
08/01/2000,Saturday,National Children's Day,Observance
16/01/2000,Sunday,Teachers' Day,Observance
05/02/2000,Saturday,Lunar New Year's Day,Observance
06/02/2000,Sunday,Second Day of Lunar New Year,Observance
07/02/2000,Monday,Third Day of Lunar New Year,Observance
14/02/2000,Monday,Valentine's Day,Observance
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Chakri Day,National holiday
13/04/2000,Thursday,Songkran,National holiday
14/04/2000,Friday,Songkran,National holiday
15/04/2000,Saturday,Songkran,National holiday
17/04/2000,Monday,Songkran Observed,National holiday
01/05/2000,Monday,Labor Day,Bank holiday
05/05/2000,Friday,Coronation Day,National holiday
21/06/2000,Wednesday,June Solstice,Season
11/08/2000,Friday,The Queen's Birthday observed,National holiday
12/08/2000,Saturday,The Queen's Birthday,National holiday
23/09/2000,Saturday,September Equinox,Season
23/10/2000,Monday,Chulalongkorn Day,National holiday
05/12/2000,Tuesday,King Bhumibol's Birthday,National holiday
05/12/2000,Tuesday,King Bhumibol's Birthday/Father's Day,National holiday
10/12/2000,Sunday,Constitution Day,National holiday
11/12/2000,Monday,Day off for Constitution Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,Observance
31/12/2000,Sunday,New Year's Eve,National holiday
01/01/2001,Monday,New Year's Day,National holiday
13/01/2001,Saturday,National Children's Day,Observance
16/01/2001,Tuesday,Teachers' Day,Observance
24/01/2001,Wednesday,Lunar New Year's Day,Observance
25/01/2001,Thursday,Second Day of Lunar New Year,Observance
26/01/2001,Friday,Third Day of Lunar New Year,Observance
14/02/2001,Wednesday,Valentine's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
06/04/2001,Friday,Chakri Day,National holiday
13/04/2001,Friday,Songkran,National holiday
14/04/2001,Saturday,Songkran,National holiday
15/04/2001,Sunday,Songkran,National holiday
16/04/2001,Monday,Songkran Observed,National holiday
17/04/2001,Tuesday,Songkran Observed,National holiday
01/05/2001,Tuesday,Labor Day,Bank holiday
05/05/2001,Saturday,Coronation Day,National holiday
07/05/2001,Monday,Coronation Day observed,National holiday
21/06/2001,Thursday,June Solstice,Season
12/08/2001,Sunday,The Queen's Birthday,National holiday
13/08/2001,Monday,The Queen's Birthday observed,National holiday
23/09/2001,Sunday,September Equinox,Season
23/10/2001,Tuesday,Chulalongkorn Day,National holiday
05/12/2001,Wednesday,King Bhumibol's Birthday,National holiday
05/12/2001,Wednesday,King Bhumibol's Birthday/Father's Day,National holiday
10/12/2001,Monday,Constitution Day,National holiday
22/12/2001,Saturday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,Observance
31/12/2001,Monday,New Year's Eve,National holiday
01/01/2002,Tuesday,New Year's Day,National holiday
12/01/2002,Saturday,National Children's Day,Observance
16/01/2002,Wednesday,Teachers' Day,Observance
12/02/2002,Tuesday,Lunar New Year's Day,Observance
13/02/2002,Wednesday,Second Day of Lunar New Year,Observance
14/02/2002,Thursday,Third Day of Lunar New Year,Observance
14/02/2002,Thursday,Valentine's Day,Observance
21/03/2002,Thursday,March Equinox,Season
05/04/2002,Friday,Chakri Day observed,National holiday
06/04/2002,Saturday,Chakri Day,National holiday
13/04/2002,Saturday,Songkran,National holiday
14/04/2002,Sunday,Songkran,National holiday
15/04/2002,Monday,Songkran,National holiday
16/04/2002,Tuesday,Songkran Observed,National holiday
17/04/2002,Wednesday,Songkran Observed,National holiday
01/05/2002,Wednesday,Labor Day,Bank holiday
05/05/2002,Sunday,Coronation Day,National holiday
06/05/2002,Monday,Coronation Day observed,National holiday
21/06/2002,Friday,June Solstice,Season
12/08/2002,Monday,The Queen's Birthday,National holiday
23/09/2002,Monday,September Equinox,Season
23/10/2002,Wednesday,Chulalongkorn Day,National holiday
05/12/2002,Thursday,King Bhumibol's Birthday,National holiday
05/12/2002,Thursday,King Bhumibol's Birthday/Father's Day,National holiday
10/12/2002,Tuesday,Constitution Day,National holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,Observance
